Местное время в Бохане;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
01.10.2019 20:00;0.4;731.7;773.2;;75;;;;;; ;;;;08.фев;;;2500 или более, или облаков нет.;;;;-3.6;Осадков нет;12;;;;
01.10.2019 23:00;-2.9;732.7;774.8;;89;;;;;; ;;;;;;;2500 или более, или облаков нет.;;;;-4.5;;;;;;
02.10.2019 2:00;-4.8;733.4;775.9;;92;;;;;; ;;;;;;;2500 или более, или облаков нет.;;;;-5.9;;;;;;
02.10.2019 5:00;-6.3;734.2;777.1;;92;;;;;; ;;;;;;;2500 или более, или облаков нет.;;;;-7.4;;;;;;
02.10.2019 8:00;-6.5;734.8;777.6;;91;;;;;; ;;;-7.0;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;60%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-7.8;Осадков нет;12;;;;
02.10.2019 11:00;02.май;735.7;777.1;;70;;;;;; ;;;;;Слоисто-кучевые, образовавшиеся из кучевых.;60%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-2.5;;;;;;
02.10.2019 14:00;06.апр;734.9;775.8;;37;;;;;; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-7.4;;;;;;
02.10.2019 17:00;06.мар;735.1;776.0;;44;;;;;; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-5.3;;;;;;
02.10.2019 20:00;02.апр;736.3;777.7;;65;;;;;; ;;;;07.май;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;600-1000;;;;-3.6;Осадков нет;12;;;;
02.10.2019 23:00;-2.9;737.4;779.8;;87;;;;;; ;;;;;;;2500 или более, или облаков нет.;;;;-4.8;;;;;;
03.10.2019 2:00;-5.4;737.5;780.4;;91;;;;;; ;;;;;;;2500 или более, или облаков нет.;;;;-6.7;;;;;;
03.10.2019 5:00;-6.9;737.1;780.2;;91;;;;;; ;;;;;;;2500 или более, или облаков нет.;;;;-8.1;;;;;;
03.10.2019 8:00;-7.1;736.9;780.0;;89;;;;;; ;;;-7.7;;;;2500 или более, или облаков нет.;;;50.0;-8.7;Осадков нет;12;;;;
03.10.2019 11:00;04.янв;736.1;777.4;;58;;;;;; ;;;;;;;2500 или более, или облаков нет.;;;50.0;-3.4;;;;;;
03.10.2019 14:00;09.янв;734.5;774.9;;32;;;;;; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;50.0;-6.8;;;;;;
03.10.2019 17:00;09.мар;733.7;774.1;;29;;;;;; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;50.0;-7.8;;;;;;
03.10.2019 20:00;03.июл;733.6;774.8;;61;;;;;; ;;;;10.янв;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-3.2;Осадков нет;12;;;;
03.10.2019 23:00;0.1;733.6;775.4;;75;;;;;; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;;-3.8;;;;;;
04.10.2019 2:00;-2.9;733.4;775.6;;86;;;;;; ;;;;;;;2500 или более, или облаков нет.;;;;-4.9;;;;;;
04.10.2019 5:00;-3.9;733.1;775.5;;88;;;;;; ;;;;;;;2500 или более, или облаков нет.;;;;-5.6;;;;;;
04.10.2019 8:00;-4.0;733.2;775.6;;87;;;;;; ;;;-4.9;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-5.8;Осадков нет;12;;;;
04.10.2019 11:00;7.0;732.4;773.0;;51;;;;;; ;;;;;;;2500 или более, или облаков нет.;;;50.0;-2.6;;;;;;
04.10.2019 14:00;13.сен;730.4;769.9;;28;;;;;; ;;;;;;;2500 или более, или облаков нет.;;;50.0;-4.3;;;;;;
04.10.2019 17:00;15.апр;729.2;768.5;;22;;;;;; ;;;;;;;2500 или более, или облаков нет.;;;50.0;-6.5;;;;;;
04.10.2019 20:00;04.фев;727.9;768.7;;58;;;;;; ;;;;15.июн;;;2500 или более, или облаков нет.;;;;-3.4;Осадков нет;12;;;;
04.10.2019 23:00;-1.5;727.6;769.3;;80;;;;;; ;;;;;;;2500 или более, или облаков нет.;;;;-4.6;;;;;;
05.10.2019 2:00;-3.5;727.2;769.1;;86;;;;;; ;;;;;;;2500 или более, или облаков нет.;;;;-5.6;;;;;;
05.10.2019 5:00;-5.1;727.0;769.2;;89;;;;;; ;;;;;;;2500 или более, или облаков нет.;;;;-6.7;;;;;;
05.10.2019 8:00;-5.3;726.7;769.0;;88;;;;;; ;;;-6.0;;;;2500 или более, или облаков нет.;;;50.0;-7.0;Осадков нет;12;;;;
05.10.2019 11:00;06.апр;726.1;766.5;;53;;;;;; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-2.6;;;;;;
05.10.2019 14:00;14.июн;724.7;763.9;;26;;;;;; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-5.0;;;;;;
05.10.2019 17:00;13.сен;723.7;762.9;;26;;;;;; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";;50.0;-5.5;;;;;;
05.10.2019 20:00;07.апр;724.0;764.2;;51;;;;;; ;;;;14.сен;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-2.2;Осадков нет;12;;;;
05.10.2019 23:00;07.авг;726.1;766.2;;68;;;;;; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";;;02.янв;;;;;;
06.10.2019 2:00;05.июн;725.7;766.1;;89;;;;;;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;300-600;;;4.0;03.сен;;;;;;
06.10.2019 5:00;5.0;725.6;766.1;;90;;;;;;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;300-600;;;4.0;03.апр;;;;;;
06.10.2019 8:00;04.апр;725.7;766.3;;91;;;;;;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;04.апр;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";;10.0;03.янв;6.0;12;;;;
06.10.2019 11:00;04.июн;725.3;765.8;;89;;;;;;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;03.авг;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;300-600;;;4.0;3.0;;;;;;
06.10.2019 14:00;02.июн;726.1;767.0;;91;;;;;;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;300-600;;;4.0;01.фев;;;;;;
06.10.2019 17:00;01.авг;727.3;768.4;;91;;;;10;;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;300-600;;;4.0;0.4;;;;;;
06.10.2019 20:00;0.9;729.5;770.8;;92;;;;;;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;04.авг;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;300-600;;;4.0;-0.2;14.0;12;;;;
06.10.2019 23:00;0.9;731.1;772.6;;90;;;;;;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";;;-0.6;;;;;;
07.10.2019 2:00;0.8;731.8;773.3;;89;;;;;;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";;;-0.8;;;;;;
07.10.2019 5:00;0.4;731.8;773.4;;84;;;;;; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";;;-2.0;;;;;;
07.10.2019 8:00;0.3;732.0;773.6;;88;;;;;; ;;;0.1;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";;50.0;-1.5;Следы осадков;12;;;;
