Местное время в Черемхово;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
17.01.2017 17:00;-20.0;721.9;782.0;;85;Ветер, дующий с северо-запада;3;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;10.0;-21.9;;;;;;
17.01.2017 23:00;-23.1;724.6;785.7;;85;Ветер, дующий с северо-запада;2;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-25.0;;;;;;
18.01.2017 5:00;-25.4;725.4;787.2;;80;Ветер, дующий с западо-северо-запада;1;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-27.8;;;;;;
18.01.2017 17:00;-25.1;723.2;784.7;;85;Ветер, дующий с востоко-юго-востока;3;;;Облаков нет.; ;;;;;;;;;;10.0;-26.9;;;;;;
18.01.2017 23:00;-25.7;721.3;782.8;;85;Ветер, дующий с юго-востока;2;;;Облаков нет.;Дымка. ;Облака покрывали половину неба или менее в течение всего соответствующего периода.;Облака покрывали половину неба или менее в течение всего соответствующего периода.;;;;;;;;;-27.5;;;;;;
19.01.2017 5:00;-24.0;718.3;779.2;;84;Ветер, дующий с юго-юго-востока;3;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;;-25.9;;;;;;
19.01.2017 11:00;-23.3;716.0;776.5;;85;Ветер, дующий с юго-юго-востока;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;10.0;-25.1;;;;;;
19.01.2017 17:00;-18.4;714.1;773.3;;85;Ветер, дующий с юго-востока;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;10.0;-20.3;;;;;;
19.01.2017 23:00;-17.4;716.4;775.5;;85;Ветер, дующий с запада;2;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-19.3;;;;;;
20.01.2017 5:00;-19.0;718.0;777.5;;85;Ветер, дующий с западо-северо-запада;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-20.9;;;;;;
20.01.2017 11:00;-18.8;719.4;778.9;;90;Ветер, дующий с западо-северо-запада;3;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;10.0;-20.0;;;;;;
20.01.2017 17:00;-19.0;720.2;780.0;;80;Ветер, дующий с запада;2;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";20.0;-21.6;;;;;;
20.01.2017 23:00;-21.4;720.7;781.2;;85;Ветер, дующий с юга;1;;;Облаков нет.; ;;;;;;;;;;;-23.2;;;;;;
21.01.2017 5:00;-25.3;719.7;781.0;;84;Ветер, дующий с юго-востока;2;;;Облаков нет.; ;;;;;;;;;;;-27.2;;;;;;
21.01.2017 11:00;-24.1;719.2;780.1;;84;Ветер, дующий с юго-востока;3;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;10.0;-26.0;;;;;;
21.01.2017 17:00;-20.1;717.6;777.4;;85;Ветер, дующий с юго-востока;3;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;10.0;-22.0;;;;;;
21.01.2017 23:00;-20.1;716.5;776.2;;85;Ветер, дующий с юго-востока;5;;;Облаков нет.;Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ;Метель;Облака покрывали половину неба или менее в течение всего соответствующего периода.;;;;;;;;;-22.0;;;;;;
22.01.2017 5:00;-20.7;714.7;774.4;;85;Ветер, дующий с юго-востока;6;;10;Облаков нет.;Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ;Метель;Облака покрывали половину неба или менее в течение всего соответствующего периода.;;;;;;;;;-22.6;;;;;;
22.01.2017 11:00;-20.4;714.4;774.0;;85;Ветер, дующий с юго-юго-востока;6;;10;Облаков нет.;Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ;Метель;Облака покрывали половину неба или менее в течение всего соответствующего периода.;;;;;;;;10.0;-22.3;;;;;;
22.01.2017 17:00;-16.8;715.3;774.1;;75;Ветер, дующий с юго-юго-востока;4;;;10%  или менее, но не 0;Состояние неба в общем не изменилось. ;Метель;Облака покрывали половину неба или менее в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";20.0;-20.2;;;;;;
22.01.2017 23:00;-19.7;716.5;776.1;;85;Ветер, дующий с юго-юго-востока;4;;;Облаков нет.; ;;;;;;;;;;;-21.6;;;;;;
23.01.2017 5:00;-21.0;716.4;776.3;;85;Ветер, дующий с юго-юго-востока;6;;;Облаков нет.;Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ;Метель;Облака покрывали половину неба или менее в течение всего соответствующего периода.;;;;;;;;;-22.9;;;;;;
23.01.2017 11:00;-19.3;715.9;775.4;;85;Ветер, дующий с юго-юго-востока;3;;;20–30%.;Состояние неба в общем не изменилось. ;Метель;Облака покрывали половину неба или менее в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";20.0;-21.2;;;;;;
23.01.2017 17:00;-14.9;712.9;771.1;;70;Ветер, дующий с юго-юго-востока;3;;;50%.;Состояние неба в общем не изменилось. ;Метель;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";20.0;-19.2;;;;;;
23.01.2017 23:00;-17.6;710.8;769.4;;80;Ветер, дующий с юго-востока;4;;;50%.;Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ;Метель;Облака покрывали половину неба или менее в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-20.2;;;;;;
24.01.2017 5:00;-18.0;708.8;767.4;;80;Ветер, дующий с юго-востока;4;;11;Облаков нет.;Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ;Метель;Облака покрывали половину неба или менее в течение всего соответствующего периода.;;;;;;;;;-20.6;;;;;;
24.01.2017 17:00;-13.4;710.8;768.4;;70;Ветер, дующий с юго-юго-востока;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;10.0;-17.7;;;;;;
24.01.2017 23:00;-13.3;711.9;769.6;;85;Ветер, дующий с северо-северо-востока;3;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-15.3;;;;;;
25.01.2017 5:00;-11.8;715.0;772.6;;90;Ветер, дующий с северо-запада;1;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-13.1;;;;;;
25.01.2017 11:00;-11.2;716.8;774.5;;90;Штиль, безветрие;0;;;100%.; ;;;-14.0;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;20.0;-12.5;;;;;;
25.01.2017 17:00;-10.6;717.9;775.5;;85;Ветер, дующий с северо-запада;1;;;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";20.0;-12.6;;;;;;
25.01.2017 23:00;-15.8;718.9;777.7;;85;Ветер, дующий с юга;3;;;Облаков нет.; ;;;;;;;;;;;-17.7;;;;;;
26.01.2017 5:00;-16.8;717.7;776.6;;80;Ветер, дующий с юго-юго-запада;2;;;Облаков нет.; ;;;;;;;;;;;-19.4;;;;;;
26.01.2017 11:00;-16.7;714.7;773.4;;75;Ветер, дующий с юго-юго-востока;2;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;20.0;-20.1;;;;;;
26.01.2017 17:00;-13.5;711.2;769.0;;70;Ветер, дующий с юго-юго-востока;3;;;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;-17.8;;;;;;
26.01.2017 23:00;-12.0;707.5;764.6;;75;Ветер, дующий с юго-юго-востока;2;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-15.5;;;;;;
27.01.2017 5:00;-12.0;707.5;764.6;;75;Ветер, дующий с юго-юго-востока;2;;10;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-15.5;;;;;;
27.01.2017 23:00;-22.9;722.2;783.1;;75;Ветер, дующий с северо-запада;3;;;40%.;Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ;Метель;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-26.2;;;;;;
28.01.2017 5:00;-25.5;725.2;787.0;;80;Ветер, дующий с западо-северо-запада;2;;;Облаков нет.;Состояние неба в общем не изменилось. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;;;;;;;-28.0;;;;;;
28.01.2017 11:00;-23.5;726.5;787.9;;84;Штиль, безветрие;0;;;Облаков нет.; ;;;-27.7;;;;;;;20.0;-25.4;;;;;;
28.01.2017 17:00;-23.9;725.3;786.7;;75;Ветер, дующий с юго-востока;3;;;Облаков нет.; ;;;;;;;;;;20.0;-27.1;;;;;;
28.01.2017 23:00;-24.3;721.6;782.7;;80;Ветер, дующий с юго-востока;5;;;Облаков нет.;Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ;Метель;Облака покрывали половину неба или менее в течение всего соответствующего периода.;;;;;;;;;-26.8;;;;;;
29.01.2017 5:00;-24.1;717.2;778.0;;70;Ветер, дующий с востоко-юго-востока;4;;;Облаков нет.;Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ;Метель;Облака покрывали половину неба или менее в течение всего соответствующего периода.;;;;;;;;;-28.1;;;;;;
29.01.2017 11:00;-22.3;716.0;776.2;;65;Ветер, дующий с юго-востока;3;;;Облаков нет.; ;;;;;;;;;;50.0;-27.2;;;;;;
29.01.2017 17:00;-16.6;715.1;773.8;;55;Ветер, дующий с юга;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-23.5;;;;;;
29.01.2017 23:00;-22.5;714.5;774.7;;70;Ветер, дующий с юго-юго-востока;2;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-26.5;;;;;;
30.01.2017 5:00;-23.3;714.0;774.2;;85;Ветер, дующий с юго-юго-востока;2;;;Облаков нет.; ;;;;;;;;;;;-25.1;;;;;;
