Местное время в Перевозе;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
15.01.2017 17:00;-34.1;747.7;783.7;;74;Ветер, дующий с западо-северо-запада;1;;;10%  или менее, но не 0; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;10%  или менее, но не 0;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистых, перисто-кучевых или перисто-слоистых нет.;;-37.1;;;;;;
15.01.2017 23:00;-35.6;747.6;783.9;;75;Ветер, дующий с западо-северо-запада;1;;;Облаков нет.; ;;;;;;;;;;;-38.4;;;;;;
16.01.2017 5:00;-38.1;748.1;784.8;;75;Ветер, дующий с западо-северо-запада;1;;;Облаков нет.; ;;;;;;;;;;;-40.9;;;;;;
16.01.2017 11:00;-35.8;747.3;783.6;;74;Ветер, дующий с северо-северо-запада;1;;;Облаков нет.; ;;;-38.3;;;;;;;50.0;-38.7;;;;;;
16.01.2017 17:00;-33.6;746.4;782.4;;74;Ветер, дующий с северо-запада;2;;;Облаков нет.; ;;;;;;;;;;;-36.6;;;;;;
16.01.2017 23:00;-36.7;747.3;783.7;;76;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-39.4;;;;;;
17.01.2017 5:00;-38.0;747.2;783.8;;74;Ветер, дующий с северо-запада;1;;;Облаков нет.; ;;;;;;;;;;;-40.9;;;;;;
17.01.2017 11:00;-35.9;747.4;783.7;;75;Ветер, дующий с западо-северо-запада;1;;;Облаков нет.; ;;;;;;;;;;50.0;-38.7;;;;;;
17.01.2017 17:00;-34.7;746.8;782.9;;74;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-37.7;;;;;;
17.01.2017 23:00;-36.5;747.9;784.4;;74;Ветер, дующий с северо-северо-запада;2;;;Облаков нет.; ;;;;;;;;;;;-39.4;;;;;;
18.01.2017 5:00;-37.8;748.1;784.8;;75;Ветер, дующий с северо-запада;2;;;Облаков нет.; ;;;;;;;;;;;-40.5;;;;;;
18.01.2017 11:00;-33.5;748.0;784.3;;73;Ветер, дующий с западо-северо-запада;2;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые плотные, образовавшиеся от кучево-дождевых.;50.0;-36.6;;;;;;
18.01.2017 17:00;-28.8;747.6;782.8;;75;Ветер, дующий с западо-северо-запада;2;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые плотные, образовавшиеся от кучево-дождевых.;;-31.9;;;;;;
18.01.2017 23:00;-32.3;747.3;783.0;;74;Ветер, дующий с северо-запада;1;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-35.3;;;;;;
19.01.2017 5:00;-32.5;744.8;780.5;;74;Ветер, дующий с запада;2;;;10%  или менее, но не 0; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-35.5;;;;;;
19.01.2017 11:00;-30.2;742.8;778.0;;75;Ветер, дующий с западо-северо-запада;2;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые плотные, образовавшиеся от кучево-дождевых.;50.0;-33.2;;;;;;
19.01.2017 17:00;-26.6;739.6;774.1;;70;Ветер, дующий с северо-запада;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;;-30.4;;;;;;
19.01.2017 23:00;-26.4;738.6;772.9;;79;Ветер, дующий с западо-северо-запада;2;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые плотные, образовавшиеся от кучево-дождевых.;;-28.9;;;;;;
20.01.2017 5:00;-29.5;739.0;774.0;;79;Ветер, дующий с востока;1;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-32.0;;;;;;
20.01.2017 11:00;-30.9;741.4;776.6;;80;Ветер, дующий с западо-северо-запада;1;;;90  или более, но не 100%; ;;;-32.2;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые плотные, образовавшиеся от кучево-дождевых.;50.0;-33.2;;;;;;
20.01.2017 17:00;-31.9;743.4;778.9;;74;Ветер, дующий с северо-северо-запада;1;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-35.0;;;;;;
20.01.2017 23:00;-34.7;745.9;781.9;;79;Ветер, дующий с северо-запада;1;;;Облаков нет.; ;;;;;;;;;;;-37.1;;;;;;
21.01.2017 5:00;-35.1;746.3;782.5;;75;Ветер, дующий с западо-северо-запада;1;;;Облаков нет.; ;;;;;;;;;;;-38.0;;;;;;
21.01.2017 11:00;-32.6;745.9;781.6;;75;Ветер, дующий с северо-запада;3;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-35.5;;;;;;
21.01.2017 17:00;-23.4;745.1;779.4;;70;Ветер, дующий с северо-запада;3;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые просвечивающие.;;;-27.4;;;;;;
21.01.2017 23:00;-21.3;745.0;779.0;;65;Ветер, дующий с западо-северо-запада;4;;11;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые плотные, образовавшиеся от кучево-дождевых.;;-26.1;;;;;;
22.01.2017 5:00;-24.7;744.4;778.9;;70;Ветер, дующий с запада;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;;-28.6;;;;;;
22.01.2017 11:00;-27.0;743.8;778.6;;69;Ветер, дующий с западо-северо-запада;2;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-30.9;;;;;;
22.01.2017 17:00;-26.6;742.6;777.3;;70;Ветер, дующий с запада;1;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-30.4;;;;;;
22.01.2017 23:00;-29.2;741.4;776.4;;75;Ветер, дующий с северо-запада;2;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-32.2;;;;;;
23.01.2017 5:00;-26.0;739.3;773.8;;70;Ветер, дующий с запада;1;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые плотные, образовавшиеся от кучево-дождевых.;;-29.8;;;;;;
23.01.2017 11:00;-19.4;738.0;771.4;;60;Ветер, дующий с запада;1;;;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;1000-1500;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые плотные, образовавшиеся от кучево-дождевых.;50.0;-25.2;;;;;;
23.01.2017 17:00;-12.6;738.3;770.9;;60;Ветер, дующий с востока;1;;;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;1000-1500;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистых, перисто-кучевых или перисто-слоистых нет.;;-18.8;;;;;;
23.01.2017 23:00;-19.3;737.8;771.3;;80;Ветер, дующий с северо-запада;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;;-21.9;;;;;;
24.01.2017 5:00;-18.2;736.8;770.0;;80;Ветер, дующий с северо-запада;3;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые плотные, образовавшиеся от кучево-дождевых.;;-20.8;;;;;;
24.01.2017 11:00;-16.5;735.0;767.9;;80;Ветер, дующий с северо-запада;3;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые плотные, образовавшиеся от кучево-дождевых.;50.0;-19.1;;;;;;
24.01.2017 17:00;-17.9;732.6;765.6;;80;Штиль, безветрие;0;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые плотные, образовавшиеся от кучево-дождевых.;;-20.5;;;;;;
24.01.2017 23:00;-18.2;730.3;763.3;;90;Ветер, дующий с западо-юго-запада;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;;-19.4;;;;;;
25.01.2017 5:00;-6.4;731.0;762.4;;58;Ветер, дующий с западо-юго-запада;2;;;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-13.4;;;;;;
25.01.2017 11:00;-6.9;731.2;762.7;;54;Ветер, дующий с запада;4;;11;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;1000-1500;Высокослоистые непросвечивающие или слоисто-дождевые.;;50.0;-14.8;;;;;;
25.01.2017 23:00;-12.0;733.0;765.3;;55;Ветер, дующий с запада;5;;12;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;50%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые плотные, образовавшиеся от кучево-дождевых.;;-19.2;;;;;;
26.01.2017 5:00;-12.8;734.2;766.7;;50;Ветер, дующий с запада;3;;10;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;;-21.1;;;;;;
26.01.2017 11:00;-14.3;735.4;768.1;;50;Ветер, дующий с западо-юго-запада;4;;10;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-22.5;;;;;;
26.01.2017 17:00;-15.0;734.7;767.5;;55;Ветер, дующий с запада;2;;10;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-22.0;;;;;;
26.01.2017 23:00;-23.3;733.5;767.2;;70;Ветер, дующий с западо-северо-запада;1;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-27.3;;;;;;
27.01.2017 5:00;-25.0;732.4;766.4;;80;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;;-27.4;;;;;;
27.01.2017 11:00;-22.9;733.7;767.5;;75;Ветер, дующий с западо-северо-запада;1;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые плотные, образовавшиеся от кучево-дождевых.;50.0;-26.2;;;;;;
27.01.2017 17:00;-21.2;735.6;769.1;;70;Ветер, дующий с северо-запада;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;;-25.2;;;;;;
27.01.2017 23:00;-27.0;739.4;774.0;;79;Ветер, дующий с юга;2;;;Облаков нет.; ;;;;;;;;;;;-29.5;;;;;;
28.01.2017 5:00;-29.6;742.6;770.2;;80;Ветер, дующий с востока;1;;;Облаков нет.; ;;;;;;;;;;;-32.0;;;;;;
28.01.2017 11:00;-26.9;742.9;777.6;;75;Ветер, дующий с северо-запада;3;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;50.0;-30.0;;;;;;
29.01.2017 23:00;-16.2;733.3;766.1;;50;Ветер, дующий с запада;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;;-24.2;;;;;;
30.01.2017 5:00;-14.3;727.8;760.1;;40;Ветер, дующий с запада;3;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-25.0;;;;;;
30.01.2017 11:00;-12.3;725.0;757.0;;50;Ветер, дующий с западо-северо-запада;3;;11;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;1000-1500;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-20.6;;;;;;
31.01.2017 5:00;-20.2;734.8;768.3;;55;Ветер, дующий с запада;3;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые плотные, образовавшиеся от кучево-дождевых.;;-26.9;;;;;;
31.01.2017 11:00;-19.6;735.2;768.7;;50;Ветер, дующий с северо-запада;4;;11;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;50.0;-27.4;;;;;;
02.02.2017 11:00;-4.0;730.9;762.1;;60;Ветер, дующий с западо-юго-запада;5;;;100%.;Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ;Ливень (ливни).;Метель;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;1000-1500;;;50.0;-10.8;;;;;;
02.02.2017 17:00;-4.4;732.2;763.5;;56;Ветер, дующий с северо-северо-запада;3;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;1000-1500;;;;-11.9;;;;;;
02.02.2017 23:00;-7.0;732.7;764.3;;69;Ветер, дующий с северо-востока;1;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;1000-1500;;;;-11.7;;;;;;
03.02.2017 5:00;-8.1;732.3;764.0;;81;Ветер, дующий с северо-запада;1;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;1000-1500;;;;-10.8;;;;;;
