"Местное время в Нерое";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"29.12.2017 08:00";"-23.8";"704.0";"";"";"80";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"-23.9";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"29.12.2017 02:00";"-16.3";"702.0";"";"";"85";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"28.12.2017 20:00";"-8.2";"699.0";"";"";"63";"Ветер, дующий с юго-запада";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"-5.1";"";"";"";"";"";"";"";"2.0";"12";"";"";"";"";
"28.12.2017 14:00";"-5.4";"696.0";"";"";"84";"Ветер, дующий с запада";"2";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"28.12.2017 08:00";"-14.0";"693.0";"";"";"95";"Штиль, безветрие";"0";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"-19.4";"";"";"";"";"";"";"";"";"0.5";"12";"";"";"";"";
"28.12.2017 02:00";"-18.8";"690.0";"";"";"90";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"27.12.2017 20:00";"-14.4";"692.0";"";"";"90";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"-9.0";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"27.12.2017 14:00";"-9.8";"691.0";"";"";"85";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"27.12.2017 08:00";"-11.5";"690.0";"";"";"95";"Штиль, безветрие";"0";"";"";"70 – 80%.";"Состояние неба в общем не изменилось. ";"";"";"-16.6";"";"";"";"";"";"";"";"";"2.0";"12";"";"";"";"";
"27.12.2017 02:00";"-12.0";"689.0";"";"";"95";"Штиль, безветрие";"0";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"26.12.2017 20:00";"-16.5";"686.0";"";"";"90";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"-16.5";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"26.12.2017 14:00";"";"685.0";"";"";"";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"26.12.2017 02:00";"-27.6";"688.0";"767.9";"";"85";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-29.3";"";"";"";"";"";"";
"25.12.2017 14:00";"-16.4";"694.0";"";"";"80";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"-27.1";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"25.12.2017 08:00";"-24.4";"695.0";"";"";"90";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"-24.5";"";"";"";"";"";"";"";"";"0.4";"12";"";"";"";"";
"25.12.2017 02:00";"-13.4";"696.0";"";"";"95";"Штиль, безветрие";"0";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"24.12.2017 20:00";"-10.8";"695.6";"771.0";"";"95";"Штиль, безветрие";"0";"";"";"100%.";"Снег непрерывный сильный в срок наблюдения. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"-8.9";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"";"-11.4";"0.7";"12";"";"";"";"";
"24.12.2017 14:00";"-10.4";"697.0";"";"";"95";"Штиль, безветрие";"0";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"24.12.2017 08:00";"-13.2";"697.0";"";"";"95";"Штиль, безветрие";"0";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"-14.8";"";"";"";"";"";"";"";"";"2.0";"12";"";"";"";"";
"24.12.2017 02:00";"-14.1";"698.0";"";"";"90";"Штиль, безветрие";"0";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"23.12.2017 20:00";"-14.8";"698.0";"";"";"90";"Штиль, безветрие";"0";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"-10.6";"";"";"";"";"";"";"";"0.4";"12";"";"";"";"";
"23.12.2017 14:00";"-11.6";"698.0";"";"";"90";"Штиль, безветрие";"0";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"23.12.2017 08:00";"-14.3";"698.0";"";"";"95";"Штиль, безветрие";"0";"";"";"100%.";"Снег непрерывный сильный в срок наблюдения. ";"";"";"-16.9";"";"";"";"";"";"";"";"";"2.0";"12";"";"";"";"";
"23.12.2017 02:00";"-13.2";"697.0";"";"";"95";"Штиль, безветрие";"0";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"22.12.2017 20:00";"-16.6";"696.0";"";"";"85";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";" ";"";"";"";"-15.0";"";"";"";"";"";"";"";"0.3";"12";"";"";"";"";
"22.12.2017 14:00";"-16.4";"696.0";"";"";"80";"Штиль, безветрие";"0";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"22.12.2017 08:00";"-22.1";"695.0";"";"";"79";"Штиль, безветрие";"0";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"";"";"-26.0";"";"";"";"";"";"";"";"";"Следы осадков";"12";"";"";"";"";
"22.12.2017 02:00";"-23.6";"696.0";"";"";"79";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"21.12.2017 20:00";"-19.6";"695.0";"";"";"80";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"-13.9";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"21.12.2017 14:00";"-15.2";"694.0";"";"";"61";"Ветер, дующий с запада";"2";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"21.12.2017 08:00";"-24.6";"695.0";"";"";"76";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"-31.0";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"21.12.2017 02:00";"";"695.0";"";"";"";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"20.12.2017 20:00";"-24.6";"696.0";"";"";"74";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"";"-15.3";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"20.12.2017 14:00";"";"697.0";"";"";"";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"-31.5";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"20.12.2017 08:00";"";"699.0";"";"";"";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"-29.6";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"20.12.2017 02:00";"-24.8";"701.0";"";"";"75";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"19.12.2017 20:00";"-15.3";"703.0";"";"";"80";"Штиль, безветрие";"0";"";"";"60%.";" ";"";"";"";"-1.0";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"19.12.2017 14:00";"-2.6";"704.0";"";"";"40";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"19.12.2017 08:00";"-5.2";"703.0";"";"";"51";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"-6.9";"";"";"";"";"";"";"";"";"Следы осадков";"12";"";"";"";"";
"19.12.2017 02:00";"-3.9";"704.0";"";"";"73";"Штиль, безветрие";"0";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"18.12.2017 20:00";"-4.0";"704.0";"";"";"68";"Ветер, дующий с запада";"2";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"";"-1.5";"";"";"";"";"";"";"";"0.5";"12";"";"";"";"";
"18.12.2017 14:00";"-2.0";"703.0";"";"";"77";"Ветер, дующий с запада";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"18.12.2017 08:00";"-7.7";"703.0";"";"";"95";"Штиль, безветрие";"0";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"-9.5";"";"";"";"";"";"";"";"";"0.5";"12";"";"";"";"";
"18.12.2017 02:00";"-9.1";"705.0";"";"";"92";"Штиль, безветрие";"0";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"17.12.2017 20:00";"-9.4";"706.0";"";"";"91";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"-5.8";"";"";"";"";"";"";"";"0.5";"12";"";"";"";"";
"17.12.2017 14:00";"-6.4";"705.0";"";"";"83";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"17.12.2017 08:00";"-6.2";"702.0";"";"";"99";"Штиль, безветрие";"0";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"-6.4";"";"";"";"";"";"";"";"";"3.0";"12";"";"";"";"";
"17.12.2017 02:00";"-5.9";"701.0";"";"";"99";"Штиль, безветрие";"0";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"16.12.2017 20:00";"-4.4";"701.0";"";"";"96";"Штиль, безветрие";"0";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"";"-2.9";"";"";"";"";"";"";"";"2.0";"12";"";"";"";"";
"16.12.2017 14:00";"-3.2";"701.0";"";"";"81";"Штиль, безветрие";"0";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"16.12.2017 08:00";"-5.8";"704.0";"";"";"82";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"-18.1";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"16.12.2017 02:00";"-17.7";"708.0";"";"";"90";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"15.12.2017 20:00";"-16.9";"708.0";"";"";"85";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"-10.1";"";"";"";"";"";"";"";"0.4";"12";"";"";"";"";
"15.12.2017 14:00";"-10.9";"709.0";"";"";"85";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"15.12.2017 08:00";"-14.2";"708.0";"";"";"85";"Штиль, безветрие";"0";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"-15.3";"";"";"";"";"";"";"";"";"2.0";"12";"";"";"";"";
"15.12.2017 02:00";"-15.0";"708.0";"";"";"85";"Штиль, безветрие";"0";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"14.12.2017 20:00";"-13.2";"707.0";"";"";"80";"Ветер, дующий с запада";"2";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"";"-12.2";"";"";"";"";"";"";"";"2.0";"12";"";"";"";"";
"14.12.2017 14:00";"-12.5";"704.0";"";"";"85";"Штиль, безветрие";"0";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"14.12.2017 08:00";"-20.2";"702.0";"";"";"85";"Штиль, безветрие";"0";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"";"";"-20.9";"";"";"";"";"";"";"";"";"0.2";"12";"";"";"";"";
"14.12.2017 02:00";"-20.8";"703.0";"";"";"85";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"13.12.2017 20:00";"-17.4";"703.0";"";"";"85";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"-11.0";"";"";"";"";"";"";"";"0.2";"12";"";"";"";"";
"13.12.2017 14:00";"-14.8";"701.0";"";"";"85";"Штиль, безветрие";"0";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"13.12.2017 08:00";"-17.4";"700.0";"";"";"90";"Штиль, безветрие";"0";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"";"";"-18.3";"";"";"";"";"";"";"";"";"2.0";"12";"";"";"";"";
"13.12.2017 02:00";"-17.1";"698.0";"";"";"90";"Штиль, безветрие";"0";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"12.12.2017 20:00";"-17.6";"696.0";"";"";"90";"Штиль, безветрие";"0";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"-17.4";"";"";"";"";"";"";"";"1.0";"12";"";"";"";"";
"12.12.2017 14:00";"-21.3";"696.0";"";"";"85";"Штиль, безветрие";"0";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"";"";"-29.5";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"12.12.2017 08:00";"";"697.0";"";"";"";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"-28.6";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"12.12.2017 02:00";"-27.3";"698.0";"";"";"84";"Штиль, безветрие";"0";"";"";"40%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"11.12.2017 20:00";"-21.8";"698.0";"";"";"85";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"11.12.2017 14:00";"-21.1";"698.0";"";"";"80";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"11.12.2017 08:00";"";"698.0";"";"";"";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"-30.3";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"11.12.2017 02:00";"";"698.0";"";"";"";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"10.12.2017 20:00";"-24.6";"699.0";"";"";"84";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"-15.8";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"10.12.2017 14:00";"-18.5";"700.0";"";"";"85";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"-25.9";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"10.12.2017 08:00";"-25.1";"700.0";"";"";"85";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"-25.8";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"10.12.2017 02:00";"-23.2";"709.0";"";"";"85";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"09.12.2017 20:00";"-16.2";"702.0";"";"";"";"Штиль, безветрие";"0";"";"";"20–30%.";"Состояние неба в общем не изменилось. ";"";"";"";"-5.6";"";"";"";"";"";"";"";"0.3";"12";"";"";"";"";
"09.12.2017 14:00";"-6.1";"702.0";"";"";"86";"Штиль, безветрие";"0";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"20.0";"";"";"";"";"";"";"";
"09.12.2017 08:00";"-10.1";"702.0";"";"";"95";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"-17.8";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"09.12.2017 02:00";"-15.9";"702.0";"";"";"90";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"08.12.2017 20:00";"-16.9";"731.0";"";"";"90";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"-9.1";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"08.12.2017 14:00";"-11.7";"701.0";"";"";"80";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"08.12.2017 08:00";"-24.2";"702.0";"";"";"85";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"-25.6";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"08.12.2017 02:00";"-21.7";"702.0";"";"";"85";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"07.12.2017 20:00";"-14.9";"702.0";"";"";"90";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"-8.3";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"07.12.2017 14:00";"-12.3";"702.0";"";"";"85";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";" ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"07.12.2017 08:00";"-23.6";"702.0";"";"";"84";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"-26.0";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"07.12.2017 02:00";"-24.8";"703.0";"";"";"85";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"06.12.2017 20:00";"-19.8";"702.0";"";"";"85";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"-10.0";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"06.12.2017 14:00";"-10.0";"702.0";"";"";"70";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"-15.3";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"06.12.2017 08:00";"-13.8";"701.0";"";"";"90";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"-14.5";"";"";"";"";"";"";"";"";"0.9";"12";"";"";"";"";
"06.12.2017 02:00";"-13.8";"699.0";"";"";"85";"Штиль, безветрие";"0";"";"";"60%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"05.12.2017 20:00";"-9.0";"697.0";"";"";"88";"Штиль, безветрие";"0";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"";"-6.2";"";"";"";"";"";"";"";"3.0";"12";"";"";"";"";
"05.12.2017 14:00";"-8.0";"696.0";"";"";"81";"Ветер, дующий с севера";"2";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"-8.1";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"05.12.2017 08:00";"-6.2";"694.0";"";"";"81";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"-6.5";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"05.12.2017 02:00";"-3.4";"695.0";"";"";"74";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"04.12.2017 20:00";"-2.2";"696.0";"";"";"54";"Ветер, дующий с запада";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"-0.4";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"04.12.2017 14:00";"-1.5";"698.0";"";"";"54";"Ветер, дующий с запада";"4";"";"";"100%.";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"04.12.2017 08:00";"-15.1";"698.0";"";"";"85";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"-16.4";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"04.12.2017 02:00";"-14.6";"700.0";"";"";"85";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"03.12.2017 20:00";"-15.3";"701.0";"";"";"85";"Ветер, дующий с запада";"2";"";"";"100%.";" ";"";"";"";"-13.9";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"03.12.2017 14:00";"-17.1";"702.0";"";"";"80";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"-24.2";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"03.12.2017 08:00";"-23.5";"703.0";"";"";"84";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"-24.0";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"03.12.2017 02:00";"-21.1";"704.0";"";"";"85";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"02.12.2017 20:00";"-18.9";"705.0";"";"";"85";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"-13.0";"";"";"";"";"";"";"";"0.3";"12";"";"";"";"";
"02.12.2017 14:00";"-13.3";"703.0";"";"";"75";"Штиль, безветрие";"0";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"02.12.2017 08:00";"-17.0";"702.0";"";"";"85";"Штиль, безветрие";"0";"";"";"100%.";"Снег с перерывами слабый в срок наблюдения. ";"";"";"-17.5";"";"";"";"";"";"";"";"";"0.5";"12";"";"";"";"";
"02.12.2017 02:00";"-14.1";"701.0";"";"";"92";"Штиль, безветрие";"0";"";"";"100%.";"Снег с перерывами слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"01.12.2017 20:00";"-13.0";"700.0";"";"";"85";"Штиль, безветрие";"0";"";"";"100%.";"Осадки в поле зрения, достигающие поверхности земли или моря на расстоянии более 5 км от станции. ";"";"";"";"-10.6";"";"";"";"";"";"";"";"0.3";"12";"";"";"";"";
"01.12.2017 14:00";"-11.4";"698.0";"";"";"75";"Штиль, безветрие";"0";"";"";"70 – 80%.";"Осадки в поле зрения, достигающие поверхности земли или моря на расстоянии более 5 км от станции. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"01.12.2017 08:00";"-13.4";"698.0";"";"";"90";"Штиль, безветрие";"0";"";"";"100%.";"Снег с перерывами слабый в срок наблюдения. ";"";"";"-20.1";"";"";"";"";"";"";"";"";"0.4";"12";"";"";"";"";
"01.12.2017 02:00";"-18.9";"697.0";"";"";"85";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"30.11.2017 20:00";"-15.6";"698.0";"";"";"80";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"-15.6";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"30.11.2017 14:00";"-19.7";"701.0";"";"";"80";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"30.11.2017 08:00";"";"703.0";"";"";"";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"30.11.2017 02:00";"-21.3";"703.0";"";"";"85";"Штиль, безветрие";"0";"";"";"40%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"29.11.2017 20:00";"-12.1";"702.0";"";"";"85";"Штиль, безветрие";"0";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"-7.8";"";"";"";"";"";"";"";"2.0";"12";"";"";"";"";
