Местное время в Алыгджере;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
23.01.2017 5:00;-12.0;687.1;773.6;;60;Ветер, дующий с юго-юго-востока;4;;;Облаков нет.; ;;;;;;;;;;;-18.2;;;;;;
23.01.2017 11:00;-15.0;685.6;772.9;;80;Штиль, безветрие;0;;;100%.; ;;;-15.5;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;50.0;-17.7;;;;;;
23.01.2017 17:00;-9.5;683.0;768.2;;66;Штиль, безветрие;0;;;70 – 80%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-14.7;;;;;;
23.01.2017 23:00;-16.0;681.5;768.8;;100;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-16.0;;;;;;
24.01.2017 5:00;-14.0;679.2;765.5;;75;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-17.5;;;;;;
24.01.2017 11:00;-10.6;680.2;765.5;;80;Штиль, безветрие;0;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;1000-1500;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;50.0;-13.4;;;;;;
24.01.2017 17:00;-4.1;680.0;763.1;;62;Штиль, безветрие;0;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;1000-1500;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;50.0;-10.4;;;;;;
24.01.2017 23:00;-5.1;683.0;766.7;;100;Ветер, дующий с севера;2;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Морось.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-5.1;;;;;;
25.01.2017 5:00;-10.4;685.4;771.2;;;Штиль, безветрие;0;;;20–30%.;Облака в целом рассеиваются или становятся менее развитыми. ;Ливень (ливни).;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;;;;;;;
25.01.2017 11:00;-21.9;689.4;779.9;;95;Штиль, безветрие;0;;;Облаков нет.; ;;;-22.1;;;;;;;50.0;-22.5;;;;;;
25.01.2017 17:00;-10.2;689.6;775.9;;30;Ветер, дующий с юга;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-24.5;;;;;;
25.01.2017 23:00;-11.3;689.5;776.1;;50;Ветер, дующий с юго-юго-востока;4;;;Облаков нет.; ;;;;;;;;;;;-19.7;;;;;;
26.01.2017 5:00;-10.6;687.2;773.3;;55;Штиль, безветрие;0;;;100%.;Состояние неба в общем не изменилось. ;Метель;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;60%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-17.9;;;;;;
26.01.2017 11:00;-13.9;684.4;771.3;;45;Ветер, дующий с юго-юго-востока;2;;;100%.;Состояние неба в общем не изменилось. ;Метель;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-23.3;;;;;;
26.01.2017 17:00;-5.1;681.4;765.0;;33;Ветер, дующий с юго-востока;4;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;50.0;-19.0;;;;;;
26.01.2017 23:00;-12.9;679.4;765.4;;46;Штиль, безветрие;0;;;70 – 80%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;70 – 80%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-22.2;;;;;;
27.01.2017 5:00;-12.6;680.8;766.8;;80;Ветер, дующий с северо-северо-запада;4;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-15.3;;;;;;
27.01.2017 11:00;-17.0;684.7;772.7;;80;Ветер, дующий с севера;2;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;4.0;-19.6;;;;;;
27.01.2017 17:00;-17.9;688.7;777.7;;62;Ветер, дующий с севера;2;;;100%.;Осадки в поле зрения, достигающие поверхности земли или моря поблизости, но не на самой станции. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;4.0;-23.4;;;;;;
27.01.2017 23:00;-21.5;693.0;783.8;;80;Штиль, безветрие;0;;;40%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-24.0;;;;;;
28.01.2017 5:00;-24.5;695.3;787.6;;75;Ветер, дующий с юго-юго-востока;2;;;Облаков нет.; ;;;;;;;;;;;-27.7;;;;;;
30.01.2017 11:00;-11.9;687.7;774.4;;30;Ветер, дующий с юго-юго-востока;4;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-26.0;;;;;;
30.01.2017 17:00;-6.5;687.5;772.2;;32;Ветер, дующий с юго-юго-запада;4;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;1000-1500;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;50.0;-20.7;;;;;;
30.01.2017 23:00;-9.0;688.6;774.4;;44;Ветер, дующий с юга;4;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистых, перисто-кучевых или перисто-слоистых нет.;;-19.2;;;;;;
31.01.2017 5:00;-12.4;688.3;775.3;;55;Ветер, дующий с юго-юго-востока;6;10;10;Облаков нет.; ;;;;;;;;;;;-19.6;;;;;;
31.01.2017 17:00;-3.8;686.3;770.1;;43;Ветер, дующий с юго-юго-востока;4;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;50%.;1000-1500;Высокослоистые просвечивающие.;;50.0;-14.8;;;;;;
31.01.2017 23:00;-4.7;686.8;771.0;;35;Ветер, дующий с юга;4;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;50%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-18.1;;;;;;
01.02.2017 5:00;-10.6;686.5;772.3;;82;Ветер, дующий с юго-юго-востока;1;;;70 – 80%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;40%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-13.1;;;;;;
01.02.2017 11:00;-10.4;686.0;772.0;;51;Ветер, дующий с юго-востока;4;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;70 – 80%.;1000-1500;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-18.8;;;;;;
01.02.2017 17:00;-3.0;684.1;767.4;;35;Ветер, дующий с юго-юго-запада;4;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;60%.;1000-1500;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-16.5;;;;;;
01.02.2017 23:00;-6.0;684.6;768.9;;74;Ветер, дующий с юга;6;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-9.9;;;;;;
02.02.2017 5:00;-7.5;684.4;769.0;;76;Ветер, дующий с юго-юго-востока;6;;;50%.;Облака в целом рассеиваются или становятся менее развитыми. ;Ливень (ливни).;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;50%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-11.0;;;;;;
02.02.2017 11:00;-7.7;684.3;769.0;;76;Ветер, дующий с юго-юго-востока;2;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;50.0;-11.2;;;;;;
02.02.2017 17:00;-4.9;683.8;767.7;;59;Ветер, дующий с юго-юго-востока;2;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-11.7;;;;;;
02.02.2017 23:00;-8.8;683.8;768.9;;65;Ветер, дующий с юго-юго-востока;4;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-14.2;;;;;;
03.02.2017 5:00;-10.8;684.1;769.1;;70;Ветер, дующий с юго-юго-востока;2;;;Облаков нет.; ;;;;;;;;;;;-15.2;;;;;;
03.02.2017 11:00;-11.6;684.1;770.2;;70;Ветер, дующий с юго-юго-востока;4;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;50%.;1000-1500;Высокослоистые просвечивающие.;;50.0;-16.0;;;;;;
03.02.2017 17:00;-5.0;682.6;766.3;;45;Штиль, безветрие;0;;;70 – 80%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;1000-1500;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;50.0;-15.2;;;;;;
03.02.2017 23:00;-11.5;682.9;768.7;;71;Штиль, безветрие;0;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;;-15.7;;;;;;
04.02.2017 5:00;-16.4;684.2;772.0;;85;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-18.3;;;;;;
04.02.2017 11:00;-18.4;685.0;773.6;;95;Штиль, безветрие;0;;;Облаков нет.; ;;;-21.2;;;;;;;50.0;-19.0;;;;;;
04.02.2017 17:00;-6.9;682.6;766.9;;48;Ветер, дующий с юго-юго-востока;2;;;Облаков нет.; ;;;;;;;;;;50.0;-16.1;;;;;;
04.02.2017 23:00;-8.1;681.7;766.3;;53;Ветер, дующий с юго-юго-востока;4;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-16.2;;;;;;
05.02.2017 5:00;-13.8;684.0;770.8;;80;Ветер, дующий с юго-востока;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;;-16.5;;;;;;
05.02.2017 11:00;-12.0;685.6;772.0;;95;Штиль, безветрие;0;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;4.0;-12.6;;;;;;
05.02.2017 17:00;-7.5;686.2;771.1;;82;Ветер, дующий с севера;2;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;4.0;-10.1;;;;;;
05.02.2017 23:00;-11.5;689.7;776.5;;95;Штиль, безветрие;0;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;50%.;600-1000;Высокослоистые просвечивающие.;;;-12.1;;;;;;
06.02.2017 5:00;-22.0;692.8;783.9;;99;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-22.1;;;;;;
06.02.2017 11:00;-22.0;695.4;786.7;;95;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-22.6;;;;;;
06.02.2017 17:00;-10.3;694.6;781.6;;55;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;;-17.6;;;;;;
06.02.2017 23:00;-22.9;696.9;788.8;;95;Штиль, безветрие;0;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-23.5;;;;;;
07.02.2017 5:00;-26.8;697.8;791.2;;94;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-27.5;;;;;;
07.02.2017 11:00;-26.1;697.6;790.9;;86;Штиль, безветрие;0;;;Облаков нет.; ;;;-27.5;;;;;;;;-27.7;;;;;;
07.02.2017 17:00;-8.1;694.4;780.7;;38;Ветер, дующий с юго-юго-востока;4;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;;-19.9;;;;;;
07.02.2017 23:00;-10.0;694.3;781.1;;43;Ветер, дующий с юго-юго-востока;6;;;100%.;Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ;Метель;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;;-20.3;;;;;;
08.02.2017 17:00;-2.7;691.1;775.0;;28;Ветер, дующий с юго-юго-востока;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-18.9;;;;;;
08.02.2017 23:00;-6.7;690.9;776.2;;34;Ветер, дующий с юга;4;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;10%  или менее, но не 0;;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-20.2;;;;;;
09.02.2017 5:00;-9.9;689.5;775.7;;37;Ветер, дующий с юго-юго-востока;6;;;Облаков нет.; ;;;;;;;;;;;-21.9;;;;;;
09.02.2017 11:00;-11.0;688.6;775.3;;45;Ветер, дующий с востоко-юго-востока;6;;10;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-20.6;;;;;;
09.02.2017 17:00;0.4;686.1;768.5;;26;Ветер, дующий с юго-юго-востока;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;;-17.0;;;;;;
09.02.2017 23:00;-4.0;685.9;769.6;;33;Ветер, дующий с юго-востока;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;;-18.1;;;;;;
10.02.2017 5:00;-9.5;685.9;771.6;;45;Ветер, дующий с юго-юго-востока;2;;;Облаков нет.; ;;;;;;;;;;;-19.4;;;;;;
