Местное время в Нерое;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
28.01.2017 14:00;-22.9;704.0;;;65;;0;;;Облаков нет.; ;;;;;;;;;;50.0;;;;;;;
28.01.2017 20:00;-29.6;699.0;;;75;;0;;;Облаков нет.; ;;;;-16.6;;;;;;;;;;;;;
29.01.2017 2:00;;698.0;;;;;0;;;Облаков нет.; ;;;;;;;;;;;;;;;;;
29.01.2017 8:00;;698.0;;;;;0;;;Облаков нет.; ;;;-39.9;;;;;;;;;;;;;;
29.01.2017 14:00;-22.1;697.0;;;69;;0;;;100%.; ;;;;;;;;;;50.0;;;;;;;
29.01.2017 20:00;-24.4;697.0;;;80;;0;;;20–30%.; ;;;;-17.8;;;;;;;;;;;;;
30.01.2017 2:00;-30.1;696.0;;;79;;0;;;40%.; ;;;;;;;;;;;;;;;;;
30.01.2017 8:00;-26.7;697.0;;;79;;0;;;20–30%.; ;;;-31.8;;;;;;;;;;;;;;
30.01.2017 14:00;-13.4;699.0;;;65;;0;;;70 – 80%.; ;;;;;;;;;;50.0;;;;;;;
30.01.2017 20:00;-14.8;699.0;;;75;;0;;;90  или более, но не 100%; ;;;;-7.6;;;;;;;;;;;;;
31.01.2017 2:00;-26.3;699.0;;;80;;0;;;Облаков нет.; ;;;;;;;;;;;;;;;;;
31.01.2017 8:00;-27.7;698.0;;;81;;0;;;100%.; ;;;-30.0;;;;;;;;;;;;;;
31.01.2017 14:00;-17.3;698.0;;;75;;0;;;100%.; ;;;;;;;;;;;;;;;;;
31.01.2017 20:00;-19.0;697.0;;;85;;0;;;20–30%.; ;;;;-13.6;;;;;;;;;;;;;
01.02.2017 2:00;-25.8;698.0;;;79;;0;;;Облаков нет.; ;;;;;;;;;;;;;;;;;
01.02.2017 8:00;;697.0;;;;;0;;;100%.; ;;;-31.0;;;;;;;;;;;;;;
01.02.2017 14:00;-17.0;695.0;;;70;;0;;;100%.; ;;;;;;;;;;50.0;;;;;;;
01.02.2017 20:00;-12.3;693.0;;;80;;0;;;100%.; ;;;;-12.3;;;;;;;;1.0;;;;;
02.02.2017 2:00;-9.4;696.0;;;98;;0;;;100%.; ;;;;;;;;;;;;;;;;;
02.02.2017 8:00;-11.3;695.0;;;95;;0;;;100%.; ;;;-12.4;;;;;;;;;4.0;;;;;
02.02.2017 14:00;-3.5;695.0;;;72;;0;;;70 – 80%.; ;;;;;;;;;;50.0;;;;;;;
02.02.2017 20:00;-13.2;695.0;;;80;;0;;;100%.; ;;;;-0.7;;;;;;;;;;;;;
03.02.2017 2:00;-21.0;695.0;;;80;;0;;;20–30%.; ;;;;;;;;;;;;;;;;;
03.02.2017 8:00;-22.4;695.0;;;85;;0;;;100%.; ;;;-22.5;;;;;;;;;;;;;;
03.02.2017 14:00;-13.3;695.0;;;80;;0;;;100%.; ;;;-23.1;;;;;;;50.0;;;;;;;
03.02.2017 20:00;-10.2;695.0;;;90;;0;;;100%.; ;;;;-5.8;;;;;;;;0.6;;;;;
04.02.2017 2:00;-12.6;695.0;;;95;;0;;;90  или более, но не 100%; ;;;;;;;;;;;;;;;;;
04.02.2017 8:00;-29.4;695.0;;;80;;0;;;Облаков нет.; ;;;-29.5;;;;;;;;;1.0;;;;;
04.02.2017 14:00;-13.6;694.0;;;75;;0;;;Облаков нет.; ;;;-31.2;;;;;;;50.0;;;;;;;
04.02.2017 20:00;-13.8;692.0;;;80;;0;;;70 – 80%.; ;;;;-6.8;;;;;;;;;;;;;
05.02.2017 2:00;-18.0;693.0;;;85;;0;;;100%.; ;;;;;;;;;;;;;;;;;
05.02.2017 8:00;-15.6;696.0;;;82;;0;;;100%.; ;;;-18.9;;;;;;;;;1.0;;;;;
05.02.2017 14:00;-8.6;698.0;;;74;;0;;;100%.; ;;;;;;;;;;50.0;;;;;;;
05.02.2017 20:00;-11.9;700.0;;;85;;0;;;100%.; ;;;;-8.4;;;;;;;;0.9;;;;;
06.02.2017 2:00;-20.6;702.0;;;85;;0;;;70 – 80%.; ;;;;;;;;;;;;;;;;;
06.02.2017 8:00;-26.0;705.0;;;85;;0;;;50%.; ;;;-26.9;;;;;;;;;;;;;;
06.02.2017 14:00;-13.4;706.0;;;71;;0;;;70 – 80%.; ;;;;;;;;;;50.0;;;;;;;
06.02.2017 20:00;-17.3;707.0;;;85;;0;;;40%.; ;;;;-9.4;;;;;;;;;;;;;
07.02.2017 2:00;-27.1;709.0;;;80;;0;;;Облаков нет.; ;;;;;;;;;;;;;;;;;
07.02.2017 8:00;;706.0;;;;;0;;;20–30%.; ;;;-35.3;;;;;;;;;;;;;;
07.02.2017 14:00;-18.5;707.0;;;65;;0;;;Облаков нет.; ;;;;;;;;;;50.0;;;;;;;
07.02.2017 20:00;-19.4;705.0;;;80;;0;;;100%.; ;;;;;;;;;;;;;;;;;
08.02.2017 2:00;-28.0;705.0;;;79;;0;;;70 – 80%.; ;;;;;;;;;;;;;;;;;
08.02.2017 8:00;;703.0;;;;;0;;;70 – 80%.; ;;;-30.8;;;;;;;;;;;;;;
08.02.2017 14:00;-13.1;702.0;;;65;;0;;;70 – 80%.; ;;;-32.8;;;;;;;50.0;;;;;;;
08.02.2017 20:00;-16.2;701.0;;;75;;0;;;100%.; ;;;;;;;;;;;;;;;;;
09.02.2017 2:00;-22.7;701.0;;;80;;0;;;100%.; ;;;;;;;;;;;;;;;;;
09.02.2017 8:00;;699.0;;;;;0;;;Облаков нет.; ;;;-30.5;;;;;;;;;;;;;;
09.02.2017 14:00;-10.6;698.0;;;70;;0;;;100%.; ;;;;;;;;;;50.0;;;;;;;
09.02.2017 20:00;-18.0;697.0;;;80;;0;;;100%.; ;;;;-5.4;;;;;;;;;;;;;
10.02.2017 2:00;-24.1;697.0;;;79;;0;;;60%.; ;;;;;;;;;;;;;;;;;
10.02.2017 8:00;;695.0;;;;;0;;;40%.; ;;;-31.5;;;;;;;;;;;;;;
10.02.2017 14:00;-13.0;692.0;;;70;;0;;;100%.; ;;;;;;;;;;50.0;;;;;;;
10.02.2017 20:00;-13.2;694.0;;;80;;0;;;70 – 80%.; ;;;;;;;;;;;;;;;;;
11.02.2017 2:00;-21.1;694.0;;;80;;0;;;20–30%.; ;;;;;;;;;;;;;;;;;
11.02.2017 8:00;-26.3;696.0;;;85;;0;;;90  или более, но не 100%; ;;;-27.1;;;;;;;;;;;;;;
11.02.2017 14:00;-8.5;696.0;;;74;;0;;;100%.; ;;;;;;;;;;50.0;;;;;;;
11.02.2017 20:00;-12.2;697.0;;;80;;0;;;60%.; ;;;;-3.9;;;;;;;;;;;;;
12.02.2017 2:00;-14.3;698.0;;;85;;0;;;100%.; ;;;;;;;;;;;;;;;;;
12.02.2017 8:00;-15.9;700.0;;;90;;0;;;100%.; ;;;-17.4;;;;;;;;;0.6;;;;;
12.02.2017 14:00;-8.8;700.0;;;68;;0;;;60%.; ;;;;;;;;;;50.0;;;;;;;
12.02.2017 20:00;-12.4;700.0;;;85;;0;;;70 – 80%.; ;;;;-5.8;;;;;;;;;;;;;
13.02.2017 2:00;-17.3;701.0;;;85;;0;;;100%.; ;;;;;;;;;;;;;;;;;
13.02.2017 8:00;-18.8;702.0;;;85;;0;;;100%.; ;;;-18.9;;;;;;;;;0.7;;;;;
13.02.2017 14:00;-12.4;702.0;;;67;;0;;;70 – 80%.; ;;;-20.8;;;;;;;50.0;;;;;;;
13.02.2017 20:00;;701.0;;;;;0;;;100%.; ;;;;-10.4;;;;;;;;0.2;;;;;
14.02.2017 2:00;-20.3;701.0;;;85;;0;;;100%.; ;;;;;;;;;;;;;;;;;
14.02.2017 8:00;-24.8;701.0;;;80;;0;;;40%.; ;;;-24.9;;;;;;;;;0.6;;;;;
14.02.2017 14:00;-10.3;701.0;;;65;;0;;;70 – 80%.; ;;;-27.9;;;;;;;50.0;;;;;;;
14.02.2017 20:00;;700.0;;;;;0;;;100%.; ;;;;-8.7;;;;;;;;;;;;;
15.02.2017 2:00;-29.7;700.0;;;74;;0;;;Облаков нет.; ;;;;;;;;;;;;;;;;;
15.02.2017 8:00;-37.6;701.0;;;74;;0;;;Облаков нет.; ;;;-37.7;;;;;;;;;;;;;;
15.02.2017 14:00;-14.4;702.0;;;65;;0;;;Облаков нет.; ;;;-37.9;;;;;;;50.0;;;;;;;
15.02.2017 20:00;-23.2;702.0;;;70;;0;;;Облаков нет.; ;;;;;;;;;;;;;;;;;
16.02.2017 2:00;-34.4;704.0;;;74;;0;;;Облаков нет.; ;;;;;;;;;;;;;;;;;
16.02.2017 8:00;;704.0;;;;;0;;;Облаков нет.; ;;;-38.5;;;;;;;;;;;;;;
16.02.2017 14:00;-15.2;702.0;;;60;;0;;;Облаков нет.; ;;;;;;;;;;50.0;;;;;;;
16.02.2017 20:00;-19.4;699.0;;;70;;0;;;Облаков нет.; ;;;;-7.4;;;;;;;;;;;;;
17.02.2017 2:00;-29.2;697.0;;;75;;0;;;40%.; ;;;;;;;;;;;;;;;;;
17.02.2017 8:00;-30.6;695.0;;;75;;0;;;20–30%.; ;;;-30.7;;;;;;;;;;;;;;
17.02.2017 14:00;-13.9;693.0;;;50;;0;;;70 – 80%.; ;;;-33.2;;;;;;;50.0;;;;;;;
17.02.2017 20:00;-10.3;686.0;;;55;;0;;;100%.; ;;;;-7.1;;;;;;;;;;;;;
18.02.2017 2:00;-11.8;682.0;;;70;;0;;;100%.; ;;;;;;;;;;;;;;;;;
18.02.2017 8:00;-8.9;686.0;;;83;Ветер, дующий с юго-запада;2;;;100%.; ;;;-12.5;;;;;;;;;0.8;;;;;
18.02.2017 14:00;-10.7;693.0;;;65;Ветер, дующий с юго-запада;2;;;100%.; ;;;;;;;;;;50.0;;;;;;;
18.02.2017 20:00;;693.0;;;;Ветер, дующий с юго-запада;2;;;100%.; ;;;;;;;;;;50.0;;;;;;;
19.02.2017 2:00;-27.2;697.0;;;80;;0;;;Облаков нет.; ;;;;;;;;;;;;;;;;;
19.02.2017 8:00;;697.0;;;;;0;;;Облаков нет.; ;;;-34.2;;;;;;;;;;;;;;
19.02.2017 14:00;-13.3;695.0;;;55;;0;;;Облаков нет.; ;;;-35.2;;;;;;;50.0;;;;;;;
19.02.2017 20:00;-15.2;692.0;;;65;;0;;;Облаков нет.; ;;;;;;;;;;;;;;;;;
20.02.2017 2:00;-25.7;691.0;;;85;;0;;;Облаков нет.; ;;;;;;;;;;;;;;;;;
20.02.2017 8:00;-20.3;694.0;;;85;;0;;;100%.; ;;;-26.3;;;;;;;;;;;;;;
20.02.2017 14:00;-5.2;695.0;;;39;Ветер, дующий с северо-запада;2;;;70 – 80%.; ;;;;;;;;;;50.0;;;;;;;
20.02.2017 20:00;-15.3;696.0;;;50;;0;;;Облаков нет.; ;;;;-4.1;;;;;;;;;;;;;
21.02.2017 2:00;-26.3;696.0;;;75;;0;;;Облаков нет.; ;;;;;;;;;;;;;;;;;
21.02.2017 8:00;-20.6;695.0;;;75;;0;;;100%.; ;;;-27.5;;;;;;;;;;;;;;
21.02.2017 14:00;-4.9;695.0;;;40;Ветер, дующий с юга;2;;;70 – 80%.; ;;;;;;;;;;50.0;;;;;;;
21.02.2017 20:00;-9.2;695.0;;;52;;0;;;100%.; ;;;;-4.3;;;;;;;;;;;;;
22.02.2017 2:00;-14.6;694.0;;;75;;0;;;100%.; ;;;;;;;;;;;;;;;;;
22.02.2017 8:00;-16.6;693.0;;;80;;0;;;100%.; ;;;-18.2;;;;;;;;;;;;;;
22.02.2017 14:00;0.2;694.0;;;48;Ветер, дующий с юго-запада;2;;;100%.; ;;;;;;;;;;50.0;;;;;;;
22.02.2017 20:00;-3.2;695.0;;;51;Ветер, дующий с северо-запада;2;;;20–30%.; ;;;;0.5;;;;;;;;;;;;;
23.02.2017 2:00;-7.2;696.0;;;74;;0;;;100%.; ;;;;;;;;;;;;;;;;;
23.02.2017 8:00;-8.1;696.0;;;83;;0;;;100%.; ;;;-8.2;;;;;;;;;;;;;;
23.02.2017 14:00;01.мар;696.0;;;57;;0;;;90  или более, но не 100%; ;;;-8.4;;;;;;;50.0;;;;;;;
23.02.2017 20:00;01.янв;697.0;;;55;Ветер, дующий с запада;2;;;100%.; ;;;;02.авг;;;;;;;;;;;;;
24.02.2017 2:00;0.4;698.0;;;73;;0;;;100%.; ;;;;;;;;;;;;;;;;;
24.02.2017 8:00;-3.4;698.0;;;67;Ветер, дующий с юго-запада;2;;;40%.; ;;;-3.5;;;;;;;;;;;;;;
24.02.2017 14:00;-6.0;699.0;;;99;Ветер, дующий с юго-запада;2;;;20–30%.; ;;;;;;;;;;50.0;;;;;;;
24.02.2017 20:00;-2.7;698.0;;;56;;0;;;20–30%.; ;;;;;;;;;;;;;;;;;
25.02.2017 2:00;-16.0;697.0;;;90;;0;;;Облаков нет.; ;;;;;;;;;;;;;;;;;
25.02.2017 8:00;-19.9;696.0;;;85;;0;;;100%.; ;;;-20.0;;;;;;;;;;;;;;
25.02.2017 14:00;-3.4;695.0;;;57;;0;;;100%.; ;;;-20.4;;;;;;;50.0;;;;;;;
25.02.2017 20:00;;694.0;;;;;0;;;70 – 80%.; ;;;;02.сен;;;;;;;;;;;;;
26.02.2017 2:00;-15.5;695.0;;;85;;0;;;40%.; ;;;;;;;;;;;;;;;;;
26.02.2017 8:00;-21.4;694.0;;;85;;0;;;60%.; ;;;-21.5;;;;;;;;;;;;;;
26.02.2017 14:00;-2.7;694.0;;;52;;0;;;100%.; ;;;-22.0;;;;;;;50.0;;;;;;;
26.02.2017 20:00;-1.4;694.0;;;62;;0;;;100%.; ;;;;01.июн;;;;;;;;;;;;;
27.02.2017 2:00;-6.9;696.0;;;96;;0;;;100%.; ;;;;;;;;;;;;;;;;;
27.02.2017 8:00;-7.5;698.0;;;102;;0;;;100%.; ;;;-7.6;;;;;;;;;3.0;;;;;
27.02.2017 14:00;-2.9;699.0;;;86;;0;;;90  или более, но не 100%; ;;;-8.2;;;;;;;50.0;;;;;;;
27.02.2017 20:00;-12.1;700.0;;;80;;0;;;Облаков нет.; ;;;;-1.6;;;;;;;;1.0;;;;;
28.02.2017 2:00;-17.6;702.0;;;90;;0;;;100%.; ;;;;;;;;;;;;;;;;;
28.02.2017 8:00;-24.8;702.0;;;85;;0;;;40%.; ;;;-24.9;;;;;;;;;;;;;;
28.02.2017 14:00;-7.4;701.0;;;79;;0;;;100%.; ;;;-25.3;;;;;;;50.0;;;;;;;
28.02.2017 20:00;-4.7;700.0;;;86;;0;;;70 – 80%.; ;;;;-1.8;;;;;;;;1.0;;;;;
01.03.2017 2:00;-11.9;697.0;;;90;;0;;;100%.; ;;;;;;;;;;;;;;;;;
01.03.2017 8:00;-18.0;696.0;;;90;;0;;;40%.; ;;;-18.1;;;;;;;;;;;;;;
01.03.2017 14:00;-0.3;695.0;;;78;;0;;;90  или более, но не 100%; ;;;-19.3;;;;;;;50.0;;;;;;;
01.03.2017 20:00;-2.1;694.0;;;87;;0;;;100%.; ;;;;-0.1;;;;;;;;;;;;;
02.03.2017 2:00;-3.7;693.0;;;96;;0;;;100%.; ;;;;;;;;;;;;;;;;;
02.03.2017 8:00;-7.9;692.0;;;102;;0;;;100%.; ;;;-8.1;;;;;;;;;2.0;;;;;
02.03.2017 14:00;-0.5;690.0;;;90;;0;;;100%.; ;;;-8.3;;;;;;;50.0;;;;;;;
02.03.2017 20:00;-2.4;690.0;;;96;Ветер, дующий с севера;2;;;100%.; ;;;;0.4;;;;;;;;3.0;;;;;
03.03.2017 2:00;-4.9;693.0;;;96;;0;;;100%.; ;;;;;;;;;;;;;;;;;
03.03.2017 8:00;-7.6;692.0;;;90;;0;;;100%.; ;;;-7.7;;;;;;;;;2.0;;;;;
03.03.2017 14:00;-4.8;697.0;;;66;Ветер, дующий с севера;2;;;100%.; ;;;-9.1;;;;;;;50.0;;;;;;;
03.03.2017 20:00;-7.2;698.0;;;85;;0;;;100%.; ;;;;-3.6;;;;;;;;0.3;;;;;
04.03.2017 2:00;-11.0;699.0;;;90;;0;;;100%.; ;;;;;;;;;;;;;;;;;
04.03.2017 8:00;-12.2;700.0;;;95;;0;;;100%.; ;;;-12.3;;;;;;;;;0.3;;;;;
04.03.2017 14:00;-2.0;701.0;;;48;Ветер, дующий с юго-востока;2;;;90  или более, но не 100%; ;;;;;;;;;;50.0;;;;;;;
04.03.2017 20:00;-2.4;700.0;;;76;;0;;;100%.; ;;;;-1.7;;;;;;;;;;;;;
05.03.2017 2:00;-3.1;701.0;;;97;;0;;;100%.; ;;;;;;;;;;;;;;;;;
05.03.2017 8:00;-2.7;701.0;;;99;;0;;;100%.; ;;;-3.5;;;;;;;;;0.6;;;;;
05.03.2017 14:00;0.6;702.0;;;83;Ветер, дующий с северо-запада;2;;;100%.; ;;;;;;;;;;10.0;;;;;;;
05.03.2017 20:00;-0.6;699.0;;;96;;0;;;100%.; ;;;;0.9;;;;;;;;1.0;;;;;
06.03.2017 2:00;-2.1;700.0;;;100;;0;;;100%.; ;;;;;;;;;;;;;;;;;
06.03.2017 8:00;-3.4;699.0;;;99;;0;;;100%.; ;;;-3.5;;;;;;;;;1.0;;;;;
06.03.2017 14:00;03.май;699.0;;;70;;0;;;70 – 80%.; ;;;-3.9;;;;;;;50.0;;;;;;;
06.03.2017 20:00;-1.3;703.0;;;74;;0;;;Облаков нет.; ;;;;05.июн;;;;;;;;;;;;;
07.03.2017 2:00;-12.0;704.0;;;90;;0;;;Облаков нет.; ;;;;;;;;;;;;;;;;;
07.03.2017 8:00;-17.0;703.0;;;90;;0;;;40%.; ;;;-17.1;;;;;;;;;;;;;;
07.03.2017 14:00;02.мар;701.0;;;49;;0;;;20–30%.; ;;;-18.3;;;;;;;50.0;;;;;;;
07.03.2017 20:00;-1.1;699.0;;;55;;0;;;Облаков нет.; ;;;;04.апр;;;;;;;;;;;;;
08.03.2017 2:00;-13.2;697.0;;;80;;0;;;Облаков нет.; ;;;;;;;;;;;;;;;;;
08.03.2017 8:00;-18.8;696.0;;;85;;0;;;Облаков нет.; ;;;-18.9;;;;;;;;;;;;;;
08.03.2017 14:00;06.апр;693.0;;;30;Ветер, дующий с востока;2;;;Облаков нет.; ;;;-19.0;;;;;;;50.0;;;;;;;
08.03.2017 20:00;02.янв;692.0;;;45;;0;;;Облаков нет.; ;;;;07.фев;;;;;;;;;;;;;
09.03.2017 2:00;-11.6;693.0;;;75;;0;;;Облаков нет.; ;;;;;;;;;;;;;;;;;
09.03.2017 8:00;-13.8;693.0;;;90;;0;;;100%.; ;;;-15.6;;;;;;;;;;;;;;
09.03.2017 14:00;02.фев;692.0;;;42;Ветер, дующий с северо-запада;2;;;70 – 80%.; ;;;;;;;;;;50.0;;;;;;;
09.03.2017 20:00;-4.9;695.0;;;78;Ветер, дующий с северо-запада;2;;;100%.; ;;;;02.июл;;;;;;;;Следы осадков;;;;;
10.03.2017 2:00;-8.7;698.0;;;86;Ветер, дующий с запада;2;;;100%.; ;;;;;;;;;;;;;;;;;
10.03.2017 8:00;-21.5;700.0;;;85;;0;;;Облаков нет.; ;;;-21.7;;;;;;;;;0.4;;;;;
10.03.2017 14:00;-4.9;701.0;;;36;;0;;;Облаков нет.; ;;;;;;;;;;50.0;;;;;;;
10.03.2017 20:00;;699.0;;;;Ветер, дующий с запада;2;;;Облаков нет.; ;;;;-2.2;;;;;;;;;;;;;
11.03.2017 2:00;-17.3;700.0;;;75;;0;;;100%.; ;;;;;;;;;;;;;;;;;
11.03.2017 8:00;-21.8;701.0;;;85;Ветер, дующий с юго-запада;2;;;20–30%.; ;;;-21.9;;;;;;;;;;;;;;
11.03.2017 14:00;03.июн;699.0;;;24;Ветер, дующий с юго-запада;2;;;100%.; ;;;-22.4;;;;;;;50.0;;;;;;;
11.03.2017 20:00;;699.0;;;;Ветер, дующий с запада;2;;;70 – 80%.; ;;;;04.авг;;;;;;;;;;;;;
12.03.2017 2:00;-14.3;700.0;;;65;;0;;;60%.; ;;;;;;;;;;;;;;;;;
12.03.2017 8:00;-19.6;701.0;;;85;;0;;;40%.; ;;;-20.2;;;;;;;;;;;;;;
12.03.2017 14:00;04.мар;700.0;;;27;Ветер, дующий с юго-востока;2;;;100%.; ;;;;;;;;;;50.0;;;;;;;
12.03.2017 20:00;-1.3;699.0;;;35;;0;;;40%.; ;;;;05.фев;;;;;;;;;;;;;
13.03.2017 2:00;-14.7;699.0;;;70;;0;;;Облаков нет.; ;;;;;;;;;;;;;;;;;
13.03.2017 8:00;-20.9;699.0;;;85;;0;;;Облаков нет.; ;;;-21.0;;;;;;;50.0;;;;;;;
13.03.2017 14:00;07.апр;696.0;;;29;Ветер, дующий с запада;2;;;70 – 80%.; ;;;-21.2;;;;;;;50.0;;;;;;;
13.03.2017 20:00;-0.8;694.0;;;37;Ветер, дующий с запада;2;;;60%.; ;;;;07.сен;;;;;;50.0;;;;;;;
14.03.2017 2:00;-9.8;695.0;;;78;;0;;;100%.; ;;;;;;;;;;;;;;;;;
14.03.2017 8:00;-16.5;695.0;;;90;;0;;;70 – 80%.; ;;;-16.6;;;;;;;50.0;;;;;;;
14.03.2017 14:00;07.июл;694.0;;;25;;0;;;70 – 80%.; ;;;-16.9;;;;;;;50.0;;;;;;;
14.03.2017 20:00;01.фев;693.0;;;27;Ветер, дующий с юго-запада;2;;;20–30%.; ;;;;08.мар;;;;;;50.0;;;;;;;
15.03.2017 2:00;-12.2;693.0;;;75;;0;;;60%.; ;;;;;;;;;;;;;;;;;
15.03.2017 8:00;-12.3;693.0;;;75;;0;;;100%.; ;;;-13.1;;;;;;;50.0;;;;;;;
15.03.2017 14:00;0.8;692.0;;;46;;0;;;70 – 80%.; ;;;;;;;;;;50.0;;;;;;;
15.03.2017 20:00;03.фев;692.0;;;29;Ветер, дующий с запада;2;;;100%.; ;;;;04.июн;;;;;;50.0;;;;;;;
16.03.2017 2:00;-6.0;696.0;;;76;Ветер, дующий с запада;2;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;;;;;;;;;;;;;;;;;
16.03.2017 8:00;-9.3;699.0;;;91;;0;;;100%.;Ливневый снег или ливневый дождь и снег. ;;;-9.4;;;;;;;50.0;;0.4;;;;;
16.03.2017 14:00;-5.7;699.0;;;57;;0;;;70 – 80%.; ;;;-9.6;;;;;;;50.0;;;;;;;
16.03.2017 20:00;-9.9;700.0;;;59;;0;;;20–30%.; ;;;;-5.4;;;;;;50.0;;;;;;;
17.03.2017 2:00;-22.1;702.0;;;79;;0;;;Облаков нет.; ;;;;;;;;;;;;;;;;;
17.03.2017 8:00;-27.6;703.0;;;85;;0;;;Облаков нет.; ;;;-27.7;;;;;;;50.0;;;;;;;
17.03.2017 14:00;-4.4;702.0;;;42;;0;;;Облаков нет.; ;;;-29.2;;;;;;;50.0;;;;;;;
17.03.2017 20:00;-7.8;700.0;;;39;;0;;;Облаков нет.; ;;;;-2.3;;;;;;50.0;;;;;;;
18.03.2017 2:00;-22.4;702.0;;;75;;0;;;Облаков нет.; ;;;;;;;;;;;;;;;;;
18.03.2017 8:00;-28.7;703.0;;;84;;0;;;Облаков нет.; ;;;-28.8;;;;;;;50.0;;;;;;;
18.03.2017 14:00;-1.8;698.0;;;35;;0;;;Облаков нет.; ;;;-29.1;;;;;;;50.0;;;;;;;
18.03.2017 20:00;-5.1;701.0;;;30;;0;;;Облаков нет.; ;;;;01.апр;;;;;;50.0;;;;;;;
19.03.2017 2:00;-19.9;703.0;;;75;;0;;;Облаков нет.; ;;;;;;;;;;;;;;;;;
