Местное время в Баяндае;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
04.01.2017 8:00;-12.1;695.0;767.2;0.1;90;Ветер, дующий с северо-северо-востока;2;;;Облаков нет.; ;;;-16.0;;;;;;;50.0;-13.4;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;18.0
04.01.2017 11:00;-12.2;695.2;767.3;0.2;90;Ветер, дующий с северо-востока;3;;;Облаков нет.; ;;;;;;;;;;50.0;-13.5;;;;;;
04.01.2017 14:00;-10.2;694.3;765.7;-0.9;80;Ветер, дующий с северо-востока;2;;;10%  или менее, но не 0; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-13.0;;;;;;
04.01.2017 17:00;-12.7;694.1;766.3;-0.2;80;Ветер, дующий с северо-востока;3;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-15.4;;;;;;
04.01.2017 20:00;-11.8;694.6;766.6;0.5;85;Ветер, дующий с северо-северо-востока;2;;;60%.; ;;;;-8.5;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-13.8;Осадков нет;12;;;;
04.01.2017 23:00;-7.5;695.1;765.9;0.5;63;Ветер, дующий с северо-северо-востока;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;50.0;-13.5;;;;;;
05.01.2017 2:00;-10.3;695.8;767.5;0.7;80;Ветер, дующий с северо-востока;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;50.0;-13.1;;;;;;
05.01.2017 5:00;-11.3;696.4;768.4;0.6;80;Ветер, дующий с северо-востока;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;50.0;-14.1;;;;;;
05.01.2017 8:00;-11.6;697.5;769.7;01.янв;80;Ветер, дующий с северо-востока;2;;;100%.; ;;;-14.0;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-14.4;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;18.0
05.01.2017 11:00;-12.6;698.6;771.1;01.янв;85;Ветер, дующий с северо-востока;3;;;20–30%.; ;;;-17.1;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-14.6;;;;;;
05.01.2017 14:00;-3.3;698.5;768.4;-0.1;40;Штиль, безветрие;0;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-15.1;;;;;;
05.01.2017 17:00;-7.0;699.2;770.2;0.7;53;Ветер, дующий с западо-юго-запада;1;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-15.0;;;;;;
05.01.2017 20:00;-10.1;700.3;772.3;01.янв;75;Ветер, дующий с западо-юго-запада;2;;;Облаков нет.; ;;;;-3.1;;;;;;50.0;-13.7;Осадков нет;12;;;;
05.01.2017 23:00;-10.5;701.0;773.3;0.7;85;Ветер, дующий с запада;1;;;Облаков нет.; ;;;;;;;;;;50.0;-12.5;;;;;;
06.01.2017 2:00;-10.5;701.4;773.7;0.4;85;Ветер, дующий с западо-юго-запада;2;;;Облаков нет.; ;;;;;;;;;;50.0;-12.5;;;;;;
06.01.2017 5:00;-11.5;701.5;774.1;0.1;85;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;50.0;-13.5;;;;;;
06.01.2017 8:00;-13.0;701.2;774.2;-0.3;90;Ветер, дующий с северо-востока;2;;;Облаков нет.; ;;;-13.9;;;;;;;50.0;-14.3;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;18.0
06.01.2017 11:00;-9.0;700.8;772.6;-0.4;67;Ветер, дующий с северо-северо-востока;1;;;Облаков нет.; ;;;-15.6;;;;;;;50.0;-14.0;;;;;;
06.01.2017 14:00;-7.5;699.3;770.5;-1.5;71;Ветер, дующий с северо-востока;2;;;Облаков нет.; ;;;;;;;;;;50.0;-11.9;;;;;;
06.01.2017 17:00;-7.0;698.5;769.4;-0.8;61;Ветер, дующий с северо-востока;1;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-13.3;;;;;;
06.01.2017 20:00;-7.2;699.4;770.5;0.9;47;Ветер, дующий с юго-запада;1;;;100%.; ;;;;-3.9;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-16.6;Осадков нет;12;;;;
06.01.2017 23:00;-11.2;700.3;772.7;0.9;70;Ветер, дующий с юго-юго-запада;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;50.0;-15.6;;;;;;
07.01.2017 2:00;-13.2;701.1;774.1;0.8;85;Ветер, дующий с западо-юго-запада;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;50.0;-15.2;;;;;;
07.01.2017 5:00;-12.6;701.4;774.3;0.3;85;Ветер, дующий с юго-запада;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба.";20.0;-14.6;;;;;;
07.01.2017 8:00;-12.0;701.3;774.0;-0.1;85;Штиль, безветрие;0;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;-13.5;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;10.0;-14.0;Следы осадков;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;18.0
07.01.2017 11:00;-9.3;701.8;773.8;0.5;91;Штиль, безветрие;0;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;10.0;-10.5;;;;;;
07.01.2017 14:00;-8.2;702.1;773.8;0.3;64;Ветер, дующий с севера;1;;;90  или более, но не 100%;Снег неливневый. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-13.9;;;;;;
07.01.2017 17:00;-11.2;703.0;775.6;0.9;45;Ветер, дующий с севера;3;;;70 – 80%.;Облака в целом рассеиваются или становятся менее развитыми. ;Метель;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-20.8;;;;;;
07.01.2017 20:00;-14.3;704.5;778.2;01.май;50;Ветер, дующий с запада;1;;;10%  или менее, но не 0;Облака в целом рассеиваются или становятся менее развитыми. ;Метель;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;-7.5;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;10%  или менее, но не 0;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-22.5;0.3;12;;;;
07.01.2017 23:00;-18.9;705.4;780.5;0.9;70;Ветер, дующий с западо-юго-запада;1;;;Облаков нет.; ;;;;;;;;;;50.0;-23.0;;;;;;
08.01.2017 2:00;-22.1;705.4;781.7;0.0;85;Ветер, дующий с запада;1;;;Облаков нет.; ;;;;;;;;;;50.0;-24.0;;;;;;
08.01.2017 5:00;-23.9;706.2;783.1;0.8;85;Ветер, дующий с запада;1;;;Облаков нет.; ;;;;;;;;;;50.0;-25.7;;;;;;
08.01.2017 8:00;-23.8;706.0;782.6;-0.2;80;Ветер, дующий с северо-запада;1;;;20–30%.; ;;;-26.3;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-26.3;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;18.0
08.01.2017 11:00;-24.7;706.0;783.1;0.0;80;Ветер, дующий с юго-запада;2;;;20–30%.; ;;;-27.6;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-27.2;;;;;;
08.01.2017 14:00;-22.9;704.4;780.7;-1.6;75;Ветер, дующий с севера;1;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-26.2;;;;;;
08.01.2017 17:00;-22.9;703.2;779.5;-1.2;70;Ветер, дующий с северо-востока;1;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-26.9;;;;;;
08.01.2017 20:00;-23.4;703.2;779.6;0.0;70;Ветер, дующий с северо-северо-востока;1;;;60%.; ;;;;-20.8;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-27.4;Осадков нет;12;;;;
08.01.2017 23:00;-25.3;703.0;780.0;-0.2;75;Ветер, дующий с северо-востока;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба.";50.0;-28.5;;;;;;
09.01.2017 2:00;-25.2;703.0;779.9;0.0;80;Ветер, дующий с севера;1;;;50%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-27.7;;;;;;
09.01.2017 5:00;-28.7;703.6;781.8;0.6;79;Ветер, дующий с северо-востока;1;;;Облаков нет.; ;;;;;;;;;;50.0;-31.2;;;;;;
09.01.2017 8:00;-30.0;704.5;783.2;0.9;85;Ветер, дующий с севера;2;;;Облаков нет.; ;;;-30.3;;;;;;;50.0;-31.7;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;18.0
09.01.2017 11:00;-29.9;705.7;784.6;01.фев;79;Ветер, дующий с востоко-северо-востока;2;;;Облаков нет.; ;;;-32.1;;;;;;;50.0;-32.4;;;;;;
09.01.2017 14:00;-26.4;705.5;783.2;-0.2;79;Ветер, дующий с востока;1;;;Облаков нет.; ;;;;;;;;;;50.0;-28.9;;;;;;
09.01.2017 17:00;-27.0;705.3;783.0;-0.2;74;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;50.0;-30.2;;;;;;
09.01.2017 20:00;-28.0;704.5;782.6;-0.8;79;Штиль, безветрие;0;;;Облаков нет.; ;;;;-25.1;;;;;;50.0;-30.5;Осадков нет;12;;;;
09.01.2017 23:00;-28.7;703.6;781.7;-0.9;79;Штиль, безветрие;0;;;10%  или менее, но не 0; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;10%  или менее, но не 0;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-31.2;;;;;;
10.01.2017 2:00;-29.8;701.9;780.3;-1.7;80;Ветер, дующий с северо-востока;2;;;Облаков нет.; ;;;;;;;;;;50.0;-32.2;;;;;;
10.01.2017 5:00;-30.6;701.2;779.8;-0.7;79;Ветер, дующий с северо-востока;3;;;Облаков нет.; ;;;;;;;;;;50.0;-33.0;;;;;;
10.01.2017 8:00;-33.0;700.5;779.8;-0.7;79;Ветер, дующий с северо-востока;3;;;Облаков нет.; ;;;-34.1;;;;;;;50.0;-35.4;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;18.0
10.01.2017 11:00;-33.6;701.2;780.7;0.7;80;Ветер, дующий с северо-востока;3;;;Облаков нет.; ;;;;;;;;;;50.0;-35.9;;;;;;
10.01.2017 14:00;-30.4;701.5;780.0;0.3;79;Ветер, дующий с востоко-северо-востока;2;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-32.8;;;;;;
10.01.2017 17:00;-27.4;701.8;779.4;0.3;80;Ветер, дующий с северо-востока;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;50.0;-29.8;;;;;;
10.01.2017 20:00;-27.6;702.6;780.3;0.8;80;Ветер, дующий с северо-северо-востока;3;;;Облаков нет.; ;;;;-26.6;;;;;;50.0;-30.0;Осадков нет;12;;;;
10.01.2017 23:00;-26.0;702.1;779.2;-0.5;80;Ветер, дующий с северо-северо-востока;2;;;Облаков нет.; ;;;;;;;;;;50.0;-28.4;;;;;;
11.01.2017 2:00;-30.5;701.8;780.4;-0.3;79;Ветер, дующий с северо-северо-востока;3;;;Облаков нет.; ;;;;;;;;;;50.0;-33.0;;;;;;
11.01.2017 5:00;-31.8;701.5;780.5;-0.3;80;Ветер, дующий с северо-востока;3;;;Облаков нет.; ;;;;;;;;;;50.0;-34.1;;;;;;
