Местное время в Токме;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
02.01.2017 20:00;-9.9;710.9;752.4;0.7;88;Ветер, дующий с юго-запада;5;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Метель;;-9.4;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перисто-слоистые, покрывающие все небо.;;-11.6;0.7;12;;;;
02.01.2017 23:00;-11.1;712.2;753.9;01.мар;90;Ветер, дующий с юго-запада;5;;;100%.;Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ;Ливень (ливни).;Метель;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перисто-слоистые, покрывающие все небо.;;-12.4;;;;;;
03.01.2017 2:00;-11.6;713.0;754.8;0.8;90;Ветер, дующий с юго-запада;3;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Метель;;;Слоисто-кучевые, образовавшиеся не из кучевых.;40%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-12.9;;;;;;
03.01.2017 5:00;-11.9;713.8;755.8;0.8;90;Ветер, дующий с юго-запада;2;;;50%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-13.2;;;;;;
03.01.2017 8:00;-15.5;714.6;757.1;0.8;90;Штиль, безветрие;0;;;20–30%.; ;;;-15.7;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-16.8;Следы осадков;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;40.0
03.01.2017 11:00;-11.2;715.0;756.8;0.4;90;Ветер, дующий с юго-юго-запада;1;;;50%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-12.5;;;;;;
03.01.2017 14:00;-8.5;714.7;756.1;-0.3;86;Ветер, дующий с юго-юго-запада;3;;;100%.;Снег с перерывами слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перисто-слоистые, покрывающие все небо.;10.0;-10.4;;;;;;
03.01.2017 17:00;-9.0;715.1;756.7;0.4;92;Ветер, дующий с юга;1;;;70 – 80%.;Ливневый снег или ливневый дождь и снег. ;Ливень (ливни).;Снег и/или другие виды твердых осадков;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;300-600;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистых, перисто-кучевых или перисто-слоистых нет.;;-10.1;;;;;;
03.01.2017 20:00;-8.5;716.1;757.5;1.0;86;Ветер, дующий с юго-юго-запада;3;;;70 – 80%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Снег и/или другие виды твердых осадков;;-8.2;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;50%.;300-600;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистых, перисто-кучевых или перисто-слоистых нет.;;-10.4;0.3;12;;;;
03.01.2017 23:00;-9.5;717.4;759.1;01.мар;88;Ветер, дующий с юга;1;;;40%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистых, перисто-кучевых или перисто-слоистых нет.;;-11.1;;;;;;
04.01.2017 2:00;-10.1;717.7;759.5;0.3;90;Ветер, дующий с юго-юго-запада;3;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;;-11.4;;;;;;
04.01.2017 5:00;-12.1;717.8;759.8;0.1;90;Ветер, дующий с юго-юго-запада;3;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;50%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;;-13.4;;;;;;
04.01.2017 8:00;-6.8;718.0;759.4;0.2;91;Ветер, дующий с юга;3;;;90  или более, но не 100%;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-12.2;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-8.0;0.2;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;41.0
04.01.2017 11:00;-6.7;718.7;760.0;0.7;89;Ветер, дующий с юга;1;;;70 – 80%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;-8.3;;;;;;
04.01.2017 14:00;-6.2;718.9;760.3;0.2;87;Ветер, дующий с юго-юго-запада;1;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;4.0;-8.1;;;;;;
04.01.2017 17:00;-6.4;718.4;759.7;-0.5;94;Штиль, безветрие;0;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-7.2;;;;;;
04.01.2017 20:00;-6.3;718.3;759.6;-0.1;94;Штиль, безветрие;0;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;-5.9;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-7.1;1.0;12;;;;
04.01.2017 23:00;-5.6;718.6;759.7;0.3;95;Ветер, дующий с юга;1;;;100%.;Ливневый снег или ливневый дождь и снег. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-6.3;;;;;;
05.01.2017 2:00;-5.2;719.3;760.4;0.7;93;Ветер, дующий с юга;3;;;90  или более, но не 100%;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-6.2;;;;;;
05.01.2017 5:00;-4.7;720.0;761.0;0.7;94;Ветер, дующий с юга;1;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-5.6;;;;;;
05.01.2017 8:00;-5.1;720.8;762.1;0.8;93;Ветер, дующий с юго-юго-запада;2;;;90  или более, но не 100%;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-6.3;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-6.1;0.7;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;43.0
05.01.2017 11:00;-4.2;720.4;761.5;-0.4;96;Ветер, дующий с юга;3;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;300-600;;;10.0;-4.7;;;;;;
05.01.2017 14:00;-3.0;720.3;761.2;-0.1;93;Ветер, дующий с юга;5;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Метель;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высокослоистые просвечивающие.;;10.0;-4.0;;;;;;
05.01.2017 17:00;-3.1;720.3;761.2;0.0;95;Ветер, дующий с юго-запада;5;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Метель;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-3.8;;;;;;
05.01.2017 20:00;-2.7;721.3;762.1;1.0;89;Ветер, дующий с юго-юго-запада;5;;;70 – 80%.;Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ;Ливень (ливни).;Метель;;-2.4;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-4.3;0.7;12;;;;
05.01.2017 23:00;-3.4;722.9;764.0;01.июн;90;Ветер, дующий с юго-запада;5;;;70 – 80%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Метель;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-4.8;;;;;;
06.01.2017 2:00;-4.8;724.5;765.8;01.июн;91;Ветер, дующий с западо-юго-запада;3;;;90  или более, но не 100%;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Метель;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-6.1;;;;;;
06.01.2017 5:00;-4.3;725.6;767.0;01.янв;94;Ветер, дующий с юга;3;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-5.2;;;;;;
06.01.2017 8:00;-5.6;725.7;767.2;0.1;92;Ветер, дующий с юга;1;;;90  или более, но не 100%;Ливневый снег или ливневый дождь и снег. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-5.7;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-6.7;2.0;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;47.0
06.01.2017 11:00;-5.2;725.3;766.9;-0.4;93;Ветер, дующий с юго-юго-запада;2;;;70 – 80%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-6.2;;;;;;
06.01.2017 14:00;-4.1;723.7;764.9;-1.6;96;Ветер, дующий с юго-юго-запада;2;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;4.0;-4.6;;;;;;
06.01.2017 17:00;-4.0;723.1;764.3;-0.6;96;Ветер, дующий с юго-запада;2;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-4.5;;;;;;
06.01.2017 20:00;-4.2;722.1;763.3;-1.0;94;Ветер, дующий с юго-запада;2;;;90  или более, но не 100%;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;-3.7;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-5.1;1.0;12;;;;
06.01.2017 23:00;-5.0;721.9;763.2;-0.2;85;Ветер, дующий с юго-запада;6;;;90  или более, но не 100%;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Метель;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;300-600;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-7.1;;;;;;
07.01.2017 2:00;-5.0;721.9;763.2;0.0;85;Ветер, дующий с юго-запада;6;;;90  или более, но не 100%;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Метель;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;300-600;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-7.1;;;;;;
07.01.2017 5:00;-8.8;722.8;764.8;0.9;86;Ветер, дующий с западо-юго-запада;6;;;70 – 80%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Метель;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;300-600;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-10.8;;;;;;
07.01.2017 8:00;-11.6;724.1;766.6;01.мар;76;Ветер, дующий с юго-запада;6;;;100%.;Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ;Ливень (ливни).;Метель;-11.7;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;300-600;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-15.1;2.0;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;52.0
07.01.2017 11:00;-13.2;726.0;768.8;01.сен;75;Ветер, дующий с запада;6;;;90  или более, но не 100%;Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ;Облака покрывали половину неба или менее в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;-13.3;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;50%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;50.0;-16.7;;;;;;
07.01.2017 14:00;-13.4;728.6;771.7;02.июн;80;Ветер, дующий с западо-юго-запада;6;;;90  или более, но не 100%;Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ;Облака покрывали половину неба или менее в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-16.1;;;;;;
07.01.2017 17:00;-16.8;732.3;776.2;03.июл;85;Ветер, дующий с запада;6;;;100%.;Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ;Облака покрывали половину неба или менее в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-18.7;;;;;;
