Местное время в Икее;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
25.12.2020 20:00;-13.9;709.0;759.6;;90;Штиль, безветрие;0;;;100%.; ;;;;-12.7;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;1000-1500;;;;-15.2;Осадков нет;12;;;;
25.12.2020 14:00;-13.5;708.6;759.1;;85;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;Перисто-слоистые, покрывающие все небо.;50.0;-15.5;;;;;;
25.12.2020 8:00;-19.5;712.3;764.4;;90;Штиль, безветрие;0;;;100%.; ;;;-21.7;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;50%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;Перисто-слоистые, покрывающие все небо.;;-20.7;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;10.0
25.12.2020 2:00;-21.6;712.9;765.5;;90;Штиль, безветрие;0;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-22.8;;;;;;
24.12.2020 20:00;-17.7;713.4;765.1;;90;Штиль, безветрие;0;;;100%.; ;;;;-15.6;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-18.9;0.7;12;;;;
24.12.2020 14:00;-16.8;712.3;763.7;;85;Штиль, безветрие;0;;;100%.;Состояние неба в общем не изменилось. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;50%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;Перисто-слоистые, покрывающие все небо.;50.0;-18.7;;;;;;
24.12.2020 8:00;-20.0;712.6;764.8;;90;Штиль, безветрие;0;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;-23.4;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-21.2;Следы осадков;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;10.0
24.12.2020 2:00;-21.8;716.9;769.8;;85;Штиль, безветрие;0;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-23.6;;;;;;
23.12.2020 20:00;-17.4;717.8;769.9;;85;Штиль, безветрие;0;;;70 – 80%.;Состояние неба в общем не изменилось. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;-13.6;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-19.3;1.0;12;;;;
23.12.2020 14:00;-14.2;715.0;766.1;;85;Ветер, дующий с северо-востока;2;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;4.0;-16.2;;;;;;
23.12.2020 8:00;-17.0;715.9;767.8;;90;Штиль, безветрие;0;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;-21.4;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-18.2;0.2;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;9.0
23.12.2020 2:00;-21.3;716.7;769.4;;90;Штиль, безветрие;0;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-22.5;;;;;;
22.12.2020 20:00;-15.1;718.1;769.6;;90;Штиль, безветрие;0;;;40%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;-10.0;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-16.4;2.0;12;;;;
22.12.2020 14:00;-10.3;717.1;767.5;;95;Штиль, безветрие;0;;;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-10.9;;;;;;
22.12.2020 8:00;-12.5;715.9;766.7;;90;Штиль, безветрие;0;;;100%.; ;;;-14.0;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;1000-1500;;;;-13.8;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;2.0
22.12.2020 2:00;-11.3;715.5;766.0;;76;Штиль, безветрие;0;;;70 – 80%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;70 – 80%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-14.8;;;;;;
21.12.2020 20:00;-7.9;715.0;764.8;;70;Штиль, безветрие;0;;;90  или более, но не 100%; ;;;;-3.2;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-12.5;Осадков нет;12;;;;
21.12.2020 14:00;-9.0;712.9;762.8;;74;Штиль, безветрие;0;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-12.9;;;;;;
21.12.2020 8:00;-14.5;712.0;763.0;;90;Штиль, безветрие;0;;;Облаков нет.; ;;;-14.6;;;;;;;;-15.8;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;2.0
21.12.2020 2:00;-7.7;712.9;762.7;;65;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-13.2;;;;;;
20.12.2020 20:00;-4.2;714.6;763.7;;57;Ветер, дующий с севера;2;;;100%.; ;;;;0.5;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-11.6;Осадков нет;12;;;;
20.12.2020 14:00;-1.8;715.2;763.9;;57;Штиль, безветрие;0;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;50%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба.";50.0;-9.2;;;;;;
20.12.2020 8:00;-4.6;716.5;765.9;;56;Ветер, дующий с запада;4;;;100%.; ;;;-4.8;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-12.2;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;2.0
20.12.2020 2:00;-4.7;716.8;766.2;;67;Ветер, дующий с северо-запада;2;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-9.9;;;;;;
19.12.2020 20:00;-1.6;717.4;766.2;;46;Ветер, дующий с запада;4;;;100%.; ;;;;02.янв;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-11.8;Осадков нет;12;;;;
19.12.2020 14:00;01.авг;717.4;765.7;;32;Ветер, дующий с юго-запада;4;;;60%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-13.4;;;;;;
19.12.2020 8:00;-17.3;719.7;771.8;;85;Штиль, безветрие;0;;;20–30%.; ;;;;-17.3;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-19.2;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;3.0
19.12.2020 2:00;-12.8;721.3;772.6;;85;Штиль, безветрие;0;;;70 – 80%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;70 – 80%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-14.8;;;;;;
18.12.2020 20:00;-10.4;721.9;772.8;;75;Штиль, безветрие;0;;;100%.; ;;;;-8.4;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;1000-1500;;;;-14.0;Осадков нет;12;;;;
18.12.2020 14:00;-11.2;721.0;772.0;;75;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;1000-1500;;;50.0;-14.8;;;;;;
18.12.2020 8:00;-15.5;721.1;772.9;;80;Штиль, безветрие;0;;;100%.; ;;;-22.2;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;1000-1500;;;;-18.2;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;3.0
18.12.2020 2:00;-20.5;723.1;776.2;;80;Штиль, безветрие;0;;;70 – 80%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;70 – 80%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-23.1;;;;;;
17.12.2020 20:00;-21.1;724.6;777.9;;70;Штиль, безветрие;0;;;70 – 80%.; ;;;;-16.4;Слоисто-кучевые, образовавшиеся не из кучевых.;40%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-25.1;Осадков нет;12;;;;
17.12.2020 14:00;-17.9;726.5;779.3;;65;Штиль, безветрие;0;;;10%  или менее, но не 0; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-22.9;;;;;;
17.12.2020 8:00;-29.2;729.1;784.6;;80;Штиль, безветрие;0;;;Облаков нет.; ;;;-29.3;;;;;;;;-31.6;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;3.0
17.12.2020 2:00;-19.4;730.4;783.8;;85;Штиль, безветрие;0;;;Облаков нет.;Состояние неба в общем не изменилось. ;Метель;Облака покрывали половину неба или менее в течение всего соответствующего периода.;;;;;;;;;-21.3;;;;;;
16.12.2020 20:00;-13.7;728.7;780.7;;45;Ветер, дующий с северо-северо-запада;6;;14;Облаков нет.;Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ;Метель;Облака покрывали половину неба или менее в течение всего соответствующего периода.;;-7.6;;;;;;;-23.1;Следы осадков;12;;;;
16.12.2020 14:00;-8.5;723.1;773.8;;43;Ветер, дующий с западо-северо-запада;10;;;20–30%.;Сильный поземок в целом низкий (ниже уровня глаз наблюдателя). ;Ливень (ливни).;Метель;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-19.0;;;;;;
16.12.2020 8:00;-7.7;719.5;769.6;;82;Ветер, дующий с севера;4;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-10.6;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-10.3;0.3;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;4.0
16.12.2020 2:00;-10.5;716.6;767.1;;85;Штиль, безветрие;0;;;70 – 80%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;70 – 80%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-12.5;;;;;;
15.12.2020 20:00;-9.6;716.8;767.2;;75;Штиль, безветрие;0;;;70 – 80%.; ;;;;-6.8;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-13.2;Осадков нет;12;;;;
15.12.2020 14:00;-7.7;716.3;766.3;;70;Штиль, безветрие;0;;;70 – 80%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;60%.;1000-1500;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-12.2;;;;;;
15.12.2020 8:00;-11.8;719.3;770.2;;90;Ветер, дующий с востока;2;;;100%.; ;;;-15.4;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-13.1;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;3.0
15.12.2020 2:00;-15.3;721.3;773.1;;85;Штиль, безветрие;0;;;70 – 80%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-17.3;;;;;;
14.12.2020 20:00;-11.4;720.9;771.8;;85;Штиль, безветрие;0;;;100%.; ;;;;-11.2;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;1000-1500;;;;-13.4;Следы осадков;12;;;;
14.12.2020 14:00;-13.5;720.2;771.6;;85;Штиль, безветрие;0;;;100%.;Состояние неба в общем не изменилось. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;Перисто-слоистые, покрывающие все небо.;50.0;-15.5;;;;;;
14.12.2020 8:00;-17.9;720.0;772.2;;85;Штиль, безветрие;0;;;70 – 80%.; ;;;-20.2;;Слоисто-кучевые, образовавшиеся не из кучевых.;50%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-19.8;Осадков нет;12;;;;
14.12.2020 2:00;-19.8;721.4;774.1;;80;Штиль, безветрие;0;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-22.4;;;;;;
13.12.2020 20:00;-16.1;722.8;775.0;;75;Штиль, безветрие;0;;;60%.; ;;;;-14.0;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-19.5;Осадков нет;12;;;;
13.12.2020 14:00;-17.4;724.6;777.1;;75;Штиль, безветрие;0;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;50.0;-20.8;;;;;;
13.12.2020 8:00;-23.7;725.2;779.0;;84;Штиль, безветрие;0;;;70 – 80%.; ;;;-23.8;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;;-25.6;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;3.0
13.12.2020 2:00;-19.3;725.9;778.9;;85;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-21.2;;;;;;
12.12.2020 20:00;-15.5;726.0;778.2;;75;Ветер, дующий с севера;2;;;100%.; ;;;;-13.7;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;Перисто-слоистые, покрывающие все небо.;;-18.9;Следы осадков;12;;;;
12.12.2020 14:00;-14.7;726.0;778.0;;70;Ветер, дующий с северо-северо-запада;2;;;90  или более, но не 100%;Состояние неба в общем не изменилось. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-19.0;;;;;;
12.12.2020 8:00;-15.1;724.8;776.8;;75;Ветер, дующий с севера;2;;;100%.;Снег с перерывами слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;-18.5;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-18.5;0.2;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;3.0
