Местное время в Орлинге;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
03.01.2017 20:00;-11.3;729.9;762.7;;90;Штиль, безветрие;0;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;-10.4;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-12.6;0.4;12;;;;
04.01.2017 2:00;-10.0;731.4;764.2;;90;Ветер, дующий с юго-востока;1;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-11.3;;;;;;
04.01.2017 8:00;-10.8;732.1;765.1;;90;Ветер, дующий с юго-запада;1;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-11.6;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-12.1;Следы осадков;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;33.0
04.01.2017 14:00;-8.3;730.8;763.3;;80;Ветер, дующий с юго-юго-востока;3;;;90  или более, но не 100%;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;20.0;-11.1;;;;;;
04.01.2017 20:00;-7.7;715.9;763.3;;82;Ветер, дующий с юго-востока;1;;;100%.; ;;;;-7.3;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;;-10.3;Следы осадков;12;;;;
05.01.2017 2:00;-8.5;732.7;765.3;;89;Штиль, безветрие;0;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перисто-слоистые, покрывающие все небо.;;-10.0;;;;;;
05.01.2017 8:00;-9.1;733.8;766.5;;88;Ветер, дующий с юго-востока;1;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-9.2;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перисто-слоистые, покрывающие все небо.;;-10.7;Следы осадков;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;32.0
05.01.2017 14:00;-5.5;734.5;766.9;;77;Ветер, дующий с юга;5;;10;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Метель;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;10.0;-8.9;;;;;;
05.01.2017 20:00;-4.3;735.7;767.9;;84;Ветер, дующий с юго-юго-запада;4;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;-4.3;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-6.6;Следы осадков;12;;;;
06.01.2017 2:00;-5.5;737.3;769.8;;90;Ветер, дующий с юго-запада;1;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-6.9;;;;;;
06.01.2017 8:00;-6.4;738.2;770.8;;89;Ветер, дующий с юго-востока;2;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-6.5;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-8.0;Следы осадков;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;31.0
06.01.2017 14:00;-5.3;736.5;768.9;;87;Ветер, дующий с юга;1;;;100%.;Снег с перерывами слабый в срок наблюдения. ;Ливень (ливни).;Снег и/или другие виды твердых осадков;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;10.0;-7.1;;;;;;
06.01.2017 20:00;-4.9;735.4;767.8;;93;Ветер, дующий с западо-юго-запада;1;;;90  или более, но не 100%;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Снег и/или другие виды твердых осадков;;-4.9;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-5.9;0.6;12;;;;
07.01.2017 2:00;-7.5;736.9;769.6;;84;Штиль, безветрие;0;;;90  или более, но не 100%;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-9.7;;;;;;
07.01.2017 8:00;-10.7;737.5;770.7;;80;Ветер, дующий с юго-запада;1;;;60%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-11.8;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-13.5;Следы осадков;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;31.0
07.01.2017 14:00;-11.1;740.2;773.5;;55;Ветер, дующий с западо-северо-запада;6;;10;70 – 80%.;Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ;Ливень (ливни).;Метель;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;20.0;-18.4;;;;;;
07.01.2017 20:00;-17.5;744.4;778.7;;55;Ветер, дующий с юго-запада;3;;;60%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Метель;;-8.1;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-24.4;0.4;12;;;;
08.01.2017 2:00;-23.3;747.4;782.7;;65;Ветер, дующий с западо-северо-запада;2;;;60%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Метель;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;;-28.1;;;;;;
08.01.2017 8:00;-26.2;747.3;783.0;;74;Ветер, дующий с запада;1;;;100%.;Снег с перерывами слабый в срок наблюдения. ;Ливень (ливни).;Снег и/или другие виды твердых осадков;-26.2;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-29.4;Следы осадков;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;31.0
08.01.2017 14:00;-25.9;746.6;782.3;;75;Ветер, дующий с северо-запада;1;;;60%.;Снег неливневый. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;20.0;-29.1;;;;;;
08.01.2017 20:00;-34.0;746.7;783.6;;76;Штиль, безветрие;0;;;70 – 80%.;Снег с перерывами слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;-25.5;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;;-36.8;Следы осадков;12;;;;
09.01.2017 2:00;-38.6;747.9;785.6;;74;Штиль, безветрие;0;;;Облаков нет.;Состояние неба в общем не изменилось. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;;;;;;;-41.4;;;;;;
09.01.2017 8:00;-41.3;749.3;787.5;;76;Штиль, безветрие;0;;;Облаков нет.; ;;;-41.3;;;;;;;;-43.8;Следы осадков;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;31.0
09.01.2017 14:00;-32.3;749.1;785.8;;74;Ветер, дующий с северо-востока;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;20.0;-35.3;;;;;;
09.01.2017 20:00;-36.2;747.6;784.8;;75;Штиль, безветрие;0;;;60%.; ;;;;-31.4;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-39.0;Осадков нет;12;;;;
09.01.2017 23:00;-36.2;747.6;784.8;0.0;75;Штиль, безветрие;0;;;60%.; ;;;;-31.4;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-39.0;Осадков нет;12;;;;
10.01.2017 2:00;-37.6;745.4;782.8;-2.2;74;Штиль, безветрие;0;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-40.5;;;;;;
10.01.2017 8:00;-38.9;744.8;782.4;;74;Штиль, безветрие;0;;;40%.; ;;;-38.9;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-41.8;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;31.0
10.01.2017 14:00;-30.4;744.7;780.9;;65;Штиль, безветрие;0;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;10%  или менее, но не 0;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;20.0;-34.9;;;;;;
10.01.2017 20:00;-15.8;715.1;774.9;;11;Штиль, безветрие;0;;;20–30%.; ;;;;-30.1;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-39.8;Осадков нет;12;;;;
11.01.2017 2:00;-40.7;704.9;783.4;;76;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-43.3;;;;;;
11.01.2017 8:00;-42.1;707.8;783.1;;73;Штиль, безветрие;0;;;10%  или менее, но не 0; ;;;-42.1;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;10%  или менее, но не 0;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистых, перисто-кучевых или перисто-слоистых нет.;;-45.0;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;31.0
11.01.2017 14:00;-36.3;744.0;781.0;;76;Штиль, безветрие;0;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;20.0;-39.0;;;;;;
11.01.2017 20:00;-37.8;743.9;781.3;;75;Штиль, безветрие;0;;;20–30%.; ;;;;-34.9;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-40.5;Осадков нет;12;;;;
12.01.2017 2:00;-40.8;744.3;782.2;;79;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-43.0;;;;;;
12.01.2017 8:00;-42.2;744.7;782.8;;69;Штиль, безветрие;0;;;Облаков нет.; ;;;-42.2;;;;;;;;-45.6;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;31.0
12.01.2017 14:00;-34.2;743.4;780.1;;65;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;50.0;-38.5;;;;;;
12.01.2017 20:00;-38.0;743.7;781.0;;74;Штиль, безветрие;0;;;Облаков нет.; ;;;;-32.7;;;;;;;-40.9;Осадков нет;12;;;;
13.01.2017 2:00;-40.4;744.2;781.9;;68;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-43.9;;;;;;
13.01.2017 8:00;-40.8;745.2;783.1;;68;Штиль, безветрие;0;;;10%  или менее, но не 0; ;;;-40.8;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-44.4;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;31.0
13.01.2017 14:00;-31.7;744.8;781.3;;64;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;50.0;-36.2;;;;;;
13.01.2017 20:00;-37.0;744.6;781.8;;70;Штиль, безветрие;0;;;70 – 80%.; ;;;;-31.3;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-40.4;Осадков нет;12;;;;
14.01.2017 2:00;-39.7;745.1;782.9;;76;Штиль, безветрие;0;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-42.3;;;;;;
14.01.2017 8:00;-40.1;744.5;782.2;;75;Штиль, безветрие;0;;;60%.; ;;;-40.4;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-42.8;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;31.0
14.01.2017 14:00;-31.2;743.7;780.0;;69;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;20.0;-35.0;;;;;;
14.01.2017 20:00;-30.8;744.7;780.6;;74;Штиль, безветрие;0;;;100%.; ;;;;-30.7;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-33.9;Осадков нет;12;;;;
15.01.2017 2:00;-32.4;744.4;780.9;;74;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;50%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-35.5;;;;;;
15.01.2017 8:00;-28.6;744.0;780.0;;70;Штиль, безветрие;0;;;100%.;Снег с перерывами слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;-32.4;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-32.4;Следы осадков;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;31.0
15.01.2017 14:00;-25.9;743.1;778.6;;70;Ветер, дующий с юго-востока;1;;;100%.;Состояние неба в общем не изменилось. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;Перисто-слоистые, покрывающие все небо.;20.0;-29.8;;;;;;
15.01.2017 20:00;-24.7;743.6;779.0;;75;Штиль, безветрие;0;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;-24.3;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;Перисто-слоистые, покрывающие все небо.;;-27.9;Следы осадков;12;;;;
16.01.2017 2:00;-25.4;744.3;779.7;;80;Штиль, безветрие;0;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;Перисто-слоистые, покрывающие все небо.;;-27.8;;;;;;
