Местное время в Заларях;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
24.01.2017 23:00;-13.4;726.4;770.5;;86;Ветер, дующий с северо-северо-востока;2;;;100%.;Снег непрерывный умеренный в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-15.2;;;;;;
25.01.2017 5:00;-10.7;728.5;771.3;;76;Ветер, дующий с юго-юго-запада;2;;;100%.;Снег неливневый. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые просвечивающие.;;;-14.2;;;;;;
25.01.2017 11:00;-13.9;731.1;775.4;;87;Ветер, дующий с северо-запада;1;;;90  или более, но не 100%; ;;;-14.7;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-15.6;;;;;;
25.01.2017 17:00;-12.6;732.0;776.2;;80;Штиль, безветрие;0;;;40%.; ;;;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;10%  или менее, но не 0;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-15.4;;;;;;
25.01.2017 23:00;-23.9;732.7;779.0;;81;Штиль, безветрие;0;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-26.3;;;;;;
26.01.2017 5:00;-29.3;731.4;778.6;;74;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-32.4;;;;;;
26.01.2017 11:00;-23.5;728.3;774.3;;79;Ветер, дующий с северо-северо-востока;1;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-26.1;;;;;;
26.01.2017 17:00;-16.9;724.6;769.1;;75;Ветер, дующий с севера;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;50.0;-20.3;;;;;;
26.01.2017 23:00;-16.8;720.7;765.0;;80;Штиль, безветрие;0;;;50%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;50%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-19.4;;;;;;
27.01.2017 5:00;-12.9;723.8;767.5;;87;Ветер, дующий с северо-запада;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-14.6;;;;;;
27.01.2017 11:00;-13.8;728.2;772.3;;67;Ветер, дующий с северо-запада;3;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;50.0;-18.6;;;;;;
27.01.2017 17:00;-16.7;732.4;777.4;;54;Ветер, дующий с северо-запада;3;;;100%.;Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ;Метель;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;50.0;-23.8;;;;;;
27.01.2017 23:00;-21.1;737.2;783.3;;70;Ветер, дующий с западо-северо-запада;1;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-25.1;;;;;;
28.01.2017 5:00;-25.7;740.2;787.4;;80;Ветер, дующий с запада;1;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-28.1;;;;;;
28.01.2017 11:00;-29.2;741.6;789.5;;74;Штиль, безветрие;0;;;Облаков нет.; ;;;-33.0;;;;;;;50.0;-32.3;;;;;;
28.01.2017 17:00;-25.0;739.6;786.6;;69;Ветер, дующий с северо-северо-востока;2;;;Облаков нет.; ;;;;;;;;;;50.0;-29.1;;;;;;
28.01.2017 23:00;-24.0;735.6;782.1;;75;Ветер, дующий с востока;2;;;Облаков нет.; ;;;;;;;;;;;-27.2;;;;;;
29.01.2017 5:00;-26.8;731.7;778.6;;70;Ветер, дующий с северо-северо-запада;2;;;Облаков нет.; ;;;;;;;;;;;-30.7;;;;;;
29.01.2017 11:00;-29.9;731.0;778.4;;69;Штиль, безветрие;0;;;Облаков нет.; ;;;-33.0;;;;;;;50.0;-33.7;;;;;;
29.01.2017 17:00;-22.1;729.5;775.3;;55;Ветер, дующий с северо-северо-востока;1;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-28.8;;;;;;
29.01.2017 23:00;-31.3;728.8;776.3;;75;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-34.3;;;;;;
30.01.2017 5:00;-33.8;728.2;776.2;;69;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-37.5;;;;;;
30.01.2017 11:00;-26.4;729.4;775.9;;74;Штиль, безветрие;0;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;90  или более, но не 100%;2500 или более, или облаков нет.;"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-29.6;;;;;;
30.01.2017 17:00;-14.2;729.4;773.8;;50;Штиль, безветрие;0;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-22.4;;;;;;
30.01.2017 23:00;-23.4;731.7;777.8;;80;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-25.9;;;;;;
31.01.2017 5:00;-27.6;731.8;778.9;;80;Штиль, безветрие;0;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-30.0;;;;;;
31.01.2017 11:00;-26.5;730.9;777.6;;74;Ветер, дующий с востоко-северо-востока;2;;;40%.; ;;;-29.9;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-29.7;;;;;;
31.01.2017 17:00;-18.7;729.0;774.2;;70;Ветер, дующий с северо-востока;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;50.0;-22.8;;;;;;
31.01.2017 23:00;-23.8;728.8;774.9;;80;Штиль, безветрие;0;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-26.3;;;;;;
01.02.2017 5:00;-27.2;728.6;775.3;;75;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-30.3;;;;;;
01.02.2017 11:00;-24.2;728.8;774.9;;75;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;50.0;-27.4;;;;;;
01.02.2017 17:00;-16.0;727.0;771.4;;65;Ветер, дующий с северо-северо-востока;2;;;Облаков нет.; ;;;;;;;;;;50.0;-21.1;;;;;;
