Местное время в Ангарске;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
21.01.2017 11:00;-26.2;735.5;781.0;;74;Ветер, дующий с востоко-юго-востока;2;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-29.5;;;;;;
21.01.2017 17:00;-20.2;733.7;778.0;;73;Ветер, дующий с востока;2;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-23.8;;;;;;
21.01.2017 23:00;-21.4;732.4;776.9;;82;Ветер, дующий с востока;3;;;Облаков нет.; ;;;;;;;;;;;-23.7;;;;;;
22.01.2017 5:00;-21.9;730.8;775.3;;81;Ветер, дующий с востока;3;;;Облаков нет.; ;;;;;;;;;;;-24.3;;;;;;
22.01.2017 11:00;-19.8;730.3;774.4;;77;Ветер, дующий с востока;4;;;Облаков нет.; ;;;-22.1;;;;;;;50.0;-22.8;;;;;;
22.01.2017 17:00;-15.0;730.9;774.1;;65;Ветер, дующий с востоко-юго-востока;3;;;Облаков нет.; ;;;;;;;;;;50.0;-20.2;;;;;;
22.01.2017 23:00;-20.7;732.4;776.7;;84;Ветер, дующий с востоко-юго-востока;2;;;Облаков нет.; ;;;;;;;;;;;-22.7;;;;;;
23.01.2017 5:00;-22.2;732.7;777.3;;80;Ветер, дующий с востока;2;;;Облаков нет.; ;;;;;;;;;;;-24.7;;;;;;
23.01.2017 11:00;-19.6;731.6;775.7;;79;Ветер, дующий с востока;3;;;20–30%.; ;;;-23.2;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;20.0;-22.3;;;;;;
23.01.2017 17:00;-13.1;728.5;771.2;;66;Ветер, дующий с востоко-юго-востока;5;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;20.0;-18.2;;;;;;
23.01.2017 23:00;-17.0;726.7;770.1;;75;Ветер, дующий с востоко-юго-востока;4;;;Облаков нет.; ;;;;;;;;;;;-20.4;;;;;;
24.01.2017 5:00;-17.2;724.7;767.9;;76;Ветер, дующий с востоко-юго-востока;4;;;Облаков нет.; ;;;;;;;;;;;-20.5;;;;;;
24.01.2017 11:00;-14.7;724.1;766.9;;67;Ветер, дующий с востоко-юго-востока;4;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;20.0;-19.5;;;;;;
24.01.2017 17:00;-11.2;726.0;768.3;;65;Ветер, дующий с востока;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";20.0;-16.6;;;;;;
24.01.2017 23:00;-12.7;726.5;769.1;;73;Ветер, дующий с северо-востока;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";;;-16.6;;;;;;
25.01.2017 5:00;-11.9;729.7;772.3;;88;Ветер, дующий с западо-северо-запада;2;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-13.5;;;;;;
25.01.2017 11:00;-9.1;731.9;774.2;;87;Ветер, дующий с севера;1;;;100%.;Облака в целом рассеиваются или становятся менее развитыми. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перисто-слоистые, не распространяющиеся по небу и не покрывающие его полностью.;50.0;-10.9;;;;;;
25.01.2017 17:00;-7.0;733.0;775.0;;81;Ветер, дующий с северо-запада;1;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;50.0;-9.7;;;;;;
25.01.2017 23:00;-16.8;734.5;778.3;;87;Ветер, дующий с востоко-юго-востока;1;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-18.5;;;;;;
26.01.2017 5:00;-23.2;733.6;778.5;;82;Ветер, дующий с востоко-северо-востока;1;;;Облаков нет.; ;;;;;;;;;;;-25.5;;;;;;
26.01.2017 11:00;-19.7;730.9;775.0;;82;Ветер, дующий с востоко-северо-востока;1;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-22.0;;;;;;
26.01.2017 17:00;-12.8;726.9;769.5;;76;Ветер, дующий с востока;2;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-16.2;;;;;;
26.01.2017 23:00;-16.9;723.1;766.2;;78;Ветер, дующий с востока;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-19.8;;;;;;
27.01.2017 5:00;-16.8;723.3;766.4;;81;Ветер, дующий с запада;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-19.3;;;;;;
27.01.2017 11:00;-11.0;727.8;770.2;;68;Ветер, дующий с северо-северо-запада;5;;;100%.;Облака в целом рассеиваются или становятся менее развитыми. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-15.8;;;;;;
27.01.2017 23:00;-19.4;737.9;782.4;;60;Ветер, дующий с северо-запада;2;;10;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-25.2;;;;;;
28.01.2017 5:00;-21.9;741.2;786.3;;75;Ветер, дующий с запада;2;;;Облаков нет.; ;;;;;;;;;;;-25.1;;;;;;
28.01.2017 11:00;-22.1;743.2;788.4;;73;Ветер, дующий с запада;1;;;Облаков нет.; ;;;-27.0;;;;;;;50.0;-25.6;;;;;;
28.01.2017 17:00;-19.3;741.8;786.5;;62;Ветер, дующий с востока;3;;;Облаков нет.; ;;;;;;;;;;50.0;-24.8;;;;;;
28.01.2017 23:00;-24.8;738.6;784.0;;78;Ветер, дующий с востока;3;;;Облаков нет.; ;;;;;;;;;;;-27.5;;;;;;
29.01.2017 5:00;-25.0;733.1;778.3;;75;Ветер, дующий с востока;3;;;Облаков нет.; ;;;;;;;;;;;-28.2;;;;;;
29.01.2017 11:00;-25.7;732.0;777.3;;65;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;50.0;-30.3;;;;;;
29.01.2017 17:00;-16.5;730.6;774.1;;54;Ветер, дующий с западо-северо-запада;1;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-23.8;;;;;;
29.01.2017 23:00;-27.8;730.3;775.8;;77;Ветер, дующий с юго-востока;1;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-30.6;;;;;;
30.01.2017 5:00;-32.4;729.8;776.2;;72;Ветер, дующий с юга;1;;;Облаков нет.; ;;;;;;;;;;;-35.8;;;;;;
30.01.2017 11:00;-25.3;731.2;776.2;;72;Штиль, безветрие;0;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;20.0;-28.9;;;;;;
30.01.2017 17:00;-14.9;731.0;774.3;;55;Ветер, дующий с западо-юго-запада;1;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;20.0;-22.1;;;;;;
30.01.2017 23:00;-24.4;733.0;778.1;;81;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-26.8;;;;;;
31.01.2017 5:00;-28.2;733.6;779.5;;76;Ветер, дующий с юго-юго-востока;1;;;Облаков нет.; ;;;;;;;;;;;-31.1;;;;;;
31.01.2017 11:00;-21.5;733.4;778.0;;78;Ветер, дующий с востоко-юго-востока;3;;;Облаков нет.; ;;;;;;;;;;50.0;-24.4;;;;;;
31.01.2017 17:00;-11.9;730.4;773.1;;57;Ветер, дующий с востоко-юго-востока;1;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-18.8;;;;;;
31.01.2017 23:00;-21.5;730.6;775.0;;83;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-23.6;;;;;;
01.02.2017 5:00;-24.7;730.3;775.2;;78;Ветер, дующий с востока;1;;;Облаков нет.; ;;;;;;;;;;;-27.4;;;;;;
01.02.2017 11:00;-18.9;729.8;773.7;;81;Штиль, безветрие;0;;;Облаков нет.; ;;;-27.0;;;;;;;50.0;-21.4;;;;;;
01.02.2017 17:00;-8.8;727.8;769.8;;53;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;50.0;-16.7;;;;;;
