Местное время в Иркутске;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
03.01.2017 11:00;-11.3;718.3;763.3;-0.3;86;Ветер, дующий с юго-востока;4;;;10%  или менее, но не 0; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-13.2;;;;;;
03.01.2017 14:00;-4.1;717.0;760.7;-1.3;60;Ветер, дующий с юго-востока;3;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;50.0;-10.8;;;;;;
03.01.2017 17:00;-5.1;717.1;761.1;0.1;64;Ветер, дующий с юго-востока;1;;;20–30%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;10%  или менее, но не 0;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-10.9;;;;;;
03.01.2017 20:00;-10.3;719.4;764.3;02.мар;80;Ветер, дующий с северо-запада;2;;;Облаков нет.; ;;;;-2.6;;;;;;10.0;-13.1;Осадков нет;12;;;;
03.01.2017 23:00;-13.7;721.1;766.8;01.июл;90;Ветер, дующий с северо-запада;1;;;Облаков нет.;Дымка. ;Облака покрывали половину неба или менее в течение всего соответствующего периода.;Облака покрывали половину неба или менее в течение всего соответствующего периода.;;;;;;;;4.0;-15.0;;;;;;
04.01.2017 2:00;-15.2;722.0;768.1;0.9;88;Штиль, безветрие;0;;;Облаков нет.;Дымка. ;Облака покрывали половину неба или менее в течение всего соответствующего периода.;Облака покрывали половину неба или менее в течение всего соответствующего периода.;;;;;;;;2.0;-16.7;;;;;;
04.01.2017 5:00;-16.9;721.6;767.9;-0.4;87;Ветер, дующий с востоко-северо-востока;1;;;Облаков нет.;Туман или обрывки ледяного тумана. ;Облака покрывали половину неба или менее в течение всего соответствующего периода.;Облака покрывали половину неба или менее в течение всего соответствующего периода.;;;;;;;;2.0;-18.6;;;;;;
04.01.2017 8:00;-17.3;721.3;767.7;-0.3;87;Ветер, дующий с востока;1;;;Облаков нет.; ;;;-17.7;;;;;;;10.0;-18.9;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;21.0
04.01.2017 11:00;-5.7;719.8;763.9;-1.5;83;Ветер, дующий с юго-востока;3;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-8.1;;;;;;
04.01.2017 14:00;-5.7;719.8;763.9;0.0;83;Ветер, дующий с юго-востока;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-8.1;;;;;;
04.01.2017 17:00;-4.1;719.8;763.6;0.0;77;Ветер, дующий с востоко-юго-востока;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;50.0;-7.6;;;;;;
04.01.2017 20:00;-6.2;720.5;764.8;0.7;85;Ветер, дующий с юго-востока;3;;;Облаков нет.; ;;;;-3.9;;;;;;10.0;-8.4;Осадков нет;12;;;;
04.01.2017 23:00;-13.3;722.6;768.3;02.янв;90;Штиль, безветрие;0;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10.0;-14.6;;;;;;
05.01.2017 2:00;-13.3;722.6;768.3;0.0;90;Штиль, безветрие;0;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10.0;-14.6;;;;;;
05.01.2017 5:00;-12.3;723.4;769.0;0.8;89;Ветер, дующий с юго-востока;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10.0;-13.8;;;;;;
05.01.2017 8:00;-13.7;724.4;770.2;1.0;88;Ветер, дующий с северо-северо-востока;1;;;100%.; ;;;-14.0;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10.0;-15.3;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;21.0
05.01.2017 11:00;-12.7;725.7;771.5;01.мар;85;Штиль, безветрие;0;;;60%.;Дымка. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;-14.8;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;4.0;-14.7;;;;;;
05.01.2017 14:00;-7.5;725.4;770.2;-0.3;70;Штиль, безветрие;0;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-12.1;;;;;;
05.01.2017 17:00;-8.5;726.4;771.4;1.0;80;Ветер, дующий с северо-запада;1;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-11.3;;;;;;
05.01.2017 20:00;-11.2;727.4;773.0;1.0;91;Штиль, безветрие;0;;;Облаков нет.;Дымка. ;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;-6.8;;;;;;1.0;-12.4;Осадков нет;12;;;;
05.01.2017 23:00;-12.3;728.0;773.8;0.6;91;Ветер, дующий с востока;1;;;40%.;Дымка. ;Облака покрывали половину неба или менее в течение всего соответствующего периода.;Облака покрывали половину неба или менее в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;2.0;-13.5;;;;;;
06.01.2017 2:00;-13.0;728.2;774.2;0.2;89;Ветер, дующий с востоко-северо-востока;1;;;Облаков нет.; ;;;;;;;;;;10.0;-14.4;;;;;;
06.01.2017 5:00;-15.3;728.3;774.7;0.1;89;Ветер, дующий с востоко-северо-востока;1;;;Облаков нет.; ;;;;;;;;;;10.0;-16.7;;;;;;
06.01.2017 8:00;-15.4;727.6;774.0;-0.7;89;Ветер, дующий с востоко-северо-востока;1;;;Облаков нет.; ;;;-16.1;;;;;;;10.0;-16.8;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;21.0
06.01.2017 11:00;-13.8;727.0;773.0;-0.6;87;Ветер, дующий с юго-востока;1;;;Облаков нет.; ;;;-16.7;;;;;;;50.0;-15.5;;;;;;
06.01.2017 14:00;-2.2;724.6;768.5;-2.4;63;Ветер, дующий с юго-востока;4;;;Облаков нет.; ;;;;;;;;;;50.0;-8.4;;;;;;
06.01.2017 17:00;-8.1;725.6;770.5;1.0;71;Ветер, дующий с западо-северо-запада;2;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;50.0;-12.5;;;;;;
06.01.2017 20:00;-10.6;727.7;773.2;02.янв;78;Штиль, безветрие;0;;;Облаков нет.; ;;;;-0.9;;;;;;10.0;-13.7;Осадков нет;12;;;;
06.01.2017 23:00;-11.8;728.3;774.1;0.6;83;Ветер, дующий с востока;1;;;Облаков нет.;Дымка. ;Облака покрывали половину неба или менее в течение всего соответствующего периода.;Облака покрывали половину неба или менее в течение всего соответствующего периода.;;;;;;;;4.0;-14.1;;;;;;
07.01.2017 2:00;-13.4;728.9;775.0;0.6;88;Штиль, безветрие;0;;;100%.;Дымка. ;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;50%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;4.0;-15.0;;;;;;
07.01.2017 5:00;-13.3;728.8;774.8;-0.1;86;Ветер, дующий с юго-юго-запада;1;;;60%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;60%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;-15.1;;;;;;
07.01.2017 8:00;-13.0;728.9;774.9;0.1;88;Ветер, дующий с северо-востока;1;;;20–30%.;Дымка. ;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;-14.0;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые башенкообразные или хлопьевидные.;Перистых, перисто-кучевых или перисто-слоистых нет.;4.0;-14.6;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;21.0
07.01.2017 11:00;-12.2;729.4;775.3;0.5;83;Ветер, дующий с северо-северо-востока;1;;;100%.;Дымка. ;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;2.0;-14.5;;;;;;
07.01.2017 14:00;-9.1;730.3;775.7;0.9;88;Ветер, дующий с западо-северо-запада;2;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;1.0;-10.8;;;;;;
07.01.2017 17:00;-9.0;732.8;778.3;02.май;63;Ветер, дующий с северо-запада;3;;10;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Метель;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;20.0;-14.8;;;;;;
07.01.2017 20:00;-11.0;734.5;780.6;01.июл;59;Ветер, дующий с запада;3;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Метель;;-7.5;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;1000-1500;;;10.0;-17.6;0.8;12;;;;
07.01.2017 23:00;-12.6;735.2;781.6;0.7;61;Ветер, дующий с западо-северо-запада;2;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;1000-1500;;;10.0;-18.7;;;;;;
08.01.2017 2:00;-15.8;735.4;782.4;0.2;69;Ветер, дующий с западо-северо-запада;1;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;-20.3;;;;;;
08.01.2017 5:00;-18.1;735.4;782.8;0.0;78;Ветер, дующий с северо-запада;1;;;Облаков нет.; ;;;;;;;;;;10.0;-21.0;;;;;;
08.01.2017 8:00;-21.3;735.0;783.0;-0.4;80;Ветер, дующий с востоко-северо-востока;1;;;90  или более, но не 100%;Снег с перерывами слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;-21.3;;Слоисто-кучевые, образовавшиеся не из кучевых.;90  или более, но не 100%;1500-2000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;4.0;-23.8;Следы осадков;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;23.0
08.01.2017 11:00;-21.8;734.2;782.2;-0.8;78;Ветер, дующий с востоко-северо-востока;1;;;20–30%.;Облака в целом рассеиваются или становятся менее развитыми. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;-22.4;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-24.6;;;;;;
08.01.2017 14:00;-16.9;731.8;778.7;-2.4;60;Штиль, безветрие;0;;;40%.;Состояние неба в общем не изменилось. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-22.8;;;;;;
08.01.2017 17:00;-19.0;730.7;778.0;-1.1;69;Ветер, дующий с северо-запада;1;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-23.3;;;;;;
08.01.2017 20:00;-19.5;731.2;778.6;0.5;69;Ветер, дующий с западо-северо-запада;2;;;100%.; ;;;;-16.2;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;100%.;600-1000;;;10.0;-23.8;Следы осадков;12;;;;
08.01.2017 23:00;-19.7;731.3;778.8;0.1;66;Ветер, дующий с севера;2;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;100%.;600-1000;;;10.0;-24.4;;;;;;
09.01.2017 2:00;-21.7;731.7;779.5;0.4;65;Ветер, дующий с севера;2;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10.0;-26.5;;;;;;
09.01.2017 5:00;-22.5;732.7;780.7;1.0;66;Ветер, дующий с северо-северо-запада;1;;;100%.;Облака в целом рассеиваются или становятся менее развитыми. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;2500 или более, или облаков нет.;"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10.0;-27.2;;;;;;
09.01.2017 8:00;-23.6;733.9;782.3;01.фев;81;Ветер, дующий с севера;2;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-23.7;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10.0;-25.9;0.3;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;23.0
09.01.2017 11:00;-24.9;734.9;783.6;1.0;74;Штиль, безветрие;0;;;20–30%.;Дымка. ;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;-25.7;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;4.0;-28.2;;;;;;
09.01.2017 14:00;-19.1;734.5;782.0;-0.4;63;Ветер, дующий с запада;1;;;Облаков нет.; ;;;;;;;;;;50.0;-24.5;;;;;;
09.01.2017 17:00;-20.7;734.2;782.0;-0.3;78;Штиль, безветрие;0;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-23.6;;;;;;
09.01.2017 20:00;-23.0;733.1;781.3;-1.1;74;Ветер, дующий с востока;2;;;20–30%.;Дымка. ;Облака покрывали половину неба или менее в течение всего соответствующего периода.;Облака покрывали половину неба или менее в течение всего соответствующего периода.;;-19.0;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;4.0;-26.3;Осадков нет;12;;;;
