Местное время в Томпе;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
05.01.2017 14:00;-2.8;724.1;767.6;;91;Ветер, дующий с юго-юго-запада;7;10;;90  или более, но не 100%;Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ;Метель;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-4.1;;;;;;
05.01.2017 20:00;-3.9;725.2;769.0;;89;Ветер, дующий с юга;5;;10;90  или более, но не 100%;Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ;Метель;Облака покрывали более половины неба в течение всего соответствующего периода.;;-2.4;Слоисто-кучевые, образовавшиеся не из кучевых.;10%  или менее, но не 0;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-5.4;Осадков нет;12;;;;
06.01.2017 2:00;-3.6;725.7;769.3;;92;Ветер, дующий с юго-юго-запада;6;;;100%.;Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ;Метель;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;40%.;600-1000;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-4.7;;;;;;
06.01.2017 8:00;-1.4;726.1;769.4;;78;Ветер, дующий с юга;5;;;100%.;Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ;Метель;Облака покрывали более половины неба в течение всего соответствующего периода.;-4.0;;Слоисто-кучевые, образовавшиеся не из кучевых.;60%.;600-1000;Высокослоистые непросвечивающие или слоисто-дождевые.;;50.0;-4.8;Осадков нет;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;27.0
06.01.2017 14:00;-0.8;725.8;769.0;;85;Ветер, дующий с юга;6;;;90  или более, но не 100%;Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ;Метель;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-3.0;;;;;;
06.01.2017 20:00;-1.6;724.1;767.3;;82;Ветер, дующий с юго-востока;4;;;100%.;Облака в целом образовывались или развивались. ;Метель;Облака покрывали более половины неба в течение всего соответствующего периода.;;-0.2;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-4.3;Осадков нет;12;;;;
07.01.2017 2:00;-3.1;723.7;767.2;;82;Ветер, дующий с юга;4;;;40%.;Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ;Метель;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-5.8;;;;;;
07.01.2017 8:00;-4.3;724.9;768.7;;75;Ветер, дующий с юго-юго-запада;4;;;100%.;Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ;Метель;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;-4.3;;Слоисто-кучевые, образовавшиеся не из кучевых.;70 – 80%.;600-1000;Высокослоистые просвечивающие.;;50.0;-8.1;Осадков нет;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;25.0
07.01.2017 14:00;-4.0;724.8;768.4;;64;Ветер, дующий с западо-юго-запада;1;;;90  или более, но не 100%;Облака в целом рассеиваются или становятся менее развитыми. ;Метель;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высокослоистые непросвечивающие или слоисто-дождевые.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-9.8;;;;;;
07.01.2017 20:00;-10.4;727.2;772.2;;65;Ветер, дующий с востоко-юго-востока;1;;;100%.; ;;;;-3.8;Слоисто-кучевые, образовавшиеся не из кучевых.;40%.;600-1000;Высокослоистые просвечивающие.;;;-15.7;Осадков нет;12;;;;
08.01.2017 2:00;-15.3;729.7;775.8;;68;Ветер, дующий с севера;2;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-19.9;;;;;;
08.01.2017 8:00;-18.8;723.4;777.7;;55;Ветер, дующий с северо-северо-востока;1;;;100%.; ;;;-18.8;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;600-1000;;;50.0;-25.6;Осадков нет;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;25.0
08.01.2017 14:00;-19.2;730.9;777.8;;55;Ветер, дующий с северо-северо-востока;1;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;70 – 80%.;600-1000;Высокослоистые непросвечивающие или слоисто-дождевые.;;50.0;-26.0;;;;;;
08.01.2017 20:00;-20.0;730.9;778.0;;55;Ветер, дующий с севера;1;;;100%.; ;;;;-17.8;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-26.7;Осадков нет;12;;;;
09.01.2017 2:00;-25.8;730.8;778.9;;60;Ветер, дующий с севера;1;;;Облаков нет.; ;;;;;;;;;;;-31.3;;;;;;
09.01.2017 8:00;-28.3;731.0;779.7;;75;Ветер, дующий с северо-северо-востока;1;;;Облаков нет.; ;;;-28.3;;;;;;;50.0;-31.3;Осадков нет;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;25.0
09.01.2017 14:00;-22.0;730.6;778.0;;60;Ветер, дующий с юга;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые просвечивающие.;;50.0;-27.7;;;;;;
09.01.2017 20:00;-21.6;714.5;776.8;;80;Ветер, дующий с северо-северо-востока;2;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;-21.6;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-24.1;0.3;12;;;;
09.01.2017 23:00;-21.6;714.5;776.8;0.0;80;Ветер, дующий с северо-северо-востока;2;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;-21.6;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-24.1;0.3;12;;;;
10.01.2017 2:00;-25.3;728.1;775.9;13.июн;89;Ветер, дующий с северо-северо-востока;2;;;100%.;Облака в целом рассеиваются или становятся менее развитыми. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые просвечивающие.;;;-26.6;;;;;;
10.01.2017 8:00;-25.4;727.2;775.0;;85;Ветер, дующий с севера;1;;;20–30%.; ;;;-25.6;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;50.0;-27.2;Следы осадков;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;25.0
10.01.2017 14:00;-16.4;712.6;758.8;;65;Ветер, дующий с северо-востока;1;;;90  или более, но не 100%; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;50.0;-21.5;;;;;;
10.01.2017 20:00;-21.4;721.2;775.9;;80;Ветер, дующий с северо-востока;1;;;90  или более, но не 100%; ;;;;-16.0;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;;-23.9;Осадков нет;12;;;;
11.01.2017 2:00;-16.4;712.6;758.8;;65;Ветер, дующий с северо-востока;1;;;90  или более, но не 100%; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;50.0;-21.5;;;;;;
11.01.2017 8:00;-25.5;728.8;776.7;;80;Ветер, дующий с северо-северо-востока;1;;;10%  или менее, но не 0; ;;;-28.2;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;10.0;-28.0;Осадков нет;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;25.0
11.01.2017 14:00;-18.6;728.2;774.7;;75;Ветер, дующий с северо-северо-востока;1;;;10%  или менее, но не 0; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-21.9;;;;;;
11.01.2017 20:00;-24.9;728.6;776.4;;84;Ветер, дующий с северо-северо-востока;1;;;Облаков нет.; ;;;;-18.4;;;;;;;-26.8;Осадков нет;12;;;;
12.01.2017 2:00;-25.5;728.5;776.5;;85;Ветер, дующий с северо-северо-востока;1;;;Облаков нет.; ;;;;;;;;;;;-27.3;;;;;;
12.01.2017 8:00;-29.3;714.0;777.7;;84;Ветер, дующий с северо-северо-востока;1;;;Облаков нет.; ;;;-30.3;;;;;;;50.0;-31.1;Осадков нет;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;25.0
12.01.2017 14:00;-19.4;729.7;776.5;;75;Ветер, дующий с западо-юго-запада;2;;;Облаков нет.; ;;;;;;;;;;50.0;-22.7;;;;;;
12.01.2017 20:00;-25.8;731.0;779.1;;85;Ветер, дующий с северо-северо-востока;2;;;Облаков нет.; ;;;;-18.9;;;;;;;-27.6;Осадков нет;12;;;;
13.01.2017 2:00;-29.7;731.1;780.0;;84;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-31.5;;;;;;
13.01.2017 8:00;-28.5;731.3;780.0;;84;Ветер, дующий с севера;1;;;Облаков нет.; ;;;-30.7;;;;;;;50.0;-30.4;Осадков нет;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;25.0
13.01.2017 14:00;-18.9;731.1;778.0;;75;Ветер, дующий с запада;1;;;Облаков нет.; ;;;;;;;;;;50.0;-22.2;;;;;;
13.01.2017 20:00;-26.0;731.6;779.8;;85;Ветер, дующий с севера;1;;;Облаков нет.; ;;;;-18.3;;;;;;;-27.8;Осадков нет;12;;;;
14.01.2017 2:00;-30.0;731.2;780.2;;80;Ветер, дующий с северо-северо-востока;2;;;Облаков нет.; ;;;;;;;;;;;-32.4;;;;;;
14.01.2017 8:00;-32.0;730.4;779.8;;85;Ветер, дующий с востоко-северо-востока;1;;;Облаков нет.; ;;;-32.6;;;;;;;50.0;-33.7;Осадков нет;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;25.0
14.01.2017 14:00;-20.2;730.0;777.0;;80;Ветер, дующий с востоко-северо-востока;2;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-22.8;;;;;;
14.01.2017 20:00;-25.4;730.8;778.9;;85;Штиль, безветрие;0;;;40%.; ;;;;-19.7;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-27.2;Осадков нет;12;;;;
15.01.2017 2:00;-28.3;730.8;779.3;;85;Штиль, безветрие;0;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-30.0;;;;;;
15.01.2017 8:00;-24.5;715.6;778.5;;84;Ветер, дующий с северо-северо-востока;1;;;90  или более, но не 100%; ;;;-29.0;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба.";50.0;-26.4;Осадков нет;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;25.0
15.01.2017 14:00;-20.2;730.0;777.0;;80;Ветер, дующий с юго-юго-запада;1;;;90  или более, но не 100%; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;10%  или менее, но не 0;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба.";50.0;-22.8;;;;;;
15.01.2017 20:00;-20.5;730.6;777.7;;75;Ветер, дующий с северо-северо-востока;1;;;90  или более, но не 100%; ;;;;-19.9;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба.";;-23.8;Осадков нет;12;;;;
16.01.2017 2:00;-24.5;731.0;778.9;;69;Ветер, дующий с северо-северо-востока;2;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, не распространяющиеся по небу и не покрывающие его полностью.;;-28.5;;;;;;
16.01.2017 8:00;-21.9;731.2;778.6;;89;Ветер, дующий с северо-северо-востока;1;;;90  или более, но не 100%; ;;;-25.0;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, не распространяющиеся по небу и не покрывающие его полностью.;50.0;-23.2;Осадков нет;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;25.0
16.01.2017 14:00;-16.6;731.1;777.4;;75;Ветер, дующий с западо-юго-запада;2;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, не распространяющиеся по небу и не покрывающие его полностью.;50.0;-20.0;;;;;;
16.01.2017 20:00;-21.9;731.4;778.8;;89;Ветер, дующий с северо-северо-востока;1;;;90  или более, но не 100%; ;;;;-16.0;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, не распространяющиеся по небу и не покрывающие его полностью.;;-23.2;Осадков нет;12;;;;
17.01.2017 2:00;-23.3;730.8;778.3;;85;Ветер, дующий с северо-северо-востока;2;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, не распространяющиеся по небу и не покрывающие его полностью.;;-25.1;;;;;;
17.01.2017 8:00;-24.4;730.8;778.6;;85;Штиль, безветрие;0;;;90  или более, но не 100%; ;;;-25.6;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-26.2;Осадков нет;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;25.0
17.01.2017 14:00;-17.2;731.1;777.6;;75;Ветер, дующий с востоко-северо-востока;2;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-20.6;;;;;;
17.01.2017 20:00;-22.7;732.7;780.4;;90;Ветер, дующий с северо-северо-востока;1;;;70 – 80%.; ;;;;-17.0;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, не распространяющиеся по небу и не покрывающие его полностью.;;-23.9;Осадков нет;12;;;;
18.01.2017 2:00;-22.4;733.6;781.3;;75;Ветер, дующий с северо-востока;2;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;600-1000;Высокослоистые просвечивающие.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-25.6;;;;;;
18.01.2017 8:00;-22.2;734.5;782.1;;80;Ветер, дующий с востоко-северо-востока;2;;;90  или более, но не 100%; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-24.8;Осадков нет;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;25.0
18.01.2017 14:00;-16.8;734.2;780.8;;70;Ветер, дующий с западо-юго-запада;1;;;Облаков нет.; ;;;;;;;;;;50.0;-21.0;;;;;;
18.01.2017 20:00;-25.2;719.8;783.0;;70;Ветер, дующий с северо-северо-востока;1;;;Облаков нет.; ;;;;-15.4;;;;;;;-29.1;Осадков нет;12;;;;
19.01.2017 2:00;-27.2;733.9;782.8;;85;Ветер, дующий с севера;2;;;Облаков нет.; ;;;;;;;;;;;-29.0;;;;;;
19.01.2017 8:00;-27.8;732.5;781.1;;79;Ветер, дующий с северо-северо-востока;2;;;20–30%.; ;;;-28.3;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-30.3;Осадков нет;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;25.0
19.01.2017 14:00;-20.0;730.3;777.3;;80;Ветер, дующий с северо-северо-востока;1;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;60%.;600-1000;Высокослоистые просвечивающие.;;20.0;-22.6;;;;;;
