Местное время в Максимово;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
05.11.2017 8:00;0.6;729.2;762.0;;42;;;;;; ;;;0.5;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;;;;;-11.0;Осадков нет;12;;;Слежавшийся или мокрый снег (со льдом или без него), покрывающий по крайней мере половину поверхности почвы, но почва не покрыта полностью.;3.0
05.11.2017 20:00;-1.4;731.8;764.9;;90;;;;;;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;02.янв;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-2.9;1.0;12;;;;
06.11.2017 8:00;-3.1;733.6;767.0;;91;;;;;;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-4.4;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;;;;;-4.4;3.0;12;;;Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.;9.0
06.11.2017 20:00;-4.2;731.9;765.4;;91;;;;;;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;-1.8;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;;;;;-5.5;0.5;12;;;;
07.11.2017 8:00;-5.1;727.0;759.3;;90;;;;;;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;-6.4;;Слоисто-кучевые, образовавшиеся не из кучевых.;40%.;;Высокослоистые непросвечивающие или слоисто-дождевые.;Перисто-слоистые, покрывающие все небо.;;-6.5;0.7;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;10.0
07.11.2017 20:00;-2.5;727.5;760.6;;71;;;;;;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;-0.3;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-7.1;0.9;12;;;;
08.11.2017 8:00;-3.6;723.8;756.9;;93;;;;;;Ливневый снег умеренный или сильный в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-4.8;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;;;;;-4.6;3.0;12;;;Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.;13.0
08.11.2017 20:00;-4.4;729.9;763.3;;70;;;;;;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;;Высокослоистые непросвечивающие или слоисто-дождевые.;Перисто-слоистые, покрывающие все небо.;;-9.1;1.0;12;;;;
09.11.2017 8:00;-6.8;735.2;769.3;;89;;;;;;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-6.9;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-8.4;0.8;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;14.0
09.11.2017 20:00;-10.0;735.1;769.6;;90;;;;;;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;-3.3;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-11.3;0.2;12;;;;
10.11.2017 8:00;-5.3;730.0;763.6;;70;;;;;; ;;;-10.3;;Слоисто-кучевые, образовавшиеся не из кучевых.;50%.;;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-9.9;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;14.0
10.11.2017 20:00;-8.8;724.6;758.4;;86;;;;;; ;;;;-0.2;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;;-10.8;Осадков нет;12;;;;
11.11.2017 8:00;-7.3;724.1;757.7;;88;;;;;;Снег непрерывный умеренный в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;-11.2;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-9.0;0.6;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;12.0
11.11.2017 20:00;-6.3;727.8;761.4;;81;;;;;;Облака в целом рассеиваются или становятся менее развитыми. ;Ливень (ливни).;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-9.0;0.7;12;;;;
12.11.2017 8:00;-20.4;734.0;770.6;;80;;;;;; ;;;-20.6;;;;;;;;-23.0;0.2;12;;;Сухой рассыпчатый снег покрывает по крайней мере половину поверхности почвы (но не полностью).;13.0
12.11.2017 20:00;-22.5;740.5;777.0;;75;;;;;;Состояние неба в общем не изменилось. ;Ливень (ливни).;Метель;;;;;;;;;-25.7;0.2;12;;;;
13.11.2017 8:00;-32.7;742.3;780.5;;69;;;;;;Состояние неба в общем не изменилось. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;-32.7;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-36.5;0.2;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;13.0
14.11.2017 8:00;-34.4;740.8;779.2;;69;;;;;; ;;;-34.5;;;;;;;;-38.1;Следы осадков;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;14.0
14.11.2017 20:00;-27.8;737.5;774.7;;69;;;;;; ;;;;-16.9;;;2500 или более, или облаков нет.;;;;-31.7;Осадков нет;12;;;;
15.11.2017 8:00;-27.9;734.5;771.6;;70;;;;;;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;;Высокослоистые непросвечивающие или слоисто-дождевые.;Перисто-слоистые, покрывающие все небо.;;-31.7;0.3;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;13.0
15.11.2017 20:00;-24.7;735.4;772.0;;70;;;;;;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;-17.6;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;;Высокослоистые непросвечивающие или слоисто-дождевые.;Перисто-слоистые, покрывающие все небо.;;-28.6;0.6;12;;;;
16.11.2017 8:00;-30.7;741.4;779.2;;70;;;;;;Снег неливневый. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;-30.9;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;;Высокослоистые непросвечивающие или слоисто-дождевые.;Перисто-слоистые, покрывающие все небо.;;-34.4;0.4;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;15.0
16.11.2017 20:00;-26.6;745.0;782.4;;70;;;;;;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;-19.7;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;;Высокослоистые непросвечивающие или слоисто-дождевые.;Перисто-слоистые, покрывающие все небо.;;-30.4;Следы осадков;12;;;;
17.11.2017 8:00;-23.4;743.1;779.8;;70;;;;;;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;-27.6;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-27.4;0.8;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;14.0
17.11.2017 20:00;-18.4;740.2;775.8;;75;Штиль, безветрие;0;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;-16.2;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;Перисто-слоистые, покрывающие все небо.;;-21.7;2.0;12;;;;
18.11.2017 8:00;-26.0;738.5;775.4;;75;Штиль, безветрие;0;;;70 – 80%.;Состояние неба в общем не изменилось. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;-26.3;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высокослоистые просвечивающие.;"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба.";;-29.1;0.4;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;15.0
18.11.2017 20:00;-14.5;734.8;769.9;;80;Штиль, безветрие;0;;;100%.;Снег непрерывный умеренный в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;-14.4;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;600-1000;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-17.2;3.0;12;;;;
19.11.2017 20:00;-7.3;729.8;763.6;;85;;;;;;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;-7.1;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-9.4;1.0;12;;;;
20.11.2017 8:00;-3.7;727.9;761.2;;74;Ветер, дующий с юго-юго-запада;1;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-7.3;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-7.7;0.4;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;20.0
20.11.2017 20:00;-9.0;730.0;764.1;;59;Ветер, дующий с западо-юго-запада;1;;10;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Метель;;-2.8;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-15.7;0.8;12;;;;
21.11.2017 8:00;-12.5;732.4;767.0;;65;Ветер, дующий с севера;1;;;100%.;Ливневый снег или ливневый дождь и снег. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-12.7;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-17.7;0.7;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;21.0
21.11.2017 20:00;-24.3;739.3;775.9;;70;Штиль, безветрие;0;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Метель;;-12.4;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высокослоистые просвечивающие.;Перисто-слоистые, покрывающие все небо.;;-28.2;0.8;12;;;;
22.11.2017 20:00;-30.4;737.4;774.9;;65;Штиль, безветрие;0;;;Облаков нет.; ;;;;-25.3;;;;;;;-34.9;Осадков нет;12;;;;
23.11.2017 8:00;-37.5;740.2;779.1;;63;Штиль, безветрие;0;;;Облаков нет.; ;;;-37.6;;;;;;;;-41.9;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;20.0
23.11.2017 20:00;-31.6;740.3;778.3;;65;Штиль, безветрие;0;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;-24.8;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;Перисто-слоистые, покрывающие все небо.;;-36.0;Следы осадков;12;;;;
24.11.2017 8:00;-27.8;738.4;775.6;;64;Штиль, безветрие;0;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;-31.7;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-32.5;0.3;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;20.0
24.11.2017 20:00;-26.7;738.0;775.0;;64;;;;;;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;50%.;600-1000;Высокослоистые непросвечивающие или слоисто-дождевые.;Перисто-слоистые, покрывающие все небо.;;-31.4;0.3;12;;;;
25.11.2017 8:00;-36.6;738.9;777.6;;65;;;;;; ;;;-36.6;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-40.8;Следы осадков;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;20.0
25.11.2017 20:00;-18.5;725.1;760.1;;76;;;;;;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;-18.4;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;50%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;Перисто-слоистые, покрывающие все небо.;;-21.7;0.3;12;;;;
26.11.2017 8:00;-5.9;713.2;746.2;;79;;;;;;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-18.6;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-9.0;2.0;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;21.0
27.11.2017 8:00;-27.7;736.0;773.2;;55;;;;;;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Метель;-27.8;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-34.0;0.8;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;21.0
27.11.2017 20:00;-27.6;742.9;780.4;;65;;;;;;Снег непрерывный слабый в срок наблюдения. ;Ливень (ливни).;Снег и/или другие виды твердых осадков;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;Перисто-слоистые, покрывающие все небо.;;-32.2;0.9;12;;;;
28.11.2017 8:00;-39.4;744.5;783.8;;58;;;;;; ;;;-39.4;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;10%  или менее, но не 0;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-44.4;0.2;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;21.0
28.11.2017 20:00;-35.8;745.6;784.4;;59;;;;;; ;;;;;;;2500 или более, или облаков нет.;;;;-40.9;Осадков нет;12;;;;
29.11.2017 8:00;-31.7;740.4;778.3;;64;;;;;; ;;;-39.0;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-36.2;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;21.0
30.11.2017 8:00;-20.4;737.3;773.3;;75;;;;;;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;-21.3;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;600-1000;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-23.7;3.0;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;25.0
30.11.2017 20:00;-17.8;736.2;771.8;;74;;;;;;Облака в целом рассеиваются или становятся менее развитыми. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;-14.9;Слоисто-кучевые, образовавшиеся не из кучевых.;40%.;1000-1500;Высокослоистые непросвечивающие или слоисто-дождевые.;Перисто-слоистые, покрывающие все небо.;;-21.3;0.7;12;;;;
01.12.2017 8:00;-20.4;732.3;768.0;;75;;;;;;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;-21.0;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;Перисто-слоистые, покрывающие все небо.;;-23.7;1.0;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;27.0
01.12.2017 20:00;-26.4;739.0;776.0;;70;;;;;;Состояние неба в общем не изменилось. ;Ливень (ливни).;Метель;;-14.3;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;10%  или менее, но не 0;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-30.3;1.0;12;;;;
02.12.2017 8:00;-33.4;741.1;779.2;;65;;;;;; ;;;-35.0;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;1000-1500;Высокослоистые просвечивающие.;Перисто-слоистые, не распространяющиеся по небу и не покрывающие его полностью.;;-37.7;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;27.0
02.12.2017 20:00;-22.8;740.4;777.0;;70;;;;;;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;-22.4;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-26.8;0.9;12;;;;
03.12.2017 8:00;-26.7;741.2;778.4;;70;;;;;;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-27.6;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;;-30.6;0.9;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;27.0
03.12.2017 20:00;-19.7;738.7;774.7;;75;;;;;;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;-18.0;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;50%.;600-1000;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перисто-слоистые, покрывающие все небо.;;-23.0;0.6;12;;;;
04.12.2017 8:00;-18.9;733.9;769.5;;75;;;;;;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;-21.2;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;50%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;Перисто-слоистые, покрывающие все небо.;;-22.2;0.6;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;28.0
