"Местное время в Хадаме";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"20.12.2020 20:00";"-7.8";"698.8";"764.6";"";"68";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"-6.1";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-слоистые, покрывающие все небо.";"";"-12.8";"Осадков нет";"12";"";"";"";"";
"20.12.2020 08:00";"-11.0";"701.8";"768.7";"";"80";"Ветер, дующий с северо-северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"-11.0";"";"";"";"";"";"";"";"-13.8";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"3.0";
"19.12.2020 20:00";"-1.9";"703.0";"767.7";"";"39";"Ветер, дующий с юго-юго-востока";"2";"";"";"100%.";" ";"";"";"";"-1.7";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"";"-14.1";"Осадков нет";"12";"";"";"";"";
"19.12.2020 08:00";"-19.8";"705.4";"775.0";"";"90";"Ветер, дующий с юга";"1";"";"";"Облаков нет.";" ";"";"";"-19.9";"";"";"";"";"";"";"";"-21.0";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"3.0";
"18.12.2020 20:00";"-13.0";"706.7";"774.6";"";"80";"Ветер, дующий с юга";"1";"";"";"40%.";" ";"";"";"";"-8.6";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"";"-15.7";"Осадков нет";"12";"";"";"";"";
"18.12.2020 08:00";"-17.8";"705.1";"774.1";"";"85";"Ветер, дующий с юга";"1";"";"";"100%.";" ";"";"";"-22.1";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"60%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-слоистые, покрывающие все небо.";"";"-19.7";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"3.0";
"17.12.2020 20:00";"-22.1";"709.0";"779.8";"";"85";"Ветер, дующий с востока";"2";"";"";"70 – 80%.";" ";"";"";"";"-21.0";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"";"-24.0";"Осадков нет";"12";"";"";"";"";
"17.12.2020 08:00";"-28.3";"713.2";"786.3";"";"90";"Ветер, дующий с востока";"2";"";"";"Облаков нет.";" ";"";"";"-28.4";"";"";"";"";"";"";"";"-29.4";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"3.0";
"16.12.2020 20:00";"-12.4";"711.4";"779.5";"";"85";"Ветер, дующий с юго-юго-востока";"1";"";"";"60%.";" ";"";"";"";"-4.9";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"";"-14.4";"Следы осадков";"12";"";"";"";"";
"16.12.2020 08:00";"-7.6";"702.4";"768.4";"";"73";"Ветер, дующий с севера";"2";"";"";"100%.";" ";"";"";"-8.0";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"";"-11.6";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"3.0";
"15.12.2020 20:00";"-6.7";"700.6";"766.3";"";"46";"Ветер, дующий с юго-юго-запада";"2";"";"";"100%.";" ";"";"";"";"-6.2";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"40%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-слоистые, покрывающие все небо.";"";"-16.4";"Осадков нет";"12";"";"";"";"";
"15.12.2020 08:00";"-17.0";"703.4";"772.1";"";"85";"Ветер, дующий с юга";"2";"";"";"100%.";" ";"";"";"-19.0";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-слоистые, покрывающие все небо.";"";"-18.9";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"3.0";
"14.12.2020 20:00";"-17.8";"705.1";"774.1";"";"90";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"-14.6";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-слоистые, покрывающие все небо.";"";"-19.0";"Осадков нет";"12";"";"";"";"";
"14.12.2020 08:00";"-22.6";"704.8";"775.2";"";"85";"Ветер, дующий с юго-юго-востока";"1";"";"";"100%.";" ";"";"";"-23.5";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перисто-слоистые, покрывающие все небо.";"";"-24.4";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"3.0";
"13.12.2020 20:00";"-21.6";"707.0";"776.6";"";"90";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"-19.5";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-слоистые, покрывающие все небо.";"";"-22.8";"Следы осадков";"12";"";"";"";"";
"13.12.2020 08:00";"-27.3";"710.2";"782.5";"";"84";"Ветер, дующий с юга";"1";"";"";"100%.";" ";"";"";"-28.0";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-слоистые, покрывающие все небо.";"";"-29.2";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"3.0";
"12.12.2020 20:00";"-19.6";"709.2";"779.2";"";"85";"Ветер, дующий с юго-юго-запада";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"-14.7";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перисто-слоистые, покрывающие все небо.";"";"-21.5";"0.2";"12";"";"";"";"";
"12.12.2020 08:00";"-21.6";"707.8";"778.3";"";"95";"Ветер, дующий с юга";"1";"";"";"100%.";" ";"";"";"-22.4";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перисто-слоистые, покрывающие все небо.";"";"-22.2";"Следы осадков";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"3.0";
"11.12.2020 20:00";"-17.7";"703.0";"771.9";"";"90";"Ветер, дующий с юго-юго-востока";"1";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"-17.0";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перисто-слоистые, покрывающие все небо.";"";"-18.9";"Следы осадков";"12";"";"";"";"";
"11.12.2020 08:00";"-24.4";"700.6";"771.1";"";"85";"Ветер, дующий с юга";"1";"";"";"100%.";" ";"";"";"-25.0";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"50%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перисто-слоистые, покрывающие все небо.";"";"-26.2";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"3.0";
"10.12.2020 20:00";"-21.6";"702.7";"772.7";"";"85";"Ветер, дующий с юго-юго-востока";"1";"";"";"100%.";" ";"";"";"";"-20.9";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"50%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перисто-слоистые, покрывающие все небо.";"";"-23.4";"Осадков нет";"12";"";"";"";"";
"10.12.2020 08:00";"-28.4";"703.6";"775.6";"";"85";"Ветер, дующий с востока";"1";"";"";"Облаков нет.";" ";"";"";"-28.7";"";"";"";"";"";"";"";"-30.2";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"3.0";
"09.12.2020 20:00";"-18.3";"700.3";"769.1";"";"85";"Ветер, дующий с юго-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"-10.1";"";"";"";"";"";"";"-20.2";"Следы осадков";"12";"";"";"";"";
"09.12.2020 08:00";"-11.3";"693.0";"759.1";"";"70";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"-11.7";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"60%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-слоистые, покрывающие все небо.";"";"-15.7";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"3.0";
"08.12.2020 20:00";"-6.7";"697.2";"762.6";"";"36";"Ветер, дующий с юга";"4";"";"10";"100%.";" ";"";"";"";"-4.6";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"";"-19.4";"Осадков нет";"12";"";"";"";"";
"08.12.2020 08:00";"-14.0";"698.1";"765.4";"";"85";"Ветер, дующий с востока";"1";"";"";"100%.";" ";"";"";"-17.0";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"";"-16.0";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"3.0";
"07.12.2020 20:00";"-15.2";"703.6";"771.7";"";"90";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"";"-16.5";"Осадков нет";"12";"";"";"";"";
"07.12.2020 08:00";"-16.8";"708.3";"777.4";"";"90";"Ветер, дующий с юга";"1";"";"";"100%.";" ";"";"";"-21.1";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"50%.";"1000-1500";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"";"-18.1";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"4.0";
"06.12.2020 20:00";"-19.3";"710.3";"780.4";"";"90";"Ветер, дующий с юга";"1";"";"";"70 – 80%.";" ";"";"";"";"-15.1";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"";"-20.5";"Осадков нет";"12";"";"";"";"";
"06.12.2020 08:00";"-24.6";"711.5";"783.2";"";"89";"Ветер, дующий с юга";"1";"";"";"100%.";" ";"";"";"-25.9";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перисто-слоистые, покрывающие все небо.";"";"-25.9";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"4.0";
"05.12.2020 20:00";"-19.2";"712.6";"782.8";"";"90";"Ветер, дующий с юга";"1";"";"";"60%.";" ";"";"";"";"-14.3";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"";"-20.4";"0.2";"12";"";"";"";"";
"05.12.2020 08:00";"-24.9";"709.7";"781.3";"";"84";"Ветер, дующий с юго-юго-востока";"1";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-26.3";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перисто-слоистые, покрывающие все небо.";"";"-26.8";"Следы осадков";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"4.0";
"04.12.2020 20:00";"-22.6";"706.0";"776.5";"";"90";"Ветер, дующий с юга";"1";"";"";"Облаков нет.";" ";"";"";"";"-15.2";"";"";"";"";"";"";"-23.8";"Осадков нет";"12";"";"";"";"";
"04.12.2020 08:00";"-28.6";"709.0";"781.6";"";"84";"Ветер, дующий с востока";"2";"";"";"Облаков нет.";" ";"";"";"-28.8";"";"";"";"";"";"";"";"-30.4";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"4.0";
"03.12.2020 20:00";"-21.6";"720.4";"783.9";"";"85";"Ветер, дующий с юго-юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"-15.7";"";"";"";"";"";"";"-23.4";"Осадков нет";"12";"";"";"";"";
"03.12.2020 08:00";"-27.3";"717.2";"790.3";"";"84";"Ветер, дующий с юго-юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"-27.6";"";"";"";"";"";"";"";"-29.2";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"4.0";
"02.12.2020 20:00";"-17.3";"716.9";"787.0";"";"90";"Ветер, дующий с юга";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-18.5";"Осадков нет";"12";"";"";"";"";
"02.12.2020 08:00";"-15.0";"716.8";"786.3";"";"96";"Штиль, безветрие";"0";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"50%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перисто-слоистые, покрывающие все небо.";"";"-15.5";"0.6";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"5.0";
"01.12.2020 20:00";"-11.8";"715.0";"783.4";"";"95";"Ветер, дующий с юго-юго-востока";"1";"";"";"100%.";"Снег непрерывный умеренный в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"-11.5";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"";"-12.4";"0.2";"12";"";"";"";"";
"01.12.2020 08:00";"-21.1";"715.6";"786.7";"";"85";"Ветер, дующий с юга";"1";"";"";"100%.";" ";"";"";"-23.0";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перисто-слоистые, покрывающие все небо.";"";"-23.0";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"2.0";
"30.11.2020 20:00";"-19.0";"717.2";"787.8";"";"85";"Ветер, дующий с юго-юго-востока";"1";"";"";"60%.";" ";"";"";"";"-14.1";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"";"-20.9";"Осадков нет";"12";"";"";"";"";
"30.11.2020 08:00";"-22.6";"717.2";"788.8";"";"85";"Ветер, дующий с юга";"2";"";"";"100%.";" ";"";"";"-24.1";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"50%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"";"-24.4";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"2.0";
"29.11.2020 20:00";"-19.8";"715.0";"785.5";"";"90";"Ветер, дующий с юга";"1";"";"";"Облаков нет.";" ";"";"";"";"-13.0";"";"";"";"";"";"";"-21.0";"Осадков нет";"12";"";"";"";"";
"29.11.2020 08:00";"-25.9";"716.4";"789.0";"";"84";"Ветер, дующий с юга";"1";"";"";"Облаков нет.";" ";"";"";"-26.3";"";"";"";"";"";"";"";"-27.8";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"2.0";
"28.11.2020 20:00";"-19.6";"715.0";"785.5";"";"90";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"-14.1";"";"";"";"";"";"";"-20.8";"Осадков нет";"12";"";"";"";"";
"28.11.2020 08:00";"-26.3";"716.2";"788.8";"";"85";"Ветер, дующий с востоко-юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"-27.0";"";"";"";"";"";"";"";"-28.1";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"2.0";
"27.11.2020 20:00";"-19.4";"716.1";"786.7";"";"85";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"-25.6";"-13.4";"";"";"";"";"";"";"-21.3";"Осадков нет";"12";"";"";"";"";
