"Местное время в Заярске";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"20.12.2017 20:00";"-9.3";"724.0";"";"";"85";"Ветер, дующий с запада";"4";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"-7.7";"";"";"";"";"";"";"";"0.2";"12";"";"";"";"";
"20.12.2017 14:00";"-8.6";"725.0";"";"";"86";"Ветер, дующий с запада";"4";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"20.0";"";"";"";"";"";"";"";
"20.12.2017 08:00";"-8.1";"725.0";"";"";"63";"Ветер, дующий с запада";"4";"";"";"100%.";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"";"";"-8.5";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"20.12.2017 02:00";"-7.3";"726.0";"";"";"57";"Ветер, дующий с запада";"5";"";"";"100%.";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"19.12.2017 20:00";"-5.9";"727.0";"";"";"61";"Ветер, дующий с запада";"6";"";"";"100%.";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"";"";"";"-5.7";"";"";"";"";"";"";"";"0.2";"12";"";"";"";"";
"19.12.2017 14:00";"-6.6";"728.0";"";"";"70";"Ветер, дующий с запада";"4";"";"";"100%.";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"19.12.2017 08:00";"-7.2";"729.0";"";"";"98";"Ветер, дующий с запада";"4";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"-10.3";"";"";"";"";"";"";"";"";"2.0";"12";"";"";"";"";
"19.12.2017 02:00";"-8.1";"730.0";"";"";"98";"Ветер, дующий с запада";"2";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"18.12.2017 20:00";"-10.3";"731.0";"";"";"95";"Ветер, дующий с запада";"2";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"";"-10.0";"";"";"";"";"";"";"";"5.0";"12";"";"";"";"";
"18.12.2017 14:00";"-12.1";"731.0";"";"";"95";"Ветер, дующий с запада";"1";"";"";"100%.";"Ливневый снег умеренный или сильный в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"2.0";"";"";"";"";"";"";"";
"18.12.2017 08:00";"-16.5";"733.0";"";"";"90";"Ветер, дующий с юга";"2";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"";"";"-22.9";"";"";"";"";"";"";"";"";"0.4";"12";"";"";"";"";
"18.12.2017 02:00";"-22.3";"737.0";"";"";"84";"Штиль, безветрие";"0";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"17.12.2017 20:00";"-17.3";"737.0";"";"";"90";"Ветер, дующий с запада";"1";"";"";"Облаков нет.";" ";"";"";"";"-14.2";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"17.12.2017 14:00";"-14.6";"736.0";"";"";"85";"Ветер, дующий с запада";"2";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"17.12.2017 08:00";"-16.7";"734.0";"";"";"90";"Ветер, дующий с запада";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"-16.7";"";"";"";"";"";"";"";"";"1.0";"12";"";"";"";"";
"17.12.2017 02:00";"-13.0";"731.0";"";"";"90";"Ветер, дующий с северо-запада";"3";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"16.12.2017 20:00";"-11.9";"730.0";"";"";"95";"Штиль, безветрие";"0";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"-10.5";"";"";"";"";"";"";"";"1.0";"12";"";"";"";"";
"16.12.2017 14:00";"-11.6";"731.0";"";"";"90";"Ветер, дующий с северо-запада";"1";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"16.12.2017 08:00";"-11.4";"732.0";"";"";"90";"Ветер, дующий с запада";"4";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"";"";"-12.3";"";"";"";"";"";"";"";"";"3.0";"12";"";"";"";"";
"16.12.2017 02:00";"-11.1";"733.0";"";"";"90";"Ветер, дующий с запада";"3";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"15.12.2017 20:00";"-12.3";"736.0";"";"";"85";"Ветер, дующий с запада";"4";"";"";"100%.";" ";"";"";"";"-11.9";"";"";"";"";"";"";"";"1.0";"12";"";"";"";"";
"15.12.2017 14:00";"-13.3";"736.0";"";"";"90";"Ветер, дующий с запада";"2";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"15.12.2017 08:00";"-18.5";"737.0";"";"";"85";"Ветер, дующий с юга";"2";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"";"";"-22.0";"";"";"";"";"";"";"";"";"1.0";"12";"";"";"";"";
"15.12.2017 02:00";"-20.9";"738.0";"";"";"85";"Ветер, дующий с северо-запада";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"14.12.2017 20:00";"-19.5";"737.0";"";"";"85";"Ветер, дующий с северо-запада";"1";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"-14.5";"";"";"";"";"";"";"";"0.6";"12";"";"";"";"";
"14.12.2017 14:00";"-16.2";"734.0";"";"";"80";"Ветер, дующий с запада";"3";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"14.12.2017 08:00";"-15.1";"733.0";"";"";"90";"Ветер, дующий с юго-востока";"2";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"";"";"-18.9";"";"";"";"";"";"";"";"";"0.9";"12";"";"";"";"";
"14.12.2017 02:00";"-17.3";"733.0";"";"";"90";"Ветер, дующий с запада";"2";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"13.12.2017 20:00";"-15.4";"732.0";"";"";"90";"Ветер, дующий с запада";"2";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"-15.0";"";"";"";"";"";"";"";"1.0";"12";"";"";"";"";
"13.12.2017 14:00";"-16.4";"731.0";"";"";"85";"Ветер, дующий с юга";"1";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"20.0";"";"";"";"";"";"";"";
"13.12.2017 08:00";"-19.6";"730.0";"";"";"85";"Ветер, дующий с юга";"1";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"";"";"-22.1";"";"";"";"";"";"";"";"";"0.3";"12";"";"";"";"";
"13.12.2017 02:00";"-18.2";"729.0";"";"";"85";"Штиль, безветрие";"0";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"12.12.2017 20:00";"-22.1";"729.0";"";"";"84";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"-20.5";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"12.12.2017 14:00";"-21.2";"730.0";"";"";"80";"Ветер, дующий с востока";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"12.12.2017 08:00";"-28.3";"731.0";"";"";"85";"Ветер, дующий с востока";"1";"";"";"100%.";" ";"";"";"-28.7";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"12.12.2017 02:00";"-28.3";"733.0";"";"";"85";"Ветер, дующий с востока";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"11.12.2017 20:00";"-27.6";"734.0";"";"";"80";"Ветер, дующий с востока";"1";"";"";"100%.";" ";"";"";"";"-21.8";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"11.12.2017 14:00";"-23.0";"734.0";"";"";"65";"Ветер, дующий с востока";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"11.12.2017 08:00";"-31.2";"736.0";"";"";"79";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"-31.5";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"11.12.2017 02:00";"-29.2";"737.0";"";"";"80";"Ветер, дующий с северо-востока";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"10.12.2017 20:00";"-27.7";"738.0";"";"";"80";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"-22.0";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"10.12.2017 14:00";"-24.3";"737.0";"";"";"75";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"10.12.2017 08:00";"-30.4";"737.0";"";"";"79";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"-30.5";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"10.12.2017 02:00";"-28.9";"737.0";"";"";"79";"Ветер, дующий с востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"09.12.2017 20:00";"-24.4";"737.0";"";"";"80";"Ветер, дующий с северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"-15.7";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"09.12.2017 14:00";"-19.5";"736.0";"";"";"75";"Ветер, дующий с севера";"1";"";"";"40%.";" ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"09.12.2017 08:00";"-15.7";"733.0";"";"";"75";"Ветер, дующий с севера";"2";"";"";"70 – 80%.";" ";"";"";"-15.7";"";"";"";"";"";"";"";"";"Следы осадков";"12";"";"";"";"";
"09.12.2017 02:00";"-7.7";"729.0";"";"";"90";"Ветер, дующий с северо-запада";"2";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"08.12.2017 20:00";"-6.8";"728.0";"";"";"93";"Ветер, дующий с запада";"2";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"";"-5.4";"";"";"";"";"";"";"";"0.9";"12";"";"";"";"";
"08.12.2017 14:00";"-5.9";"728.0";"";"";"89";"Ветер, дующий с запада";"4";"";"";"100%.";"Ливневый снег умеренный или сильный в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"2.0";"";"";"";"";"";"";"";
"08.12.2017 08:00";"-5.7";"728.0";"";"";"87";"Ветер, дующий с запада";"3";"";"";"100%.";"Ливневый снег или ливневый дождь и снег. ";"";"";"-5.7";"";"";"";"";"";"";"";"";"0.4";"12";"";"";"";"";
"08.12.2017 02:00";"-5.3";"729.0";"";"";"87";"Ветер, дующий с запада";"7";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"07.12.2017 20:00";"-5.2";"729.0";"";"";"95";"Ветер, дующий с запада";"5";"";"";"100%.";"Ливневый снег умеренный или сильный в срок наблюдения или за последний час. ";"";"";"";"-4.5";"";"";"";"";"";"";"";"2.0";"12";"";"";"";"";
"07.12.2017 14:00";"-5.3";"728.0";"";"";"87";"Ветер, дующий с запада";"6";"";"";"100%.";"Ливневый снег умеренный или сильный в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"2.0";"";"";"";"";"";"";"";
"07.12.2017 08:00";"-6.6";"727.0";"";"";"91";"Ветер, дующий с запада";"7";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"-8.3";"";"";"";"";"";"";"";"";"0.7";"12";"";"";"";"";
"07.12.2017 02:00";"-8.3";"730.0";"";"";"86";"Ветер, дующий с запада";"3";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"06.12.2017 20:00";"-6.4";"732.0";"";"";"88";"Ветер, дующий с запада";"4";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"-5.6";"";"";"";"";"";"";"";"0.2";"12";"";"";"";"";
"06.12.2017 14:00";"-7.5";"731.0";"";"";"88";"Ветер, дующий с запада";"3";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"06.12.2017 08:00";"-9.5";"729.0";"";"";"85";"Ветер, дующий с запада";"3";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"-9.8";"";"";"";"";"";"";"";"";"0.6";"12";"";"";"";"";
"06.12.2017 02:00";"-9.5";"727.0";"";"";"85";"Ветер, дующий с запада";"2";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"05.12.2017 20:00";"-9.3";"725.0";"";"";"85";"Ветер, дующий с северо-запада";"3";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"";"-7.0";"";"";"";"";"";"";"";"0.2";"12";"";"";"";"";
"05.12.2017 14:00";"-8.5";"724.0";"";"";"83";"Ветер, дующий с запада";"4";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"05.12.2017 08:00";"-8.3";"723.0";"";"";"83";"Ветер, дующий с северо-запада";"3";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"-8.4";"";"";"";"";"";"";"";"";"0.2";"12";"";"";"";"";
"05.12.2017 02:00";"-8.0";"724.0";"";"";"83";"Ветер, дующий с запада";"3";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"04.12.2017 20:00";"-8.4";"724.0";"";"";"83";"Ветер, дующий с запада";"4";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"";"-6.6";"";"";"";"";"";"";"";"3.0";"12";"";"";"";"";
"04.12.2017 14:00";"-7.1";"724.0";"";"";"93";"Ветер, дующий с запада";"6";"";"";"100%.";"Ливневый снег умеренный или сильный в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"1.0";"";"";"";"";"";"";"";
"04.12.2017 08:00";"-12.4";"727.0";"";"";"90";"Ветер, дующий с юго-запада";"3";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"";"";"3.0";"12";"";"";"";"";
"04.12.2017 02:00";"-12.5";"730.0";"";"";"90";"Ветер, дующий с северо-запада";"1";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"03.12.2017 20:00";"-12.4";"731.0";"";"";"90";"Ветер, дующий с запада";"1";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"";"";"";"-12.0";"";"";"";"";"";"";"";"2.0";"12";"";"";"";"";
"03.12.2017 14:00";"-14.0";"732.0";"";"";"85";"Ветер, дующий с юга";"1";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"03.12.2017 08:00";"-16.1";"733.0";"";"";"85";"Ветер, дующий с северо-запада";"1";"";"";"100%.";"Клочья приземного или ледяного тумана на станции, на море или на суше, высотой не более 2 м над сушей или не более 10 м над морем. ";"";"";"-16.1";"";"";"";"";"";"";"";"";"0.2";"12";"";"";"";"";
"03.12.2017 02:00";"-14.4";"733.0";"";"";"85";"Ветер, дующий с северо-запада";"3";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"02.12.2017 20:00";"-14.4";"733.0";"";"";"90";"Ветер, дующий с запада";"3";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"-13.8";"";"";"";"";"";"";"";"2.0";"12";"";"";"";"";
"02.12.2017 14:00";"-18.3";"733.0";"";"";"85";"Ветер, дующий с запада";"4";"";"";"100%.";"Снег непрерывный умеренный в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"2.0";"";"";"";"";"";"";"";
"02.12.2017 08:00";"-28.4";"733.0";"";"";"84";"Ветер, дующий с севера";"1";"";"";"40%.";"Клочья приземного или ледяного тумана на станции, на море или на суше, высотой не более 2 м над сушей или не более 10 м над морем. ";"";"";"-28.5";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"02.12.2017 02:00";"-25.2";"732.0";"";"";"84";"Ветер, дующий с севера";"1";"";"";"Облаков нет.";"Клочья приземного или ледяного тумана на станции, на море или на суше, высотой не более 2 м над сушей или не более 10 м над морем. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"01.12.2017 20:00";"-19.9";"731.0";"";"";"80";"Ветер, дующий с севера";"2";"";"";"20–30%.";" ";"";"";"";"-13.7";"";"";"";"";"";"";"";"1.0";"12";"";"";"";"";
