Местное время в Усть-Уде;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
29.12.2020 17:00;-35.4;751.9;799.4;;61;Ветер, дующий с юго-запада;1;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-40.2;;;;;;
29.12.2020 14:00;-34.6;752.8;800.2;;75;Штиль, безветрие;0;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;90  или более, но не 100%;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-37.4;;;;;;
29.12.2020 11:00;-38.0;754.0;802.3;;74;Ветер, дующий с севера;1;;;90  или более, но не 100%; ;;;-40.6;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;90  или более, но не 100%;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-40.9;;;;;;
29.12.2020 8:00;-40.5;754.4;803.2;;74;Ветер, дующий с севера;1;;;Облаков нет.; ;;;-40.6;;;;;;;;-43.3;Осадков нет;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;16.0
29.12.2020 2:00;-38.8;754.3;802.6;;73;Ветер, дующий с северо-северо-востока;2;;;Облаков нет.; ;;;;;;;;;;;-41.8;;;;;;
28.12.2020 20:00;-36.1;753.1;800.9;;63;Ветер, дующий с востоко-северо-востока;1;;;20–30%.; ;;;;-30.9;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-40.5;Следы осадков;12;;;;
28.12.2020 17:00;-33.7;752.4;799.6;;75;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;50.0;-36.6;;;;;;
28.12.2020 14:00;-31.2;751.6;798.3;;64;Штиль, безветрие;0;;;100%.;Состояние неба в общем не изменилось. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-35.8;;;;;;
28.12.2020 11:00;-33.8;751.3;798.5;;60;Штиль, безветрие;0;;;100%.;Состояние неба в общем не изменилось. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;-34.3;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;50.0;-38.8;;;;;;
28.12.2020 8:00;-33.9;750.3;797.4;;63;Штиль, безветрие;0;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;-34.3;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-38.4;0.2;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;16.0
28.12.2020 5:00;-34.2;749.5;796.6;;75;Ветер, дующий с северо-северо-востока;1;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;;-37.1;;;;;;
28.12.2020 2:00;-33.3;748.4;795.3;;69;Ветер, дующий с северо-северо-запада;3;;;100%.;Снег неливневый. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;;-37.0;;;;;;
27.12.2020 23:00;-33.5;747.4;794.3;;62;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;;-38.3;;;;;;
27.12.2020 20:00;-31.9;746.0;792.5;;57;Ветер, дующий с северо-северо-востока;2;;;100%.;Состояние неба в общем не изменилось. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;-30.1;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;Перисто-слоистые, не распространяющиеся по небу и не покрывающие его полностью.;;-37.6;Следы осадков;12;;;;
27.12.2020 17:00;-32.1;743.9;790.3;;54;Ветер, дующий с северо-северо-запада;3;;;100%.;Состояние неба в общем не изменилось. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высокослоистые просвечивающие.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;50.0;-38.2;;;;;;
27.12.2020 14:00;-30.2;742.0;787.9;;56;Ветер, дующий с северо-запада;3;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;1500-2000;Высокослоистые непросвечивающие или слоисто-дождевые.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;10.0;-36.2;;;;;;
27.12.2020 11:00;-31.3;740.6;786.7;;61;Ветер, дующий с северо-северо-запада;4;;;100%.; ;;;-32.3;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;20.0;-36.4;;;;;;
27.12.2020 8:00;-31.7;738.7;784.6;;57;Ветер, дующий с северо-северо-запада;4;;;Облаков нет.; ;;;-31.7;;;;;;;;-37.4;Осадков нет;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;16.0
27.12.2020 5:00;-28.7;737.5;782.8;;56;Ветер, дующий с северо-северо-запада;3;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-34.7;;;;;;
27.12.2020 2:00;-27.5;736.3;781.3;;61;Ветер, дующий с севера;2;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-32.7;;;;;;
26.12.2020 23:00;-29.2;734.7;780.0;;71;Ветер, дующий с севера;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-32.8;;;;;;
26.12.2020 20:00;-28.3;733.6;778.6;;70;Ветер, дующий с юго-юго-запада;2;;;100%.; ;;;;-19.8;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;;-32.0;Осадков нет;12;;;;
26.12.2020 17:00;-26.6;732.1;776.8;;63;Ветер, дующий с западо-юго-запада;3;;;10%  или менее, но не 0; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-31.5;;;;;;
26.12.2020 14:00;-20.8;731.2;774.7;;45;Ветер, дующий с западо-северо-запада;1;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-29.6;;;;;;
26.12.2020 11:00;-22.7;730.0;773.8;;59;Ветер, дующий с западо-юго-запада;1;;;20–30%.; ;;;-23.8;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-28.6;;;;;;
26.12.2020 8:00;-19.9;727.6;770.8;;61;Ветер, дующий с севера;2;;12;20–30%.;Состояние неба в общем не изменилось. ;Метель;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;-21.0;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-25.6;Следы осадков;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;16.0
26.12.2020 5:00;-14.7;724.9;767.0;;59;Ветер, дующий с северо-северо-запада;9;13;15;100%.;Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ;Метель;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;;-21.0;;;;;;
26.12.2020 2:00;-14.3;721.9;763.8;;78;Ветер, дующий с севера;3;;;100%.;Ливневый снег или ливневый дождь и снег. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;50%.;600-1000;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-17.3;;;;;;
25.12.2020 23:00;-20.0;718.9;761.5;;81;Ветер, дующий с юго-юго-востока;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;;-22.5;;;;;;
25.12.2020 20:00;-19.0;717.9;760.3;;80;Ветер, дующий с севера;2;;;100%.; ;;;;-18.3;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;1500-2000;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-21.6;Осадков нет;12;;;;
25.12.2020 17:00;-20.9;718.6;761.3;;79;Ветер, дующий с северо-северо-востока;1;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;1500-2000;Высокослоистые непросвечивающие или слоисто-дождевые.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-23.6;;;;;;
25.12.2020 14:00;-22.3;720.2;763.3;;77;Ветер, дующий с севера;1;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;1500-2000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;20.0;-25.3;;;;;;
25.12.2020 11:00;-23.6;722.2;765.6;;77;Ветер, дующий с юго-юго-запада;1;;;100%.; ;;;-25.7;;Слоисто-кучевые, образовавшиеся не из кучевых.;10%  или менее, но не 0;1500-2000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;20.0;-26.5;;;;;;
25.12.2020 8:00;-23.8;722.5;766.0;;76;Штиль, безветрие;0;;;70 – 80%.;Состояние неба в общем не изменилось. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;-24.2;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-26.8;0.4;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;20.0
25.12.2020 5:00;-21.6;722.8;765.9;;78;Ветер, дующий с севера;1;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-24.4;;;;;;
25.12.2020 2:00;-21.4;723.0;766.1;;78;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-24.2;;;;;;
24.12.2020 23:00;-22.1;723.0;766.2;;78;Ветер, дующий с юго-юго-запада;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;;-24.9;;;;;;
24.12.2020 20:00;-21.1;722.8;765.8;;78;Ветер, дующий с юга;2;;;100%.;Состояние неба в общем не изменилось. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;-21.1;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-23.9;0.4;12;;;;
24.12.2020 17:00;-21.9;722.4;765.5;;77;Ветер, дующий с юго-юго-востока;1;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;4.0;-24.8;;;;;;
24.12.2020 14:00;-22.9;722.0;765.4;;77;Штиль, безветрие;0;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;Перисто-слоистые, не распространяющиеся по небу и не покрывающие его полностью.;10.0;-25.9;;;;;;
24.12.2020 11:00;-24.4;722.8;766.5;;76;Ветер, дующий с северо-северо-востока;2;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;-28.0;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;10.0;-27.4;;;;;;
24.12.2020 8:00;-25.5;723.7;767.6;;75;Ветер, дующий с юго-юго-запада;1;;;20–30%.; ;;;-25.5;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-28.6;Осадков нет;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;20.0
24.12.2020 5:00;-22.9;725.2;768.7;;78;Ветер, дующий с северо-северо-востока;2;;;Облаков нет.; ;;;;;;;;;;;-25.7;;;;;;
24.12.2020 2:00;-20.3;726.7;769.8;;81;Ветер, дующий с востоко-северо-востока;2;;;10%  или менее, но не 0; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-22.7;;;;;;
23.12.2020 23:00;-17.8;727.3;770.0;;80;Ветер, дующий с востоко-северо-востока;1;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-20.4;;;;;;
23.12.2020 20:00;-15.3;726.8;769.0;;83;Ветер, дующий с востока;1;;;100%.;Ливневый снег или ливневый дождь и снег. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;-14.7;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;;-17.5;Следы осадков;12;;;;
23.12.2020 17:00;-14.7;725.5;767.5;;83;Ветер, дующий с северо-северо-востока;3;;;100%.;Осадки в поле зрения, достигающие поверхности земли или моря поблизости, но не на самой станции. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;4.0;-17.0;;;;;;
23.12.2020 14:00;-17.7;724.1;766.6;;81;Ветер, дующий с северо-северо-востока;1;;;100%.;Дымка. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высокослоистые просвечивающие.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;4.0;-20.2;;;;;;
23.12.2020 11:00;-18.8;724.9;767.6;;79;Штиль, безветрие;0;;;100%.;Дымка. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;-20.4;;Слоисто-кучевые, образовавшиеся не из кучевых.;50%.;1500-2000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;4.0;-21.5;;;;;;
23.12.2020 8:00;-19.3;725.2;768.1;;80;Ветер, дующий с юга;1;;;100%.; ;;;-20.2;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-21.9;0.7;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;20.0
23.12.2020 5:00;-19.3;725.8;768.7;;80;Ветер, дующий с юго-юго-запада;1;;;40%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-21.9;;;;;;
