Местное время в Солнечной;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
01.02.2017 8:00;-16.9;729.0;;;85;Ветер, дующий с северо-запада;1;;;100%.; ;;;-19.1;;;;;;;;;;;;;;
01.02.2017 20:00;-18.9;728.0;;;95;Ветер, дующий с севера;2;;;Облаков нет.; ;;;;;;;;;;;;;;;;;
02.02.2017 8:00;-20.5;727.0;;;90;;0;;;Облаков нет.; ;;;-23.0;;;;;;;50.0;;;;;;;
02.02.2017 20:00;-20.1;726.0;;;95;;0;;;70 – 80%.; ;;;;;;;;;;;;;;;;;
03.02.2017 8:00;-16.9;725.0;;;95;Ветер, дующий с северо-запада;1;;;100%.; ;;;-20.6;;;;;;;10.0;;;;;;;
03.02.2017 20:00;-18.7;726.0;;;95;Ветер, дующий с северо-запада;1;;;70 – 80%.; ;;;;-13.2;;;;;;;;Следы осадков;;;;;
04.02.2017 8:00;-20.5;727.0;;;95;Ветер, дующий с северо-запада;1;;;40%.; ;;;-20.5;;;;;;;;;;;;;;
04.02.2017 20:00;-19.1;729.0;;;95;Ветер, дующий с севера;1;;;40%.; ;;;;;;;;;;;;Следы осадков;;;;;
05.02.2017 8:00;-21.3;731.0;;;92;;0;;;Облаков нет.; ;;;-21.7;;;;;;;50.0;;;;;;;
05.02.2017 20:00;-18.7;731.0;;;95;Ветер, дующий с севера;2;;;100%.; ;;;;-14.7;;;;;;;;;;;;;
06.02.2017 8:00;-14.2;733.0;;;95;Ветер, дующий с юга;2;;;100%.; ;;;-17.6;;;;;;;;;;;;;;
06.02.2017 20:00;-14.2;738.0;;;100;Ветер, дующий с северо-востока;2;;;100%.; ;;;;-12.4;;;;;;;;0.4;;;;;
07.02.2017 8:00;-19.1;740.0;;;95;Ветер, дующий с северо-запада;1;;;40%.; ;;;-19.7;;;;;;;;;;;;;;
07.02.2017 20:00;-21.9;741.0;;;95;Ветер, дующий с юго-запада;1;;;Облаков нет.; ;;;;-15.2;;;;;;;;;;;;;
08.02.2017 8:00;-23.8;740.0;;;95;Ветер, дующий с севера;1;;;Облаков нет.; ;;;-25.0;;;;;;;50.0;;;;;;;
08.02.2017 20:00;-24.1;738.0;;;94;Ветер, дующий с севера;1;;;Облаков нет.; ;;;;;;;;;;;;;;;;;
09.02.2017 8:00;;736.0;;;;Ветер, дующий с северо-запада;3;;;20–30%.; ;;;-26.7;;;;;;;50.0;;;;;;;
09.02.2017 20:00;-20.9;735.0;;;95;Ветер, дующий с севера;1;;;70 – 80%.; ;;;;-14.0;;;;;;50.0;;;;;;;
10.02.2017 8:00;-20.7;733.0;;;80;Ветер, дующий с севера;2;;;20–30%.; ;;;-21.3;;;;;;;50.0;;;;;;;
10.02.2017 20:00;-20.1;729.0;;;95;Ветер, дующий с севера;1;;;60%.; ;;;;;;;;;;;;;;;;;
11.02.2017 8:00;-19.5;727.0;;;70;Ветер, дующий с севера;2;;;10%  или менее, но не 0; ;;;-19.8;;;;;;;50.0;;;;;;;
11.02.2017 20:00;-19.0;728.0;;;75;;0;;;Облаков нет.; ;;;;;;;;;;;;;;;;;
12.02.2017 8:00;-22.1;731.0;;;89;Ветер, дующий с севера;1;;;Облаков нет.; ;;;-23.0;;;;;;;50.0;;;;;;;
12.02.2017 20:00;-17.9;732.0;;;85;Ветер, дующий с юго-востока;1;;;70 – 80%.; ;;;;-14.2;;;;;;;;;;;;;
13.02.2017 8:00;-17.9;731.0;;;85;Ветер, дующий с юга;1;;;60%.; ;;;-17.9;;;;;;;50.0;;;;;;;
13.02.2017 20:00;-15.2;731.0;;;95;Ветер, дующий с северо-запада;1;;;100%.; ;;;;-11.2;;;;;;;;;;;;;
14.02.2017 8:00;-21.1;730.0;;;95;Ветер, дующий с севера;1;;;100%.; ;;;-21.1;;;;;;;20.0;;;;;;;
14.02.2017 20:00;-17.7;729.0;;;100;Ветер, дующий с северо-востока;2;;;60%.; ;;;;-11.2;;;;;;;;;;;;;
15.02.2017 8:00;-12.8;727.0;;;55;Ветер, дующий с запада;5;;;60%.; ;;;-17.3;;;;;;;50.0;;;;;;;
15.02.2017 20:00;-12.8;730.0;;;45;Ветер, дующий с запада;3;;;60%.; ;;;;-10.7;;;;;;;;;;;;;
16.02.2017 8:00;-15.9;731.0;;;45;Ветер, дующий с северо-запада;7;;;70 – 80%.; ;;;-15.9;;;;;;;50.0;;;;;;;
16.02.2017 20:00;-18.9;732.0;;;61;Ветер, дующий с севера;4;;;60%.; ;;;;-11.2;;;;;;;;;;;;;
17.02.2017 8:00;-24.2;729.0;;;90;Ветер, дующий с севера;3;;;100%.; ;;;-24.2;;;;;;;50.0;;;;;;;
17.02.2017 20:00;-22.6;727.0;;;90;Ветер, дующий с северо-запада;1;;;20–30%.; ;;;;;;;;;;;;;;;;;
18.02.2017 8:00;-19.7;717.0;;;75;Ветер, дующий с севера;2;;;100%.; ;;;-23.0;;;;;;;;;;;;;;
18.02.2017 20:00;-17.1;720.0;;;98;Ветер, дующий с юга;1;;;100%.; ;;;;-15.2;;;;;;;;0.5;;;;;
19.02.2017 8:00;-11.8;727.0;;;50;Ветер, дующий с северо-запада;6;;;60%.; ;;;-13.8;;;;;;;50.0;;;;;;;
19.02.2017 20:00;-18.7;728.0;;;95;Ветер, дующий с запада;2;;;20–30%.; ;;;;-8.7;;;;;;;;;;;;;
20.02.2017 8:00;-19.7;726.0;;;95;Ветер, дующий с северо-востока;2;;;20–30%.; ;;;-21.7;;;;;;;50.0;;;;;;;
20.02.2017 20:00;-18.1;726.0;;;85;Ветер, дующий с юго-востока;1;;;40%.; ;;;;;;;;;;;;;;;;;
21.02.2017 8:00;-17.9;727.0;;;75;Ветер, дующий с юга;1;;;70 – 80%.; ;;;-17.9;;;;;;;50.0;;;;;;;
21.02.2017 20:00;-12.8;727.0;;;95;Ветер, дующий с юга;2;;;100%.; ;;;;-10.0;;;;;;;;;;;;;
22.02.2017 8:00;-19.7;727.0;;;95;Ветер, дующий с юга;1;;;100%.; ;;;-19.7;;;;;;;50.0;;;;;;;
22.02.2017 20:00;-14.2;725.0;;;95;;0;;;90  или более, но не 100%; ;;;;-11.7;;;;;;;;;;;;;
23.02.2017 8:00;-1.8;723.0;;;59;Ветер, дующий с запада;4;;;100%.; ;;;-14.3;;;;;;;50.0;;;;;;;
23.02.2017 20:00;-1.0;724.0;;;61;Ветер, дующий с северо-запада;3;;;100%.; ;;;;;;;;;;;;Следы осадков;;;;;
24.02.2017 8:00;-0.5;724.0;;;61;Ветер, дующий с севера;3;;;100%.; ;;;;;;;;;;50.0;;;;;;;
24.02.2017 20:00;0.4;726.0;;;56;Ветер, дующий с запада;6;;;90  или более, но не 100%; ;;;;;;;;;;;;Следы осадков;;;;;
25.02.2017 8:00;-7.8;726.0;;;81;Ветер, дующий с севера;2;;;60%.; ;;;-7.8;;;;;;;50.0;;;;;;;
25.02.2017 20:00;-7.8;723.0;;;93;;0;;;60%.; ;;;;-2.1;;;;;;;;;;;;;
26.02.2017 8:00;-3.6;720.0;;;72;Ветер, дующий с запада;4;;;100%.; ;;;-9.6;;;;;;;50.0;;;;;;;
26.02.2017 20:00;-0.6;720.0;;;62;Ветер, дующий с северо-запада;1;;;100%.; ;;;;01.май;;;;;;;;Следы осадков;;;;;
27.02.2017 8:00;-7.2;723.0;;;44;Ветер, дующий с северо-запада;9;;;70 – 80%.; ;;;-7.2;;;;;;;50.0;;;;;;;
27.02.2017 20:00;-9.8;727.0;;;49;Ветер, дующий с северо-запада;8;;;60%.; ;;;;-5.2;;;;;;;;;;;;;
28.02.2017 8:00;-14.7;731.0;;;45;Ветер, дующий с юго-востока;2;;;40%.; ;;;-18.3;;;;;;;50.0;;;;;;;
28.02.2017 20:00;-18.3;732.0;;;55;Ветер, дующий с юго-запада;2;;;40%.; ;;;;-12.2;;;;;;;;;;;;;
01.03.2017 8:00;-16.1;727.0;;;75;Ветер, дующий с северо-запада;1;;;100%.; ;;;-19.7;;;;;;;4.0;;;;;;;
01.03.2017 20:00;-15.3;722.0;;;95;Ветер, дующий с севера;2;;;100%.; ;;;;;;;;;;;;4.0;;;;;
02.03.2017 8:00;-22.6;722.0;;;80;Ветер, дующий с северо-востока;1;;;60%.; ;;;-23.0;;;;;;;50.0;;;;;;;
02.03.2017 20:00;-17.1;722.0;;;90;Ветер, дующий с севера;2;;;100%.; ;;;;;;;;;;;;;;;;;
03.03.2017 8:00;-15.3;723.0;;;80;Ветер, дующий с северо-востока;1;;;100%.; ;;;-18.4;;;;;;;50.0;;;;;;;
03.03.2017 20:00;-13.8;726.0;;;85;Ветер, дующий с запада;1;;;100%.; ;;;;-11.7;;;;;;;;;;;;;
04.03.2017 8:00;-16.1;728.0;;;100;Ветер, дующий с запада;1;;;90  или более, но не 100%; ;;;-17.6;;;;;;;50.0;;;;;;;
04.03.2017 20:00;-15.5;731.0;;;95;Ветер, дующий с юга;2;;;70 – 80%.; ;;;;;;;;;;;;Следы осадков;;;;;
05.03.2017 8:00;-13.8;730.0;;;100;Ветер, дующий с северо-запада;1;;;100%.; ;;;-18.0;;;;;;;10.0;;;;;;;
05.03.2017 20:00;-12.3;731.0;;;100;Ветер, дующий с запада;1;;;100%.; ;;;;-10.2;;;;;;;;1.0;;;;;
06.03.2017 8:00;-13.4;734.0;;;95;Ветер, дующий с юга;1;;;40%.; ;;;;;;;;;;50.0;;;;;;;
06.03.2017 20:00;-13.6;735.0;;;75;Ветер, дующий с юга;1;;;40%.; ;;;;;;;;;;;;;;;;;
07.03.2017 8:00;;735.0;;;;;0;;;20–30%.; ;;;-24.2;;;;;;;50.0;;;;;;;
07.03.2017 20:00;-16.3;733.0;;;100;Ветер, дующий с севера;2;;;10%  или менее, но не 0; ;;;;-12.5;;;;;;;;;;;;;
08.03.2017 8:00;-20.9;729.0;;;95;;0;;;Облаков нет.; ;;;-22.7;;;;;;;50.0;;;;;;;
08.03.2017 20:00;-15.6;724.0;;;90;Ветер, дующий с северо-запада;1;;;Облаков нет.; ;;;;-12.0;;;;;;;;;;;;;
09.03.2017 8:00;;722.0;;;;Ветер, дующий с юга;1;;;20–30%.; ;;;-21.3;;;;;;;50.0;;;;;;;
09.03.2017 20:00;-14.2;720.0;;;95;Ветер, дующий с севера;1;;;40%.; ;;;;-9.0;;;;;;;;;;;;;
10.03.2017 8:00;-3.6;723.0;;;54;Ветер, дующий с северо-запада;4;;;100%.; ;;;-14.8;;;;;;;50.0;;;;;;;
10.03.2017 20:00;-12.2;729.0;;;55;Ветер, дующий с юго-запада;3;;;Облаков нет.; ;;;;-2.7;;;;;;;;;;;;;
11.03.2017 8:00;-14.0;730.0;;;65;Ветер, дующий с юго-востока;2;;;70 – 80%.; ;;;-15.3;;;;;;;50.0;;;;;;;
11.03.2017 20:00;-11.6;730.0;;;95;Ветер, дующий с юга;2;;;60%.; ;;;;;;;;;;;;;;;;;
12.03.2017 8:00;-11.2;728.0;;;80;Ветер, дующий с юга;4;;;100%.; ;;;;;;;;;;50.0;;;;;;;
12.03.2017 20:00;-5.2;730.0;;;80;Ветер, дующий с севера;1;;;100%.; ;;;;0.9;;;;;;;;;;;;;
13.03.2017 8:00;-10.6;730.0;;;100;Ветер, дующий с юга;2;;;70 – 80%.; ;;;-11.3;;;;;;;50.0;;;;;;;
13.03.2017 20:00;-7.1;725.0;;;82;Ветер, дующий с северо-запада;1;;;Облаков нет.; ;;;;01.фев;;;;;;;;;;;;;
14.03.2017 8:00;-14.8;724.0;;;100;Ветер, дующий с востока;2;;;20–30%.; ;;;-14.9;;;;;;;50.0;;;;;;;
14.03.2017 20:00;-4.0;724.0;;;64;Ветер, дующий с юга;1;;;70 – 80%.; ;;;;01.июн;;;;;;;;;;;;;
15.03.2017 8:00;-11.4;725.0;;;100;Ветер, дующий с северо-запада;2;;;40%.; ;;;-13.3;;;;;;;50.0;;;;;;;
15.03.2017 20:00;-8.8;723.0;;;95;Ветер, дующий с севера;2;;;20–30%.; ;;;;-4.1;;;;;;;;;;;;;
16.03.2017 8:00;-5.5;721.0;;;57;Ветер, дующий с запада;1;;;100%.; ;;;-11.4;;;;;;;50.0;;;;;;;
16.03.2017 20:00;0.8;725.0;;;50;Ветер, дующий с северо-запада;7;;;100%.; ;;;;03.апр;;;;;;;;;;;;;
17.03.2017 8:00;-7.6;729.0;;;51;Ветер, дующий с северо-запада;6;;;70 – 80%.; ;;;-7.6;;;;;;;50.0;;;;;;;
17.03.2017 20:00;-7.8;732.0;;;42;Ветер, дующий с юго-запада;2;;;70 – 80%.; ;;;;;;;;;;;;;;;;;
18.03.2017 8:00;-14.4;733.0;;;80;;0;;;90  или более, но не 100%; ;;;-14.9;;;;;;;50.0;;;;;;;
18.03.2017 20:00;-13.8;733.0;;;95;Ветер, дующий с севера;1;;;20–30%.; ;;;;;;;;;;;;;;;;;
19.03.2017 8:00;-16.1;735.0;;;100;;0;;;Облаков нет.; ;;;-17.6;;;;;;;50.0;;;;;;;
19.03.2017 20:00;-13.3;735.0;;;95;Ветер, дующий с юго-запада;1;;;Облаков нет.; ;;;;-8.5;;;;;;;;;;;;;
20.03.2017 8:00;-16.3;733.0;;;100;;0;;;Облаков нет.; ;;;-16.9;;;;;;;50.0;;;;;;;
20.03.2017 20:00;-12.4;731.0;;;70;Ветер, дующий с севера;1;;;20–30%.; ;;;;-7.0;;;;;;50.0;;;;;;;
21.03.2017 8:00;-12.6;730.0;;;85;Ветер, дующий с юга;1;;;20–30%.; ;;;;;;;;;;50.0;;;;;;;
21.03.2017 20:00;-9.4;730.0;;;66;Ветер, дующий с юга;1;;;70 – 80%.; ;;;;-5.0;;;;;;;;;;;;;
22.03.2017 8:00;-13.9;731.0;;;100;Ветер, дующий с северо-востока;1;;;Облаков нет.; ;;;-16.0;;;;;;;50.0;;;;;;;
22.03.2017 20:00;-10.6;731.0;;;85;;0;;;20–30%.; ;;;;-6.0;;;;;;;;;;;;;
23.03.2017 8:00;-15.2;733.0;;;100;Ветер, дующий с северо-востока;1;;;20–30%.; ;;;-15.3;;;;;;;50.0;;;;;;;
23.03.2017 20:00;-9.5;732.0;;;87;Ветер, дующий с юго-запада;1;;;90  или более, но не 100%; ;;;;-6.0;;;;;;;;;;;;;
24.03.2017 8:00;-14.0;732.0;;;100;Ветер, дующий с юго-запада;1;;;60%.; ;;;-16.8;;;;;;;50.0;;;;;;;
24.03.2017 20:00;-8.2;;;;90;Ветер, дующий с севера;2;;;90  или более, но не 100%; ;;;;-3.9;;;;;;;;;;;;;
25.03.2017 8:00;-9.8;722.0;;;87;Ветер, дующий с юго-востока;1;;;70 – 80%.; ;;;-12.3;;;;;;;50.0;;;;;;;
25.03.2017 20:00;-7.8;728.0;;;73;Ветер, дующий с северо-востока;1;;;10%  или менее, но не 0; ;;;;;;;;;;;;;;;;;
26.03.2017 8:00;-8.7;727.0;;;83;Ветер, дующий с северо-востока;2;;;Облаков нет.; ;;;;;;;;;;50.0;;;;;;;
26.03.2017 20:00;-7.0;724.0;;;66;Ветер, дующий с северо-запада;2;;;20–30%.; ;;;;;;;;;;;;;;;;;
27.03.2017 8:00;-9.0;723.0;;;76;Ветер, дующий с северо-запада;2;;;70 – 80%.; ;;;-11.3;;;;;;;50.0;;;;;;;
27.03.2017 20:00;-5.2;722.0;;;85;Ветер, дующий с северо-запада;1;;;60%.; ;;;;-1.9;;;;;;;;;;;;;
28.03.2017 8:00;-6.2;724.0;;;81;Ветер, дующий с северо-востока;1;;;40%.; ;;;;;;;;;;50.0;;;;;;;
28.03.2017 20:00;-1.2;727.0;;;37;Ветер, дующий с запада;3;;;Облаков нет.; ;;;;0.6;;;;;;50.0;;;;;;;
29.03.2017 8:00;-8.3;731.0;;;72;;0;;;Облаков нет.; ;;;-11.1;;;;;;;50.0;;;;;;;
29.03.2017 20:00;-6.0;731.0;;;76;Ветер, дующий с северо-запада;1;;;40%.; ;;;;-1.5;;;;;;50.0;;;;;;;
30.03.2017 8:00;-6.8;731.0;;;64;Ветер, дующий с севера;2;;;Облаков нет.; ;;;;;;;;;;50.0;;;;;;;
30.03.2017 20:00;-4.2;728.0;;;48;Ветер, дующий с севера;1;;;100%.; ;;;;-0.9;;;;;;50.0;;;;;;;
31.03.2017 8:00;-1.9;726.0;;;47;Ветер, дующий с севера;2;;;20–30%.; ;;;-9.8;;;;;;;50.0;;;;;;;
31.03.2017 20:00;-0.3;722.0;;;43;Ветер, дующий с северо-запада;1;;;100%.; ;;;;02.май;;;;;;50.0;;;;;;;
01.04.2017 8:00;6.0;726.0;;;27;Ветер, дующий с северо-запада;3;;;40%.; ;;;-1.9;;;;;;;50.0;;;;;;;
01.04.2017 20:00;02.авг;723.0;;;47;Ветер, дующий с юго-запада;3;;;60%.; ;;;;09.май;;;;;;50.0;;;;;;;
02.04.2017 8:00;-2.4;717.0;;;77;Ветер, дующий с севера;3;;;100%.; ;;;-3.6;;;;;;;50.0;;;;;;;
02.04.2017 20:00;08.июл;717.0;;;38;Ветер, дующий с северо-запада;9;;;100%.; ;;;;11.0;;;;;;50.0;;;;;;;
03.04.2017 8:00;-0.4;720.0;;;66;Ветер, дующий с северо-востока;5;;;100%.; ;;;-0.5;;;;;;;50.0;;;;;;;
03.04.2017 20:00;-0.6;722.0;;;42;Ветер, дующий с севера;2;;;100%.; ;;;;;;;;;;50.0;;;;;;;
04.04.2017 8:00;-1.9;723.0;;;41;Ветер, дующий с северо-востока;3;;;100%.; ;;;-2.7;;;;;;;50.0;;;;;;;
04.04.2017 20:00;-5.2;722.0;;;53;Ветер, дующий с северо-запада;1;;;20–30%.; ;;;;-1.1;;;;;;50.0;;;;;;;
05.04.2017 8:00;-4.7;721.0;;;48;Ветер, дующий с северо-востока;3;;;100%.; ;;;;;;;;;;50.0;;;;;;;
05.04.2017 20:00;-2.5;719.0;;;74;Ветер, дующий с юга;5;;;100%.; ;;;;-0.4;;;;;;50.0;;;;;;;
06.04.2017 8:00;-3.4;720.0;;;70;Ветер, дующий с севера;6;;;100%.; ;;;;;;;;;;50.0;;;;;;;
06.04.2017 20:00;-2.0;718.0;;;69;Ветер, дующий с северо-запада;1;;;100%.; ;;;;;;;;;;50.0;;;;;;;
07.04.2017 8:00;-2.8;723.0;;;46;Ветер, дующий с северо-запада;5;;;90  или более, но не 100%;Состояние неба в общем не изменилось. ;;;;;;;;;;50.0;;;;;;;
07.04.2017 20:00;-2.9;725.0;;;86;Ветер, дующий с запада;2;;;70 – 80%.;Состояние неба в общем не изменилось. ;;;;;;;;;;50.0;;Следы осадков;;;;;
08.04.2017 8:00;-3.2;724.0;;;74;Ветер, дующий с юга;3;;;100%.; ;;;;;;;;;;50.0;;;;;;;
08.04.2017 20:00;03.фев;721.0;;;56;Ветер, дующий с юго-востока;2;;;100%.; ;;;;09.май;;;;;;50.0;;Следы осадков;;;;;
09.04.2017 8:00;05.июл;716.0;;;42;Ветер, дующий с запада;9;;;100%.;Состояние неба в общем не изменилось. ;;;2.0;;;;;;;50.0;;;;;;;
09.04.2017 20:00;01.фев;719.0;;;13;Ветер, дующий с северо-запада;10;;;40%.;Состояние неба в общем не изменилось. ;;;;09.сен;;;;;;50.0;;Следы осадков;;;;;
10.04.2017 8:00;-4.2;725.0;;;45;Ветер, дующий с северо-запада;9;;;70 – 80%.; ;;;-4.3;;;;;;;50.0;;;;;;;
10.04.2017 20:00;-1.9;726.0;;;37;Ветер, дующий с северо-запада;4;;;100%.;Состояние неба в общем не изменилось. ;;;;0.2;;;;;;50.0;;Следы осадков;;;;;
11.04.2017 8:00;-3.0;726.0;;;39;Ветер, дующий с севера;4;;;60%.; ;;;;;;;;;;50.0;;;;;;;
11.04.2017 20:00;-2.4;724.0;;;74;Ветер, дующий с юга;1;;;100%.; ;;;;;;;;;;50.0;;;;;;;
12.04.2017 8:00;-3.9;718.0;;;94;Ветер, дующий с северо-востока;1;;;100%.;Снег неливневый. ;;;-4.6;;;;;;;50.0;;;;;;;
12.04.2017 20:00;12.май;709.0;;;20;Ветер, дующий с северо-запада;6;;;100%.; ;;;;13.сен;;;;;;50.0;;;;;;;
13.04.2017 8:00;8.0;710.0;;;41;Ветер, дующий с запада;6;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;;;5.0;;;;;;;50.0;;;;;;;
13.04.2017 20:00;12.мар;706.0;;;23;Ветер, дующий с запада;14;;;100%.; ;;;;14.0;;;;;;50.0;;Следы осадков;;;;;
14.04.2017 8:00;1.0;709.0;;;61;Ветер, дующий с юго-запада;6;;;100%.; ;;;05.июл;;;;;;;50.0;;;;;;;
14.04.2017 20:00;07.янв;712.0;;;43;;;;;60%.;Состояние неба в общем не изменилось. ;;;;13.янв;;;;;;50.0;;1.0;;;;;
15.04.2017 8:00;0.8;721.0;;;44;Ветер, дующий с севера;1;;;60%.; ;;;-2.4;;;;;;;50.0;;;;;;;
15.04.2017 20:00;-0.4;720.0;;;94;Ветер, дующий с севера;1;;;100%.; ;;;;01.июн;;;;;;50.0;;;;;;;
16.04.2017 8:00;-1.6;718.0;;;92;;0;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;;;-2.2;;;;;;;10.0;;;;;;;
16.04.2017 20:00;01.янв;717.0;;;94;Ветер, дующий с юго-запада;3;;;90  или более, но не 100%;Состояние неба в общем не изменилось. ;;;;02.июл;;;;;;50.0;;0.9;;;;;
17.04.2017 8:00;02.сен;718.0;;;64;Ветер, дующий с севера;2;;;70 – 80%.; ;;;0.1;;;;;;;50.0;;;;;;;
17.04.2017 20:00;-0.4;717.0;;;53;Ветер, дующий с юго-запада;1;;;90  или более, но не 100%; ;;;;05.янв;;;;;;50.0;;;;;;;
18.04.2017 8:00;-1.2;713.0;;;74;Ветер, дующий с севера;2;;;70 – 80%.; ;;;;;;;;;;50.0;;;;;;;
18.04.2017 20:00;03.июл;712.0;;;60;Ветер, дующий с северо-запада;5;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;;;;04.май;;;;;;20.0;;Следы осадков;;;;;
19.04.2017 8:00;3.0;718.0;;;49;Ветер, дующий с северо-запада;6;;;100%.; ;;;01.май;;;;;;;50.0;;;;;;;
19.04.2017 20:00;04.июн;723.0;;;45;Ветер, дующий с северо-запада;6;;;90  или более, но не 100%;Ливневый снег или ливневый дождь и снег. ;;;;07.май;;;;;;50.0;;Следы осадков;;;;;
20.04.2017 8:00;-1.4;720.0;;;82;Ветер, дующий с юга;3;;;90  или более, но не 100%; ;;;-4.7;;;;;;;50.0;;;;;;;
20.04.2017 20:00;06.янв;714.0;;;64;Ветер, дующий с запада;8;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;;;;07.май;;;;;;50.0;;Следы осадков;;;;;
21.04.2017 8:00;02.апр;718.0;;;43;Ветер, дующий с запада;7;;;70 – 80%.;Состояние неба в общем не изменилось. ;;;01.май;;;;;;;50.0;;;;;;;
21.04.2017 20:00;01.апр;720.0;;;61;Ветер, дующий с северо-запада;2;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;;;;;;;;;;50.0;;0.3;;;;;
22.04.2017 8:00;02.янв;722.0;;;47;Ветер, дующий с северо-запада;5;;;100%.; ;;;-0.2;;;;;;;50.0;;;;;;;
22.04.2017 20:00;-1.5;723.0;;;62;Ветер, дующий с запада;2;;;40%.;Состояние неба в общем не изменилось. ;;;;4.0;;;;;;50.0;;Следы осадков;;;;;
23.04.2017 8:00;02.апр;723.0;;;30;Ветер, дующий с северо-запада;5;;;60%.; ;;;-0.2;;;;;;;50.0;;;;;;;
23.04.2017 20:00;02.апр;724.0;;;39;Ветер, дующий с севера;4;;;100%.; ;;;;03.июн;;;;;;50.0;;;;;;;
24.04.2017 8:00;1.0;729.0;;;55;Ветер, дующий с северо-востока;1;;;Облаков нет.; ;;;;;;;;;;50.0;;;;;;;
24.04.2017 20:00;0.6;729.0;;;45;Ветер, дующий с запада;1;;;20–30%.; ;;;;;;;;;;50.0;;;;;;;
