Местное время в Узурах;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
02.01.2017 8:00;-7.5;717.6;761.2;-2.5;84;Ветер, дующий с востока;2;;;60%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-15.7;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-9.7;Следы осадков;12;;;Сухой рассыпчатый снег покрывает по крайней мере половину поверхности почвы (но не полностью).;3.0
02.01.2017 11:00;-8.3;716.2;759.9;-1.4;78;Ветер, дующий с востоко-юго-востока;4;;;100%.; ;;;;;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";20–30%.;600-1000;Высокослоистые просвечивающие.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-11.5;;;;;;
02.01.2017 14:00;-7.5;715.1;758.5;-1.1;79;Ветер, дующий с юго-востока;4;;;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высокослоистые просвечивающие.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-10.5;;;;;;
02.01.2017 17:00;-8.9;715.6;759.2;0.5;74;Ветер, дующий с северо-запада;3;;;70 – 80%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-12.8;;;;;;
02.01.2017 20:00;-12.9;715.7;760.1;0.1;85;Ветер, дующий с запада;2;;;100%.; ;;;;-7.1;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-14.9;Осадков нет;12;;;;
02.01.2017 23:00;-10.7;716.0;760.1;0.3;90;Ветер, дующий с северо-запада;2;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-12.0;;;;;;
03.01.2017 2:00;-5.9;716.9;760.2;0.9;59;Ветер, дующий с запада;3;;;60%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-12.7;;;;;;
03.01.2017 5:00;-5.2;718.2;761.5;01.мар;56;Ветер, дующий с запада;1;;;70 – 80%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-12.6;;;;;;
03.01.2017 8:00;-6.1;718.6;762.0;0.4;64;Ветер, дующий с запада;2;;;40%.; ;;;-12.9;;Слоисто-кучевые, образовавшиеся не из кучевых.;40%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-11.9;Осадков нет;12;;;Сухой рассыпчатый снег покрывает по крайней мере половину поверхности почвы (но не полностью).;3.0
03.01.2017 11:00;-8.6;719.6;763.5;1.0;71;Ветер, дующий с западо-юго-запада;1;;;60%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-12.9;;;;;;
03.01.2017 14:00;-5.2;718.6;761.9;-1.0;71;Ветер, дующий с западо-северо-запада;2;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высокослоистые непросвечивающие или слоисто-дождевые.;;50.0;-9.7;;;;;;
03.01.2017 17:00;-6.4;718.6;762.0;0.0;81;Ветер, дующий с северо-запада;1;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;50.0;-9.2;;;;;;
03.01.2017 20:00;-9.0;719.5;763.4;0.9;86;Ветер, дующий с западо-юго-запада;2;;;20–30%.; ;;;;-2.5;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-11.0;Осадков нет;12;;;;
03.01.2017 23:00;-10.1;720.3;764.5;0.8;75;Ветер, дующий с западо-юго-запада;1;;;Облаков нет.; ;;;;;;;;;;;-13.7;;;;;;
04.01.2017 2:00;-11.3;720.7;765.1;0.4;80;Ветер, дующий с запада;2;;;Облаков нет.; ;;;;;;;;;;;-14.1;;;;;;
04.01.2017 5:00;-12.6;721.0;765.7;0.3;85;Ветер, дующий с запада;2;;;Облаков нет.; ;;;;;;;;;;;-14.6;;;;;;
04.01.2017 8:00;-11.7;722.2;766.9;01.фев;80;Ветер, дующий с запада;1;;;Облаков нет.; ;;;-13.3;;;;;;;;-14.5;Осадков нет;12;;;Сухой рассыпчатый снег покрывает по крайней мере половину поверхности почвы (но не полностью).;3.0
04.01.2017 11:00;-12.4;722.8;767.5;0.6;85;Ветер, дующий с запада;2;;;Облаков нет.; ;;;;;;;;;;50.0;-14.4;;;;;;
04.01.2017 14:00;-7.9;722.2;766.1;-0.6;81;Штиль, безветрие;0;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-10.6;;;;;;
04.01.2017 17:00;-11.9;721.9;766.4;-0.3;95;Ветер, дующий с запада;1;;;Облаков нет.; ;;;;;;;;;;50.0;-12.5;;;;;;
04.01.2017 20:00;-12.7;722.0;766.8;0.1;95;Ветер, дующий с запада;2;;;Облаков нет.; ;;;;-5.4;;;;;;;-13.3;Осадков нет;12;;;;
04.01.2017 23:00;-14.8;722.5;767.6;0.5;95;Ветер, дующий с запада;2;;;Облаков нет.; ;;;;;;;;;;;-15.4;;;;;;
05.01.2017 2:00;-11.5;722.8;767.5;0.3;90;Ветер, дующий с западо-юго-запада;2;;;Облаков нет.; ;;;;;;;;;;;-12.8;;;;;;
05.01.2017 5:00;-7.7;723.1;767.1;0.3;79;Ветер, дующий с запада;2;;;Облаков нет.; ;;;;;;;;;;;-10.8;;;;;;
05.01.2017 8:00;-3.7;724.1;767.5;1.0;67;Ветер, дующий с северо-запада;2;;;100%.; ;;;-14.8;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-9.0;Осадков нет;12;;;Сухой рассыпчатый снег покрывает по крайней мере половину поверхности почвы (но не полностью).;3.0
05.01.2017 11:00;-8.4;725.2;769.4;01.янв;77;Ветер, дующий с западо-юго-запада;2;;;Облаков нет.; ;;;;;;;;;;50.0;-11.7;;;;;;
05.01.2017 14:00;-3.6;724.9;768.4;-0.3;65;Ветер, дующий с юго-запада;1;;;Облаков нет.; ;;;;;;;;;;50.0;-9.3;;;;;;
05.01.2017 17:00;-7.3;725.9;770.0;1.0;85;Ветер, дующий с запада;2;;;70 – 80%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-9.4;;;;;;
05.01.2017 20:00;-3.3;726.6;770.0;0.7;77;Ветер, дующий с запада;2;;;60%.; ;;;;-2.1;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-6.8;Осадков нет;12;;;;
05.01.2017 23:00;-9.5;727.1;771.6;0.5;91;Ветер, дующий с запада;3;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-10.7;;;;;;
06.01.2017 2:00;-10.8;727.4;772.2;0.3;90;Ветер, дующий с запада;2;;;Облаков нет.; ;;;;;;;;;;;-12.1;;;;;;
06.01.2017 5:00;-11.5;727.6;772.5;0.2;85;Ветер, дующий с запада;2;;;Облаков нет.; ;;;;;;;;;;;-13.5;;;;;;
06.01.2017 8:00;-3.3;728.0;771.5;0.4;72;Штиль, безветрие;0;;;90  или более, но не 100%; ;;;-12.5;;Слоисто-кучевые, образовавшиеся не из кучевых.;60%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-7.6;Осадков нет;12;;;Сухой рассыпчатый снег покрывает по крайней мере половину поверхности почвы (но не полностью).;3.0
06.01.2017 11:00;-4.0;728.4;772.0;0.4;80;Ветер, дующий с запада;1;;;70 – 80%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-7.0;;;;;;
06.01.2017 14:00;-4.0;726.7;770.2;-1.7;82;Ветер, дующий с запада;2;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-6.6;;;;;;
06.01.2017 17:00;-8.9;726.2;770.5;-0.5;95;Ветер, дующий с северо-запада;2;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-9.6;;;;;;
06.01.2017 20:00;-8.5;725.6;769.8;-0.6;89;Ветер, дующий с запада;1;;;60%.; ;;;;0.7;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-10.0;Осадков нет;12;;;;
06.01.2017 23:00;-1.8;725.7;768.8;0.1;59;Ветер, дующий с западо-северо-запада;3;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-8.8;;;;;;
07.01.2017 2:00;-1.5;727.3;770.5;01.июн;68;Ветер, дующий с запада;4;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-6.7;;;;;;
07.01.2017 5:00;-3.9;727.0;770.5;-0.3;64;Ветер, дующий с запада;4;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-9.7;;;;;;
07.01.2017 8:00;-3.6;727.7;771.3;0.7;56;Ветер, дующий с запада;3;;;100%.; ;;;-9.4;;Слоисто-кучевые, образовавшиеся не из кучевых.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-11.1;Осадков нет;12;;;Сухой рассыпчатый снег покрывает по крайней мере половину поверхности почвы (но не полностью).;3.0
07.01.2017 11:00;-4.3;728.2;771.9;0.5;57;Ветер, дующий с запада;2;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;50%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-11.7;;;;;;
07.01.2017 14:00;-4.1;728.3;772.0;0.1;55;Ветер, дующий с запада;4;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-11.9;;;;;;
07.01.2017 17:00;-6.8;729.2;773.4;0.9;56;Ветер, дующий с запада;5;;;60%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-14.1;;;;;;
07.01.2017 20:00;-9.5;730.5;775.3;01.мар;48;Ветер, дующий с запада;7;;;40%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;-2.3;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-18.6;Следы осадков;12;;;;
07.01.2017 23:00;-12.4;731.5;776.9;1.0;50;Ветер, дующий с запада;7;;;Облаков нет.; ;;;;;;;;;;;-20.7;;;;;;
08.01.2017 2:00;-14.7;732.2;778.0;0.7;50;Ветер, дующий с запада;6;;;Облаков нет.; ;;;;;;;;;;;-22.8;;;;;;
08.01.2017 5:00;-16.3;732.8;778.9;0.6;55;Ветер, дующий с запада;7;;;Облаков нет.; ;;;;;;;;;;;-23.3;;;;;;
08.01.2017 8:00;-17.3;732.7;778.9;-0.1;55;Ветер, дующий с запада;8;;;20–30%.; ;;;-18.0;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-24.2;Осадков нет;12;;;Сухой рассыпчатый снег покрывает по крайней мере половину поверхности почвы (но не полностью).;3.0
08.01.2017 11:00;-18.1;733.0;779.5;0.3;55;Ветер, дующий с запада;4;;;40%.; ;;;-18.4;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;20.0;-25.0;;;;;;
08.01.2017 14:00;-17.3;731.8;778.0;-1.2;60;Ветер, дующий с запада;3;;;20–30%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-23.2;;;;;;
08.01.2017 17:00;-17.3;731.1;777.3;-0.7;60;Ветер, дующий с запада;5;;;20–30%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-23.2;;;;;;
08.01.2017 20:00;-18.5;730.6;777.1;-0.5;60;Ветер, дующий с западо-северо-запада;2;;;100%.; ;;;;-16.0;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-24.4;Осадков нет;12;;;;
08.01.2017 23:00;-19.1;730.3;776.8;-0.3;60;Ветер, дующий с запада;2;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-24.9;;;;;;
09.01.2017 2:00;-20.7;730.3;777.1;0.0;65;Ветер, дующий с западо-северо-запада;4;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-25.6;;;;;;
09.01.2017 5:00;-20.1;730.5;777.1;0.2;65;Ветер, дующий с северо-северо-запада;3;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-25.0;;;;;;
09.01.2017 8:00;-19.1;731.5;778.0;1.0;60;Ветер, дующий с запада;5;;;60%.; ;;;-20.9;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-24.9;Осадков нет;12;;;Сухой рассыпчатый снег покрывает по крайней мере половину поверхности почвы (но не полностью).;3.0
09.01.2017 11:00;-18.9;731.9;778.5;0.4;65;Ветер, дующий с запада;6;;;20–30%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;20.0;-23.8;;;;;;
09.01.2017 14:00;-17.9;732.0;778.4;0.1;60;Ветер, дующий с запада;5;;;40%.; ;;;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";20.0;-23.8;;;;;;
09.01.2017 17:00;-19.7;731.6;778.3;-0.4;60;Ветер, дующий с запада;4;;;40%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;20.0;-25.5;;;;;;
09.01.2017 20:00;-18.5;731.0;777.4;-0.6;65;Ветер, дующий с запада;3;;;70 – 80%.; ;;;;-17.5;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-23.5;Осадков нет;12;;;;
09.01.2017 23:00;-17.5;730.6;776.8;-0.4;64;Ветер, дующий с запада;5;;;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;50%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-22.8;;;;;;
